rank,name,team,opponent,game,pitcher,odds,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,hitter_pitch_sample,pitcher_pitch_sample,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,direct_overlap_score,arsenal_pressure_score,pitch_type_score,contact_score,handedness_split_score,market_score,per_pitch_score,per_pitch_grade,split_engine_score,matchup_intel_score,master_score,master_tier
186,Geraldo Perdomo,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,1100,Sinker,32.6,87.7,100,259,215,4-Seam Fastball,100,Changeup,100,Slider 34.9% | Sinker 32.6% | Cutter 12.1% | 4-Seam Fastball 11.2%,82.3,54.6,81.4,33.5,58,37.8,56.2,THIN,52.9,48.6,54.8,LOTTO
187,Jake Fraley,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,940,Changeup,13.5,100,92.8,119,310,Changeup,100,Sinker,100,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,78.1,55.8,69.7,43.5,62,41,56.2,THIN,44,38.3,53.8,LOTTO
188,Trea Turner,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,Sonny Gray,820,4-Seam Fastball,11.4,100,85.1,271,70,4-Seam Fastball,100,Cutter,96.1,Cutter 30.0% | Curveball 21.4% | Sinker 18.6% | Sweeper 11.4%,76.3,55.6,76.7,40.9,50,50.2,56.1,THIN,45.6,44.9,57.8,STANDARD
189,Jared Triolo,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,1200,4-Seam Fastball,28.2,95.9,86.2,48,245,4-Seam Fastball,95.9,Slurve,100,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,78.2,57.6,89.1,35.6,50,36.2,56.1,THIN,46.3,43.6,51.2,LOTTO
190,Taylor Walls,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,1300,4-Seam Fastball,31.9,81.4,100,199,310,4-Seam Fastball,81.4,Sinker,100,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,81.8,57.7,74.2,40,58,34.9,56,THIN,42.4,36.4,44.6,DEEP FADE
191,Ben Williamson,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,1300,4-Seam Fastball,31.9,86.4,100,224,310,Splitter,98.7,Sinker,100,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,82,54.4,85,38.9,50,34.9,56,THIN,41.3,36.1,42.6,DEEP FADE
192,Luis Arraez,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1500,4-Seam Fastball,47,71.4,100,239,268,Curveball,89.6,4-Seam Fastball,100,4-Seam Fastball 47.0% | Sweeper 29.1% | Split-Finger 10.8% | Curveball 9.3%,80.2,59.7,74.5,40,62,32.6,56,THIN,44.9,32.6,42.2,DEEP FADE
193,Chase Meidroth,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,1200,4-Seam Fastball,15.6,100,85.1,270,302,4-Seam Fastball,100,Cutter,100,Sinker 18.2% | Cutter 15.9% | 4-Seam Fastball 15.6% | Curveball 14.9%,83.2,56.3,76.8,39.4,50,36.2,55.9,THIN,44.4,41.3,48.1,LOTTO
194,Jesus Rodriguez,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1220,4-Seam Fastball,47,71,100,84,268,Slider,100,4-Seam Fastball,100,4-Seam Fastball 47.0% | Sweeper 29.1% | Split-Finger 10.8% | Curveball 9.3%,80.2,58.8,66.9,49.1,50,35.9,55.9,THIN,45.3,35.5,46,WATCH
195,Ezequiel Tovar,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,980,Sinker,12.4,100,71.1,213,282,Sinker,100,4-Seam Fastball,100,4-Seam Fastball 39.7% | Sweeper 17.0% | Sinker 12.4% | Slider 9.6%,74.4,60.1,75.3,45.5,50,40.1,55.8,THIN,50.1,39.4,50.7,LOTTO
