rank,name,team,opponent,game,pitcher,odds,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,hitter_pitch_sample,pitcher_pitch_sample,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,direct_overlap_score,arsenal_pressure_score,pitch_type_score,contact_score,handedness_split_score,market_score,per_pitch_score,per_pitch_grade,split_engine_score,matchup_intel_score,master_score,master_tier
14,Wilyer Abreu,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,490,4-Seam Fastball,39.2,100,100,294,283,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,96,62.8,94.5,65.3,62,75.4,78.2,PLUS,72.1,65.9,79.7,STRONG
15,Byron Buxton,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,330,Sweeper,29.9,100,100,288,254,4-Seam Fastball,100,Sweeper,100,Sweeper 29.9% | Slider 26.4% | 4-Seam Fastball 25.2% | Sinker 9.8%,88.2,59.2,97,80.4,50,83,78.2,PLUS,61,51.3,70.4,GOOD
16,Freddie Freeman,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,520,4-Seam Fastball,52.4,100,100,260,292,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 52.4% | Slider 23.6% | Changeup 18.8% | Knuckle Curve 5.1%,96,63.7,94,66,62,68.3,77.3,PLUS,65.4,53.8,68.6,GOOD
17,Sal Stewart,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,369,Sinker,28.4,100,100,248,278,Sinker,100,4-Seam Fastball,100,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,89.3,58.3,89.1,77.6,50,83,77.1,PLUS,69.1,62.2,81.2,STRONG
18,Tyler Soderstrom,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,475,4-Seam Fastball,32.4,100,100,216,241,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 32.4% | Slider 25.7% | Changeup 16.2% | Curveball 13.7%,96,59.8,84.5,69.2,62,76.5,77,PLUS,70.3,63.5,77.6,STRONG
19,Willson Contreras,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,490,Slider,17,100,100,280,283,Slider,100,4-Seam Fastball,100,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,86.8,60.3,89.9,80,50,75.4,76.8,PLUS,75.2,69.7,83.4,STRONG
20,Matt Olson,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,Shota Imanaga,400,4-Seam Fastball,34.6,100,100,319,286,4-Seam Fastball,100,4-Seam Fastball,100,Split-Finger 40.9% | 4-Seam Fastball 34.6% | Sweeper 15.4% | Sinker 7.7%,96,60.5,72.6,84,43,83,76.7,PLUS,60.9,53.7,71.6,GOOD
21,Brent Rooker,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,310,4-Seam Fastball,32.4,100,100,193,241,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 32.4% | Slider 25.7% | Changeup 16.2% | Curveball 13.7%,96,59.8,85.8,68.9,50,83,76.6,PLUS,68.2,64.5,78.2,STRONG
22,Elly De La Cruz,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,310,Sinker,28.4,100,100,272,278,Curveball,100,4-Seam Fastball,100,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,85.8,58.4,87.1,76.5,58,83,76.5,PLUS,69.6,61.9,80.8,STRONG
23,Austin Riley,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,Shota Imanaga,441,4-Seam Fastball,34.6,100,100,247,286,4-Seam Fastball,100,4-Seam Fastball,100,Split-Finger 40.9% | 4-Seam Fastball 34.6% | Sweeper 15.4% | Sinker 7.7%,96,60.5,89.9,61.3,62,78,75.8,PLUS,55,47,63.4,STANDARD
24,Bobby Witt Jr.,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,475,4-Seam Fastball,25.1,100,100,271,251,4-Seam Fastball,100,Sweeper,100,Sweeper 26.3% | 4-Seam Fastball 25.1% | Sinker 23.1% | Cutter 17.5%,88.8,58.4,92,72.4,50,76.5,75.6,PLUS,66,60.3,77.1,STRONG
25,Heliot Ramos,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,575,4-Seam Fastball,47,100,100,294,268,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 47.0% | Sweeper 29.1% | Split-Finger 10.8% | Curveball 9.3%,96,63.2,86.1,70.8,50,65,75.2,PLUS,56.1,45.8,62.3,STANDARD
26,Ian Happ,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,430,Curveball,25.7,100,100,332,249,Cutter,100,Changeup,100,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,83.6,54.8,89.1,76.5,58,78,75.1,PLUS,72,67.5,79.3,STRONG
27,Spencer Steer,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,470,Sinker,28.4,100,100,251,278,4-Seam Fastball,100,4-Seam Fastball,100,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,89.8,57.8,91.8,69.3,50,76.9,75.1,PLUS,65.1,59,77.5,STRONG
28,CJ Abrams,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,543,Sinker,24.4,100,100,268,78,Sinker,100,Sinker,100,Changeup 32.1% | Sinker 24.4% | 4-Seam Fastball 23.1% | Curveball 20.5%,92.8,56.9,92,61.9,62,66.9,74.8,PLUS,75.5,61.3,81.1,STRONG
29,Colson Montgomery,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,350,Cutter,15.9,100,100,250,302,4-Seam Fastball,100,Cutter,100,Sinker 18.2% | Cutter 15.9% | 4-Seam Fastball 15.6% | Curveball 14.9%,86.3,56.3,90.1,67.2,62,83,74.8,PLUS,60.1,56,71.4,GOOD
30,Will Benson,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,323,Sinker,28.4,100,100,154,278,4-Seam Fastball,100,4-Seam Fastball,100,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,89.8,57.8,88.4,62.2,62,83,74.7,PLUS,62.9,58.2,73,GOOD
31,Riley Greene,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,Christian Scott,423,Sweeper,15.6,100,100,286,199,Sinker,100,Sweeper,100,4-Seam Fastball 55.3% | Cutter 24.1% | Sweeper 15.6%,85.9,56.2,84.6,73.2,62,78,74.6,PLUS,61.8,55.1,70.3,GOOD
32,Casey Schmitt,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,550,4-Seam Fastball,47,100,100,233,268,Sweeper,100,4-Seam Fastball,100,4-Seam Fastball 47.0% | Sweeper 29.1% | Split-Finger 10.8% | Curveball 9.3%,90.3,61.6,88.1,72.8,50,66.5,74.5,PLUS,57.2,46.6,66,GOOD
33,Andy Pages,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,490,4-Seam Fastball,52.4,100,100,287,292,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 52.4% | Slider 23.6% | Changeup 18.8% | Knuckle Curve 5.1%,96,63.7,88.6,58.5,50,75.4,74.4,PLUS,59.6,53,68.1,GOOD
34,Ramón Laureano,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,575,4-Seam Fastball,61.3,100,91.3,251,271,4-Seam Fastball,100,4-Seam Fastball,91.3,4-Seam Fastball 61.3% | Slider 23.6% | Curveball 13.7%,94.7,66,82.7,67.7,50,65,74.2,PLUS,52.2,46.9,63.9,STANDARD
35,Brandon Nimmo,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,573,4-Seam Fastball,61,92.2,100,286,277,Cutter,100,4-Seam Fastball,100,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,88.2,61.8,90.2,63.5,62,65.1,73.9,PLUS,69.3,59.8,72.8,GOOD
36,Spencer Torkelson,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,Christian Scott,500,Sweeper,15.6,100,100,294,199,Sinker,100,Sweeper,100,4-Seam Fastball 55.3% | Cutter 24.1% | Sweeper 15.6%,85.9,56.2,83.6,77.4,50,74.7,73.7,PLUS,60.2,55.6,69.3,GOOD
37,Mickey Moniak,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,404,4-Seam Fastball,39.7,88.8,100,208,282,Slider,100,4-Seam Fastball,100,4-Seam Fastball 39.7% | Sweeper 17.0% | Sinker 12.4% | Slider 9.6%,87.2,59.8,88.2,62.6,62,78,73.7,PLUS,64.9,50,67.1,GOOD
38,Fernando Tatis Jr.,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,502,4-Seam Fastball,61.3,100,91.3,258,271,Curveball,100,4-Seam Fastball,91.3,4-Seam Fastball 61.3% | Slider 23.6% | Curveball 13.7%,87.2,61.6,85.1,74.1,50,69.5,73.7,PLUS,54.9,49.3,64.5,STANDARD
39,Luke Raley,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,474,Cutter,21.8,88.9,100,118,261,4-Seam Fastball,100,Sinker,100,Cutter 21.8% | Knuckle Curve 21.1% | Sinker 20.3% | Sweeper 18.0%,78.8,54,71.2,86.2,62,76.6,73.6,PLUS,75.5,69.8,85.2,ELITE
40,Ryan Jeffers,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,600,4-Seam Fastball,25.2,100,100,232,254,4-Seam Fastball,100,Sweeper,100,Sweeper 29.9% | Slider 26.4% | 4-Seam Fastball 25.2% | Sinker 9.8%,88.8,59.2,87.3,74.1,50,63.7,73.6,PLUS,57.1,46.6,66.1,GOOD
41,Tyler Stephenson,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,540,4-Seam Fastball,23.4,100,100,165,278,4-Seam Fastball,100,4-Seam Fastball,100,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,96,57.8,77.8,69.3,50,67.1,73.4,PLUS,61.4,57.5,72.8,GOOD
42,Jordan Walker,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,650,4-Seam Fastball,14.3,98.4,100,243,230,Sweeper,100,Sinker,100,Sinker 31.7% | Changeup 18.7% | Slider 17.8% | Cutter 17.4%,79.2,56,87,86,50,61.3,73.3,PLUS,66.7,58.3,75.5,STRONG
43,Moisés Ballesteros,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,610,Curveball,25.7,100,100,216,249,Cutter,100,Changeup,100,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,83.6,54.8,92.1,70.5,62,63.2,73.2,PLUS,70.4,63.6,74.2,GOOD
44,Will Smith,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,420,4-Seam Fastball,52.4,100,100,171,292,Sinker,100,4-Seam Fastball,100,4-Seam Fastball 52.4% | Slider 23.6% | Changeup 18.8% | Knuckle Curve 5.1%,90.3,59,85.9,62,50,78,72.8,PLUS,60.8,54.3,69.4,GOOD
45,Mark Vientos,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,Framber Valdez,570,Sinker,39.9,100,100,208,248,Slider,100,Sinker,100,Sinker 39.9% | Curveball 31.9% | Changeup 24.2% | Slider 3.6%,90,57.8,94.8,60.6,50,65.3,72.4,PLUS,56,56.1,69.7,GOOD
46,Jake Burger,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,470,4-Seam Fastball,61,85.4,100,210,277,Sinker,100,4-Seam Fastball,100,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,86,61.7,88.1,60.3,50,76.9,72.3,PLUS,65.7,60.8,73.7,GOOD
47,Drake Baldwin,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,Shota Imanaga,525,4-Seam Fastball,34.6,100,100,281,286,Slider,100,4-Seam Fastball,100,Split-Finger 40.9% | 4-Seam Fastball 34.6% | Sweeper 15.4% | Sinker 7.7%,89.6,57.3,76.8,75.1,43,68,71.9,PLUS,57,49,66.9,GOOD
48,Jackson Merrill,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,568,4-Seam Fastball,61.3,100,91.3,286,271,Changeup,100,4-Seam Fastball,91.3,4-Seam Fastball 61.3% | Slider 23.6% | Curveball 13.7%,87.2,60.4,87.7,60.2,62,65.4,71.9,PLUS,51.9,45,63.5,STANDARD
49,Junior Caminero,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,440,4-Seam Fastball,31.9,100,100,263,310,Curveball,100,Sinker,100,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,86.1,54.4,87.3,66.4,50,78,71.7,PLUS,52.6,50.2,61.7,STANDARD
50,Nolan Gorman,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,650,Sinker,31.7,100,100,239,230,4-Seam Fastball,100,Sinker,100,Sinker 31.7% | Changeup 18.7% | Slider 17.8% | Cutter 17.4%,89.3,56,88.3,59.9,62,61.3,71.6,PLUS,58.5,51.5,67.9,GOOD
51,Ketel Marte,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,426,Slider,34.9,92.6,100,222,215,4-Seam Fastball,93,Changeup,100,Slider 34.9% | Sinker 32.6% | Cutter 12.1% | 4-Seam Fastball 11.2%,82.3,54.6,92.3,59.7,58,78,71.5,PLUS,64.7,61.9,71.6,GOOD
52,Joc Pederson,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,590,4-Seam Fastball,61,100,100,155,277,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,96,66.7,93.1,56.6,62,64.2,71.5,PLUS,66.9,57.8,70.9,GOOD
53,Kody Clemens,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,625,4-Seam Fastball,25.2,100,100,226,254,Slider,100,Sweeper,100,Sweeper 29.9% | Slider 26.4% | 4-Seam Fastball 25.2% | Sinker 9.8%,85.3,59.3,86.5,68.7,50,62.5,71.3,PLUS,53.7,45,63.5,STANDARD
54,Otto Lopez,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,850,4-Seam Fastball,37.7,100,100,239,228,4-Seam Fastball,100,Slider,100,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,90.3,60.4,93.8,59.8,50,49.3,71.1,PLUS,69.7,62.2,68.2,GOOD
55,Jackson Chourio,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,725,Sinker,20.8,100,100,99,284,Sinker,100,Sweeper,100,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,85.8,56.7,77.4,77.3,50,53.3,70.9,PLUS,61.4,49.6,69.4,GOOD
56,Gavin Sheets,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,590,4-Seam Fastball,61.3,100,91.3,186,271,Sinker,100,4-Seam Fastball,91.3,4-Seam Fastball 61.3% | Slider 23.6% | Curveball 13.7%,87.2,60.4,82,59.3,62,64.2,70.7,PLUS,50.9,44.6,63,STANDARD
57,Corbin Carroll,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,451,Slider,34.9,94,100,256,215,4-Seam Fastball,100,Changeup,100,Slider 34.9% | Sinker 32.6% | Cutter 12.1% | 4-Seam Fastball 11.2%,83.4,54.6,90,62.4,43,78,70.6,PLUS,64.4,62.6,74.6,GOOD
58,Royce Lewis,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,650,4-Seam Fastball,25.2,100,100,193,254,4-Seam Fastball,100,Sweeper,100,Sweeper 29.9% | Slider 26.4% | 4-Seam Fastball 25.2% | Sinker 9.8%,88.8,59.2,82.3,64.6,50,61.3,70.5,PLUS,50.6,43.8,61.3,STANDARD
59,Bryce Harper,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,Sonny Gray,490,4-Seam Fastball,11.4,100,85.1,279,70,4-Seam Fastball,100,Cutter,96.1,Cutter 30.0% | Curveball 21.4% | Sinker 18.6% | Sweeper 11.4%,76.3,55.6,82.5,67.1,62,75.4,70.4,PLUS,60.5,55.8,72.4,GOOD
60,Miguel Vargas,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,550,Sweeper,12.6,93.4,100,278,302,4-Seam Fastball,100,Cutter,100,Sinker 18.2% | Cutter 15.9% | 4-Seam Fastball 15.6% | Curveball 14.9%,76.6,56.3,88.8,72,50,66.5,70.4,PLUS,59.7,54.6,71.3,GOOD
61,Kyle Stowers,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,400,Splitter,28.5,100,100,223,228,Splitter,100,Slider,100,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,87.9,59.6,94.3,54.8,62,83,70.2,PLUS,69.6,66.3,77.9,STRONG
62,Andrew Benintendi,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,650,4-Seam Fastball,15.6,100,85.1,187,302,4-Seam Fastball,100,Cutter,100,Sinker 18.2% | Cutter 15.9% | 4-Seam Fastball 15.6% | Curveball 14.9%,83.2,56.3,80.7,66.3,62,61.3,70.2,PLUS,57.1,52.3,65.9,GOOD
63,Brandon Lowe,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,543,4-Seam Fastball,28.2,100,86.2,294,245,Changeup,100,Slurve,100,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,82.4,54.5,80.5,63.1,62,66.9,69.9,NEUTRAL,65.5,56.8,72.4,GOOD
64,Josh Jung,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,550,4-Seam Fastball,61,100,100,237,277,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,96,66.7,95,50.7,50,66.5,69.5,NEUTRAL,62.6,56.7,70,GOOD
65,Jorge Mateo,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,Shota Imanaga,960,4-Seam Fastball,34.6,100,100,128,286,4-Seam Fastball,100,4-Seam Fastball,100,Split-Finger 40.9% | 4-Seam Fastball 34.6% | Sweeper 15.4% | Sinker 7.7%,95.5,60.5,84.7,59.1,50,40.6,69.5,NEUTRAL,50.2,38.7,56.1,STANDARD
66,Dalton Rushing,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,520,4-Seam Fastball,52.4,84.3,100,126,292,Splitter,95,4-Seam Fastball,100,4-Seam Fastball 52.4% | Slider 23.6% | Changeup 18.8% | Knuckle Curve 5.1%,83.9,59,81.5,61.3,50,68.3,69.4,NEUTRAL,57.5,50.8,68,GOOD
67,Teoscar Hernández,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,440,4-Seam Fastball,52.4,100,100,249,292,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 52.4% | Slider 23.6% | Changeup 18.8% | Knuckle Curve 5.1%,96,63.7,85.6,55.1,50,78,69.4,NEUTRAL,58,52.5,66.6,GOOD
68,Dominic Canzone,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,529,Sinker,20.3,68.2,100,143,261,Splitter,100,Sinker,100,Cutter 21.8% | Knuckle Curve 21.1% | Sinker 20.3% | Sweeper 18.0%,77.4,54,65.7,75.9,62,67.7,69.3,NEUTRAL,70.3,65.7,80.8,STRONG
69,Jarren Duran,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,690,4-Seam Fastball,39.2,100,100,268,283,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,96,62.8,91.4,54.6,62,54.6,69.3,NEUTRAL,65.7,59.8,70.6,GOOD
70,Alec Burleson,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,575,4-Seam Fastball,14.3,100,100,250,230,Curveball,100,Sinker,100,Sinker 31.7% | Changeup 18.7% | Slider 17.8% | Cutter 17.4%,79.8,56,81.6,63.5,62,65,69.3,NEUTRAL,59.2,53,68.4,GOOD
71,Kyle Tucker,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,533,4-Seam Fastball,52.4,100,100,257,292,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 52.4% | Slider 23.6% | Changeup 18.8% | Knuckle Curve 5.1%,96,63.7,91.6,48.5,62,67.5,69.1,NEUTRAL,58.2,49.1,63.6,STANDARD
72,Evan Carter,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,770,4-Seam Fastball,61,100,100,247,277,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,96,66.7,93.4,50.1,62,51.7,68.9,NEUTRAL,64.5,54.2,67,GOOD
73,Dillon Dingler,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,Christian Scott,525,Sweeper,15.6,69.8,100,252,199,Slider,100,Sweeper,100,4-Seam Fastball 55.3% | Cutter 24.1% | Sweeper 15.6%,76.3,56.2,71.7,76.8,50,68,68.8,NEUTRAL,59.3,54.4,70,GOOD
74,Gabriel Moreno,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,1000,Sinker,32.6,100,100,124,215,4-Seam Fastball,100,Changeup,100,Slider 34.9% | Sinker 32.6% | Cutter 12.1% | 4-Seam Fastball 11.2%,84.1,54.6,87.7,65.7,62,39.7,68.8,NEUTRAL,67,57.3,58.7,STANDARD
75,Dansby Swanson,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,650,4-Seam Fastball,25.7,100,100,231,249,Sinker,100,Changeup,100,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,85.3,56.4,83.4,58.1,50,61.3,68.6,NEUTRAL,62.3,60.1,71.4,GOOD
76,Joey Wiemer,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,610,4-Seam Fastball,23.1,100,100,64,78,4-Seam Fastball,100,Sinker,100,Changeup 32.1% | Sinker 24.4% | 4-Seam Fastball 23.1% | Curveball 20.5%,82.4,56.8,79.9,61.2,50,63.2,68.4,NEUTRAL,68.8,58.8,75.8,STRONG
77,Owen Caissie,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,850,Splitter,28.5,83.3,100,166,228,Splitter,83.3,Slider,100,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,81,59.6,85.7,58.2,62,49.3,68.3,NEUTRAL,70.3,61.8,68.5,GOOD
78,Brady House,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,680,4-Seam Fastball,23.1,100,100,159,78,Sweeper,100,Sinker,100,Changeup 32.1% | Sinker 24.4% | 4-Seam Fastball 23.1% | Curveball 20.5%,82.2,54.7,87,60.3,50,55.1,68.1,NEUTRAL,70.6,59,74.2,GOOD
79,Jake Bauers,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,800,4-Seam Fastball,22.9,100,78.5,241,284,4-Seam Fastball,100,Sweeper,100,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,82.6,56.9,81.5,66.7,50,50.8,68.1,NEUTRAL,54.9,46.4,63.6,STANDARD
80,Marcelo Mayer,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,820,4-Seam Fastball,39.2,100,100,181,283,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,96,62.8,95,48.6,62,50.2,68,NEUTRAL,63.8,57.5,65.5,GOOD
81,Rafael Devers,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,525,4-Seam Fastball,47,100,100,285,268,4-Seam Fastball,100,4-Seam Fastball,100,4-Seam Fastball 47.0% | Sweeper 29.1% | Split-Finger 10.8% | Curveball 9.3%,96,63.2,76.3,55.3,62,68,68,NEUTRAL,50.9,42.3,60.3,STANDARD
82,Christopher Morel,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,520,Slider,27.2,93,100,104,228,Slider,93,Slider,100,4-Seam Fastball 37.7% | Split-Finger 28.5% | Slider 27.2% | Curveball 6.1%,91.2,59.5,90.8,53.5,50,68.3,67.5,NEUTRAL,62.8,61.6,75.1,STRONG
83,Jeff McNeil,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,1200,4-Seam Fastball,32.4,79.8,100,185,241,Splitter,87.8,4-Seam Fastball,100,4-Seam Fastball 32.4% | Slider 25.7% | Changeup 16.2% | Curveball 13.7%,82.1,56.4,78.9,67.2,62,36.2,67.5,NEUTRAL,69.6,56.6,64.6,STANDARD
84,Brice Turang,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,680,4-Seam Fastball,22.9,100,78.5,274,284,4-Seam Fastball,100,Sweeper,100,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,82.6,56.9,78.2,64,50,55.1,67.4,NEUTRAL,54.5,46.4,63.2,STANDARD
85,Carter Jensen,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,800,Sinker,23.1,100,77.6,248,251,Curveball,100,Sweeper,100,Sweeper 26.3% | 4-Seam Fastball 25.1% | Sinker 23.1% | Cutter 17.5%,78.5,55.9,81.4,60.9,62,50.8,67.1,NEUTRAL,61.5,53.2,67.1,GOOD
