rank,name,team,opponent,game,pitcher,odds,book,final_hr_score,decision_tier,confidence,consensus_score,consensus_label,agreement_count,disagreement_count,model_score_avg,model_score_min,model_score_max,model_score_range,volatility,model_probability_est,market_implied_probability,market_edge_points,value_score,sharp_flag,nuke_flag,core_flag,value_flag,ladder_flag,stealth_flag,all_flags,master_score,matchup_score,split_score,per_pitch_score,primary_pitch_match,primary_pitch_usage_pct,signal_flags,note
36,Will Benson,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,323,DraftKings,64.5,WATCH,SPECULATIVE,51,NO CONSENSUS,1,0,68.2,60.8,74.7,13.9,LOW,10.5,23.6,-13.1,10.7,NO,NO,NO,NO,NO,NO,,73,60.8,64.1,74.7,Sinker,28.4,,Thin agreement
37,Julio Rodríguez,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,470,FanDuel,63.7,WATCH,SPECULATIVE,51,NO CONSENSUS,1,0,67.5,63.8,76,12.2,LOW,10.4,17.5,-7.1,34.7,NO,NO,NO,NO,NO,NO,,76,63.8,66.4,63.9,Changeup,13,,Thin agreement
38,Owen Caissie,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,850,BetMGM,60.9,WATCH,SPECULATIVE,51,NO CONSENSUS,1,0,68,62.6,72.5,9.9,MEDIUM,10.1,10.5,-0.4,58.8,NO,NO,NO,NO,NO,NO,,68.5,62.6,72.5,68.3,Splitter,28.5,,Thin agreement
39,Tyler Stephenson,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,540,FanDuel,62.7,WATCH,SPECULATIVE,50.2,NO CONSENSUS,1,0,67.3,60.1,73.4,13.3,LOW,10.3,15.6,-5.3,40.1,NO,NO,NO,NO,NO,NO,,72.8,60.1,62.7,73.4,4-Seam Fastball,23.4,,Thin agreement
40,Joc Pederson,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,590,FanDuel,61.9,WATCH,SPECULATIVE,50.1,NO CONSENSUS,1,0,67.1,58.9,71.5,12.6,LOW,10.2,14.5,-4.3,43.1,NO,NO,NO,NO,NO,NO,,70.9,58.9,67.1,71.5,4-Seam Fastball,61,,Thin agreement
41,Mickey Gasper,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,790,FanDuel,62.7,LOTTO ONLY,SPECULATIVE,46.4,NO CONSENSUS,2,1,69.3,55.2,78.9,23.7,MEDIUM,10.3,11.2,-0.9,57.3,NO,NO,NO,NO,NO,NO,,75.1,68,78.9,55.2,,0,SPLITS|CONTACT,Two layer lean
42,Seiya Suzuki,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,425,BetMGM,64,WATCH,SPECULATIVE,45.4,NO CONSENSUS,0,0,67.9,62.9,74.6,11.7,LOW,10.5,19,-8.5,24.5,NO,NO,NO,NO,NO,NO,,74.6,62.9,67.3,66.6,4-Seam Fastball,25.7,,Thin agreement
43,Michael Busch,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,450,DraftKings,63.1,WATCH,SPECULATIVE,45.2,NO CONSENSUS,0,0,66.8,61.8,72.2,10.4,LOW,10.4,18.2,-7.8,32.6,NO,NO,NO,NO,NO,NO,,72.2,61.8,67.6,65.6,4-Seam Fastball,25.7,,Thin agreement
44,Jarren Duran,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,690,DraftKings,61.4,WATCH,SPECULATIVE,45,NO CONSENSUS,0,0,67.5,60.5,70.6,10.1,MEDIUM,10.1,12.7,-2.6,52.2,NO,NO,NO,NO,NO,NO,,70.6,60.5,69.7,69.3,4-Seam Fastball,39.2,,Thin agreement
45,Pete Crow-Armstrong,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,550,DraftKings,62.2,WATCH,SPECULATIVE,44.9,NO CONSENSUS,0,0,67,60.9,71.4,10.5,LOW,10.2,15.4,-5.2,40.4,NO,NO,NO,NO,NO,NO,,71.4,60.9,69.2,66.5,4-Seam Fastball,25.7,,Thin agreement
