name,team,game,lineup_spot,commence_time,game_pk,side,status,confirmed
Marcell Ozuna,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,4,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
Troy Johnston,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,5,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Ryan O'Hearn,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,5,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
Kyle Karros,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,6,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Nick Gonzales,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,6,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
Jake McCarthy,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,7,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Brandon Lowe,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,7,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
Ezequiel Tovar,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,8,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Jared Triolo,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,8,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
Brett Sullivan,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,9,2026-05-13T22:40:00Z,823386,away,Pre-Game,yes
Henry Davis,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,9,2026-05-13T22:40:00Z,823386,home,Pre-Game,yes
James Wood,Washington Nationals,Washington Nationals @ Cincinnati Reds,1,2026-05-13T22:40:00Z,824519,away,Pre-Game,yes
Will Benson,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,1,2026-05-13T22:40:00Z,824519,home,Pre-Game,yes
Curtis Mead,Washington Nationals,Washington Nationals @ Cincinnati Reds,2,2026-05-13T22:40:00Z,824519,away,Pre-Game,yes
Elly De La Cruz,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,2,2026-05-13T22:40:00Z,824519,home,Pre-Game,yes
Brady House,Washington Nationals,Washington Nationals @ Cincinnati Reds,3,2026-05-13T22:40:00Z,824519,away,Pre-Game,yes
Sal Stewart,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,3,2026-05-13T22:40:00Z,824519,home,Pre-Game,yes
CJ Abrams,Washington Nationals,Washington Nationals @ Cincinnati Reds,4,2026-05-13T22:40:00Z,824519,away,Pre-Game,yes
JJ Bleday,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,4,2026-05-13T22:40:00Z,824519,home,Pre-Game,yes
Jacob Young,Washington Nationals,Washington Nationals @ Cincinnati Reds,5,2026-05-13T22:40:00Z,824519,away,Pre-Game,yes
Spencer Steer,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,5,2026-05-13T22:40:00Z,824519,home,Pre-Game,yes
Daylen Lile,Washington Nationals,Washington Nationals @ Cincinnati Reds,6,2026-05-13T22:40:00Z,824519,away,Pre-Game,yes
Nathaniel Lowe,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,6,2026-05-13T22:40:00Z,824519,home,Pre-Game,yes
Joey Wiemer,Washington Nationals,Washington Nationals @ Cincinnati Reds,7,2026-05-13T22:40:00Z,824519,away,Pre-Game,yes
Tyler Stephenson,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,7,2026-05-13T22:40:00Z,824519,home,Pre-Game,yes
Nasim Nuñez,Washington Nationals,Washington Nationals @ Cincinnati Reds,8,2026-05-13T22:40:00Z,824519,away,Pre-Game,yes
TJ Friedl,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,8,2026-05-13T22:40:00Z,824519,home,Pre-Game,yes
Keibert Ruiz,Washington Nationals,Washington Nationals @ Cincinnati Reds,9,2026-05-13T22:40:00Z,824519,away,Pre-Game,yes
Matt McLain,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,9,2026-05-13T22:40:00Z,824519,home,Pre-Game,yes
Kyle Schwarber,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,1,2026-05-13T22:45:00Z,824763,away,Pre-Game,yes
Jarren Duran,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,1,2026-05-13T22:45:00Z,824763,home,Pre-Game,yes
Bryce Harper,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,2,2026-05-13T22:45:00Z,824763,away,Pre-Game,yes
Mickey Gasper,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,2,2026-05-13T22:45:00Z,824763,home,Pre-Game,yes
Adolis García,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,3,2026-05-13T22:45:00Z,824763,away,Pre-Game,yes
Wilyer Abreu,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,3,2026-05-13T22:45:00Z,824763,home,Pre-Game,yes
Brandon Marsh,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,4,2026-05-13T22:45:00Z,824763,away,Pre-Game,yes
Willson Contreras,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,4,2026-05-13T22:45:00Z,824763,home,Pre-Game,yes
Alec Bohm,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,5,2026-05-13T22:45:00Z,824763,away,Pre-Game,yes
Masataka Yoshida,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,5,2026-05-13T22:45:00Z,824763,home,Pre-Game,yes
Bryson Stott,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,6,2026-05-13T22:45:00Z,824763,away,Pre-Game,yes
Trevor Story,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,6,2026-05-13T22:45:00Z,824763,home,Pre-Game,yes
J.T. Realmuto,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,7,2026-05-13T22:45:00Z,824763,away,Pre-Game,yes
Marcelo Mayer,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,7,2026-05-13T22:45:00Z,824763,home,Pre-Game,yes
Justin Crawford,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,8,2026-05-13T22:45:00Z,824763,away,Pre-Game,yes
Connor Wong,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,8,2026-05-13T22:45:00Z,824763,home,Pre-Game,yes
Edmundo Sosa,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,9,2026-05-13T22:45:00Z,824763,away,Pre-Game,yes
Caleb Durbin,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,9,2026-05-13T22:45:00Z,824763,home,Pre-Game,yes
George Springer,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,1,2026-05-13T23:07:00Z,822815,home,Pre-Game,yes
Yohendrick Piñango,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,2,2026-05-13T23:07:00Z,822815,home,Pre-Game,yes
Vladimir Guerrero Jr.,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,3,2026-05-13T23:07:00Z,822815,home,Pre-Game,yes
Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,4,2026-05-13T23:07:00Z,822815,home,Pre-Game,yes
Daulton Varsho,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,5,2026-05-13T23:07:00Z,822815,home,Pre-Game,yes
Jesús Sánchez,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,6,2026-05-13T23:07:00Z,822815,home,Pre-Game,yes
Ernie Clement,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,7,2026-05-13T23:07:00Z,822815,home,Pre-Game,yes
Andrés Giménez,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,8,2026-05-13T23:07:00Z,822815,home,Pre-Game,yes
Tyler Heineman,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,9,2026-05-13T23:07:00Z,822815,home,Pre-Game,yes
Kevin McGonigle,Detroit Tigers,Detroit Tigers @ New York Mets,1,2026-05-13T23:10:00Z,823631,away,Pre-Game,yes
Carson Benge,New York Mets,Detroit Tigers @ New York Mets,1,2026-05-13T23:10:00Z,823631,home,Pre-Game,yes
Dillon Dingler,Detroit Tigers,Detroit Tigers @ New York Mets,2,2026-05-13T23:10:00Z,823631,away,Pre-Game,yes
