player,team,opponent,game,pitcher,lineup,odds,book,batter_power_score,environment_score,pitcher_collapse_score,vegas_total,weather_boost,correlation_score,correlation_tier,same_game_stack_flag,negative_correlation_flag
Ryan Jeffers,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,,,BetMGM,34.07,34.00,53.88,,,41.51,NEGATIVE_CORRELATION,NO,YES
Fernando Tatis Jr.,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,,,DraftKings,33.62,34.00,54.29,,,41.47,NEGATIVE_CORRELATION,NO,YES
Jackson Merrill,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,,,DraftKings,33.95,34.00,53.69,,,41.42,NEGATIVE_CORRELATION,NO,YES
Harrison Bader,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,,,BetMGM,32.34,40.93,49.28,,,41.35,NEGATIVE_CORRELATION,NO,YES
Gavin Sheets,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,,,FanDuel,33.93,34.00,53.45,,,41.34,NEGATIVE_CORRELATION,NO,YES
Hunter Goodman,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,,,DraftKings,31.54,34.00,56.29,,,41.30,NEGATIVE_CORRELATION,NO,YES
Mickey Moniak,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,,,DraftKings,32.28,34.00,55.03,,,41.21,NEGATIVE_CORRELATION,NO,YES
Yordan Alvarez,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,,,FanDuel,38.52,34.00,47.06,,,41.16,NEGATIVE_CORRELATION,NO,YES
Willy Adames,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,,,DraftKings,32.75,40.35,48.60,,,41.16,NEGATIVE_CORRELATION,NO,YES
Mauricio Dubón,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,Shota Imanaga,,,DraftKings,32.02,39.07,50.58,,,41.14,NEGATIVE_CORRELATION,NO,YES
Xander Bogaerts,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,,,DraftKings,33.90,34.00,52.51,,,41.07,NEGATIVE_CORRELATION,NO,YES
Jonny DeLuca,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,,,DraftKings,31.40,38.80,51.19,,,41.03,NEGATIVE_CORRELATION,NO,YES
Kody Clemens,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,,,BetMGM,32.95,34.00,53.42,,,40.99,NEGATIVE_CORRELATION,NO,YES
Mike Yastrzemski,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,Shota Imanaga,,,DraftKings,31.32,39.80,50.28,,,40.99,NEGATIVE_CORRELATION,NO,YES
Christian Yelich,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,,,FanDuel,33.06,34.00,53.26,,,40.99,NEGATIVE_CORRELATION,NO,YES
Cedric Mullins,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,,,FanDuel,30.25,38.92,51.97,,,40.87,NEGATIVE_CORRELATION,NO,YES
Miguel Andujar,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,,,FanDuel,33.38,34.00,52.31,,,40.83,NEGATIVE_CORRELATION,NO,YES
Manny Machado,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,,,DraftKings,33.23,34.00,52.47,,,40.82,NEGATIVE_CORRELATION,NO,YES
Masyn Winn,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,,,BetMGM,26.39,34.00,60.54,,,40.69,NEGATIVE_CORRELATION,NO,YES
Royce Lewis,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,,,BetMGM,32.03,34.00,53.26,,,40.62,NEGATIVE_CORRELATION,NO,YES
Josh Bell,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,,,BetMGM,32.93,34.00,51.96,,,40.58,NEGATIVE_CORRELATION,NO,YES
Sung-Mun Song,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,,,BetMGM,32.42,34.00,52.45,,,40.53,NEGATIVE_CORRELATION,NO,YES
Nick Fortes,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,,,DraftKings,28.60,39.33,52.29,,,40.49,NEGATIVE_CORRELATION,NO,YES
Ryan Vilade,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,,,DraftKings,29.71,38.84,50.89,,,40.36,NEGATIVE_CORRELATION,NO,YES
Matt Chapman,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,,,FanDuel,31.59,39.62,47.56,,,40.28,NEGATIVE_CORRELATION,NO,YES
Edouard Julien,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,,,DraftKings,31.53,34.00,52.63,,,40.27,NEGATIVE_CORRELATION,NO,YES
Troy Johnston,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,,,BetMGM,31.14,34.00,53.07,,,40.26,NEGATIVE_CORRELATION,NO,YES
Willi Castro,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,,,BetMGM,30.44,34.00,53.63,,,40.17,NEGATIVE_CORRELATION,NO,YES
Zach Cole,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,,,FanDuel,35.77,34.00,46.82,,,40.13,NEGATIVE_CORRELATION,NO,YES
Ha-Seong Kim,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,Shota Imanaga,,,DraftKings,29.33,40.84,48.76,,,40.13,NEGATIVE_CORRELATION,NO,YES
Brooks Lee,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,,,FanDuel,32.00,34.00,50.90,,,39.95,NEGATIVE_CORRELATION,NO,YES
Christian Walker,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,,,FanDuel,35.52,34.00,46.32,,,39.90,NEGATIVE_CORRELATION,NO,YES
Trevor Larnach,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,,,BetMGM,32.12,34.00,50.56,,,39.90,NEGATIVE_CORRELATION,NO,YES
Jung Hoo Lee,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,,,DraftKings,29.75,39.57,48.50,,,39.88,NEGATIVE_CORRELATION,NO,YES
Cam Smith,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,,,DraftKings,35.27,34.00,45.54,,,39.60,NEGATIVE_CORRELATION,NO,YES
Ezequiel Tovar,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,,,FanDuel,30.10,34.00,51.69,,,39.51,NEGATIVE_CORRELATION,NO,YES
Brice Matthews,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,,,FanDuel,34.40,34.00,45.36,,,39.24,NEGATIVE_CORRELATION,NO,YES
Ben Williamson,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,,,Caesars,25.11,39.10,52.13,,,39.16,NEGATIVE_CORRELATION,NO,YES
Jose Altuve,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,,,DraftKings,34.48,34.00,44.92,,,39.14,NEGATIVE_CORRELATION,NO,YES
César Salazar,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,,,Caesars,34.64,34.00,44.52,,,39.09,NEGATIVE_CORRELATION,NO,YES
Freddy Fermin,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,,,BetMGM,29.66,34.00,50.35,,,38.98,NEGATIVE_CORRELATION,NO,YES
Isaac Paredes,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,,,DraftKings,34.08,34.00,44.34,,,38.84,NEGATIVE_CORRELATION,NO,YES
Jesus Rodriguez,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,,,DraftKings,27.29,39.70,47.42,,,38.76,NEGATIVE_CORRELATION,NO,YES
Taylor Walls,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,,,FanDuel,23.54,39.17,52.13,,,38.63,NEGATIVE_CORRELATION,NO,YES
Jake McCarthy,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,,,FanDuel,26.16,34.00,52.69,,,38.41,NEGATIVE_CORRELATION,NO,YES
Zach McKinstry,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,Christian Scott,,,FanDuel,23.05,34.00,56.52,,,38.39,NEGATIVE_CORRELATION,NO,YES
Victor Scott II,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,,,BetMGM,19.70,34.00,60.64,,,38.37,NEGATIVE_CORRELATION,NO,YES
Luis Rengifo,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,,,BetMGM,23.26,34.00,55.80,,,38.26,NEGATIVE_CORRELATION,NO,YES
Kyle Karros,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,,,DraftKings,24.76,34.00,52.81,,,37.95,NEGATIVE_CORRELATION,NO,YES
David Hamilton,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,,,BetMGM,21.54,34.00,55.22,,,37.50,NEGATIVE_CORRELATION,NO,YES
Luis Arraez,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,,,DraftKings,22.99,39.52,47.44,,,37.21,NEGATIVE_CORRELATION,NO,YES
Luke Keaschall,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,,,DraftKings,24.16,34.00,50.32,,,37.05,NEGATIVE_CORRELATION,NO,YES
Sal Frelick,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,,,Caesars,18.82,34.00,54.96,,,36.48,NEGATIVE_CORRELATION,NO,YES
Tyler Freeman,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,,,DraftKings,20.58,34.00,52.27,,,36.34,NEGATIVE_CORRELATION,NO,YES
Austin Martin,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,,,BetMGM,20.13,34.00,51.04,,,35.84,NEGATIVE_CORRELATION,NO,YES
Chandler Simpson,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,,,DraftKings,16.28,38.95,50.61,,,35.61,NEGATIVE_CORRELATION,NO,YES
