name,team,game,lineup_spot,player_id,avg,obp,ops,slg,iso,hits,doubles,triples,home_runs,extra_base_hits,total_bases,rbi,walks,strikeouts,plate_appearances,at_bats,strikeout_rate,walk_rate,hit_rate,total_bases_per_at_bat,stat_status
Rhys Hoskins,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,4,656555,.191,.361,.712,0.351,0.160,18,6,0,3,9,33,14,25,33,122,94,27.0,20.5,19.1,0.351,ok
Oswald Peraza,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,5,672724,.279,.344,.821,0.477,0.198,31,5,1,5,11,53,11,8,29,123,111,23.6,6.5,27.9,0.477,ok
Petey Halpin,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,5,690984,.105,.150,.255,0.105,0.000,2,0,0,0,0,2,1,1,4,20,19,20.0,5.0,10.5,0.105,ok
David Fry,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,5,681807,.254,.380,.821,0.441,0.186,15,2,0,3,5,26,8,12,19,71,59,26.8,16.9,25.4,0.441,ok
Zach Neto,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,6,687263,.224,.330,.738,0.408,0.184,39,9,1,7,17,71,20,26,63,203,174,31.0,12.8,22.4,0.408,ok
Travis Bazzana,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,6,683953,.222,.407,.718,0.311,0.089,10,1,0,1,2,14,6,12,9,59,45,15.3,20.3,22.2,0.311,ok
Yoán Moncada,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,7,660162,.190,.309,.614,0.305,0.114,20,1,1,3,5,32,9,16,43,123,105,35.0,13.0,19.0,0.305,ok
Daniel Schneemann,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,7,682177,.272,.357,.804,0.447,0.175,31,8,0,4,12,51,18,15,38,129,114,29.5,11.6,27.2,0.447,ok
Adam Frazier,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,8,624428,.242,.319,.722,0.403,0.161,15,5,1,1,7,25,6,6,20,71,62,28.2,8.5,24.2,0.403,ok
Omar Martinez,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,8,683079,.333,.333,.666,0.333,0.000,1,0,0,0,0,1,0,0,1,3,3,33.3,0.0,33.3,0.333,ok
Sebastián Rivero,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,8,665861,.160,.192,.352,0.160,0.000,4,0,0,0,0,4,0,1,4,27,25,14.8,3.7,16.0,0.160,ok
Austin Hedges,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,8,595978,.278,.333,.740,0.407,0.130,15,4,0,1,5,22,4,5,13,60,54,21.7,8.3,27.8,0.407,ok
Bryce Teodosio,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,9,669326,.222,.271,.538,0.267,0.044,10,2,0,0,2,12,2,3,17,49,45,34.7,6.1,22.2,0.267,ok
Brayan Rocchio,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,9,677587,.275,.350,.723,0.373,0.099,39,5,0,3,8,53,22,14,16,162,142,9.9,8.6,27.5,0.373,ok
Edouard Julien,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,1,666397,.245,.341,.686,0.345,0.100,27,3,1,2,6,38,12,15,35,126,110,27.8,11.9,24.5,0.345,ok
Oneil Cruz,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,1,665833,.260,.325,.805,0.480,0.220,46,9,0,10,19,85,30,15,65,194,177,33.5,7.7,26.0,0.480,ok
Mickey Moniak,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,2,666160,.308,.355,1.032,0.677,0.369,40,8,2,12,22,88,26,9,37,141,130,26.2,6.4,30.8,0.677,ok
Konnor Griffin,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,2,804606,.255,.316,.710,0.394,0.139,35,6,2,3,11,54,19,11,43,152,137,28.3,7.2,25.5,0.394,ok
Tyler Freeman,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,3,671289,.253,.330,.675,0.345,0.092,22,2,0,2,4,30,12,3,13,101,87,12.9,3.0,25.3,0.345,ok
Bryan Reynolds,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,3,668804,.248,.389,.775,0.386,0.137,38,5,2,4,11,59,26,34,45,190,153,23.7,17.9,24.8,0.386,ok
TJ Rumfield,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,4,681198,.280,.349,.801,0.452,0.172,44,7,1,6,14,71,22,15,29,175,157,16.6,8.6,28.0,0.452,ok
Marcell Ozuna,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,4,542303,.186,.274,.574,0.300,0.114,26,4,0,4,8,42,14,15,40,157,140,25.5,9.6,18.6,0.300,ok
Troy Johnston,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,5,687859,.326,.387,.852,0.465,0.140,42,12,0,2,14,60,20,11,30,143,129,21.0,7.7,32.6,0.465,ok
Ryan O'Hearn,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,5,656811,.299,.375,.849,0.474,0.175,46,6,0,7,13,73,29,18,33,176,154,18.8,10.2,29.9,0.474,ok
Kyle Karros,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,6,691720,.218,.336,.630,0.294,0.076,26,6,0,1,7,35,10,22,36,143,119,25.2,15.4,21.8,0.294,ok
Nick Gonzales,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,6,693304,.315,.380,.744,0.364,0.049,45,7,0,0,7,52,19,12,27,158,143,17.1,7.6,31.5,0.364,ok
Jake McCarthy,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,7,664983,.288,.356,.856,0.500,0.212,23,7,2,2,11,40,16,8,16,93,80,17.2,8.6,28.7,0.500,ok
Brandon Lowe,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,7,664040,.247,.351,.878,0.527,0.281,36,9,1,10,20,77,28,23,37,171,146,21.6,13.5,24.7,0.527,ok
Ezequiel Tovar,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,8,678662,.199,.248,.522,0.274,0.075,29,8,0,1,9,40,11,8,44,157,146,28.0,5.1,19.9,0.274,ok
Jared Triolo,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,8,669707,.244,.311,.604,0.293,0.049,10,2,0,0,2,12,3,3,8,45,41,17.8,6.7,24.4,0.293,ok
Brett Sullivan,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,9,664954,.212,.268,.571,0.303,0.091,14,6,0,0,6,20,7,4,17,72,66,23.6,5.6,21.2,0.303,ok
Henry Davis,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,9,680779,.151,.263,.519,0.256,0.105,13,3,0,2,5,22,8,11,18,100,86,18.0,11.0,15.1,0.256,ok
James Wood,Washington Nationals,Washington Nationals @ Cincinnati Reds,1,695578,.234,.382,.897,0.515,0.281,39,11,0,12,23,86,29,37,66,207,167,31.9,17.9,23.4,0.515,ok
Will Benson,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,1,666181,.194,.341,.684,0.343,0.149,13,2,1,2,5,23,4,14,24,83,67,28.9,16.9,19.4,0.343,ok
Curtis Mead,Washington Nationals,Washington Nationals @ Cincinnati Reds,2,678554,.227,.346,.789,0.443,0.216,20,7,0,4,11,39,15,14,17,104,88,16.3,13.5,22.7,0.443,ok
