rank,name,team,opponent,game,lineup_spot,pitcher,pitcher_hand,odds,book,final_hr_score,decision_tier,confidence,agreement_count,signal_flags,master_score,master_tier,matchup_score,matchup_grade,split_score,split_grade,per_pitch_score,per_pitch_grade,contact_score,environment_score,recent_score,market_score,value_score,barrel_rate,hard_hit_rate,primary_pitch_match,primary_pitch_usage_pct,best_hitter_pitch,weakest_pitcher_pitch,pitcher_vulnerability_score,handedness_split_score,note
75,Brendan Donovan,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,,Lance McCullers Jr.,,589,DraftKings,57.6,PASS,SPECULATIVE,0,,69.1,GOOD,56,NEUTRAL,59.9,NEUTRAL,61.4,NEUTRAL,31.2,57.2,50,64.3,60,3.3,29,Sinker,20.3,Sinker,Sinker,87.2,62,Thin profile
76,Hunter Goodman,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,,Mitch Keller,,407,DraftKings,57.1,PASS,SPECULATIVE,1,PITCH,67.2,GOOD,53.1,THIN,58.5,NEUTRAL,78.8,PLUS,78.1,47.5,50,78,64,15.1,52.9,4-Seam Fastball,39.7,4-Seam Fastball,4-Seam Fastball,22.3,50,Thin profile
77,Andy Pages,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,Robbie Ray,,490,FanDuel,56.9,PASS,SPECULATIVE,1,,68.1,GOOD,54.5,THIN,59.1,NEUTRAL,75.6,PLUS,58.5,53.3,50,75.4,64,7.4,52.5,4-Seam Fastball,52.4,4-Seam Fastball,4-Seam Fastball,45.3,62,Thin profile
78,Daylen Lile,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,,Nick Lodolo,,820,FanDuel,56.8,PASS,SPECULATIVE,0,,67.7,GOOD,56.5,NEUTRAL,65.2,PLUS,61.3,NEUTRAL,44.5,57.5,50,50.2,54,6.9,36.6,4-Seam Fastball,23.1,4-Seam Fastball,Sinker,99,43,Thin profile
79,Jesús Sánchez,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,Griffin Jax,,690,DraftKings,56.6,PASS,SPECULATIVE,0,,66.2,GOOD,56.1,NEUTRAL,63,NEUTRAL,60.8,NEUTRAL,51.7,53.8,50,54.6,60,6.9,45.5,4-Seam Fastball,30.4,Curveball,4-Seam Fastball,76.7,62,Thin profile
80,Adrian Del Castillo,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,Kumar Rocker,,780,DraftKings,56.5,PASS,SPECULATIVE,0,,65.2,GOOD,55.5,NEUTRAL,63.6,NEUTRAL,64.8,NEUTRAL,52.2,51.2,50,51.4,54,9.1,39.3,Sinker,32.6,4-Seam Fastball,Changeup,72.5,62,Thin profile
81,Michael Harris II,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,Shota Imanaga,,590,DraftKings,56.4,PASS,SPECULATIVE,1,PITCH|CONTACT|VALUE,68.9,GOOD,52.6,THIN,60.2,NEUTRAL,79.1,PLUS,87.6,50.1,50,64.2,60,17,58.9,4-Seam Fastball,34.6,Splitter,4-Seam Fastball,15.3,43,Strong layered support
82,Carter Jensen,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,,Noah Schultz,,800,BetMGM,56.2,PASS,SPECULATIVE,0,,67.1,GOOD,55,NEUTRAL,59.6,NEUTRAL,65.2,NEUTRAL,60.9,52.7,50,50.8,54,11.4,43,Sinker,23.1,Curveball,Sweeper,59.6,43,Thin profile
83,Teoscar Hernández,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,Robbie Ray,,440,DraftKings,55.4,PASS,SPECULATIVE,1,,66.6,GOOD,54.1,THIN,57.5,NEUTRAL,70.6,PLUS,55.1,53.3,50,78,64,9,43.3,4-Seam Fastball,52.4,4-Seam Fastball,4-Seam Fastball,45.3,62,Thin profile
84,Alec Burleson,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,,J.T. Ginn,,575,Caesars,55.1,PASS,SPECULATIVE,0,,68.4,GOOD,54.8,THIN,61.4,NEUTRAL,69.3,NEUTRAL,63.5,52.3,50,65,60,11.4,46.2,4-Seam Fastball,14.3,Curveball,Sinker,49.5,62,Thin profile
85,Mickey Moniak,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,,Mitch Keller,,404,DraftKings,55,PASS,SPECULATIVE,1,,67.1,GOOD,49.1,THIN,57.1,NEUTRAL,73.7,PLUS,62.6,47.5,50,78,64,12.6,41.4,4-Seam Fastball,39.7,Slider,4-Seam Fastball,22.3,62,Thin profile
86,Nolan Gorman,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,,J.T. Ginn,,650,BetMGM,54.7,PASS,SPECULATIVE,1,,67.9,GOOD,53.2,THIN,60.7,NEUTRAL,71.6,PLUS,59.9,52.3,50,61.3,60,9.8,46.7,Sinker,31.7,4-Seam Fastball,Sinker,49.5,62,Thin profile
87,Dalton Rushing,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,Robbie Ray,,520,FanDuel,54.3,PASS,SPECULATIVE,0,,68,GOOD,54.1,THIN,56.1,NEUTRAL,68.7,NEUTRAL,61.3,53.3,50,68.3,64,11.1,44.4,4-Seam Fastball,52.4,Splitter,4-Seam Fastball,45.3,43,Thin profile
88,Jackson Chourio,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,Michael King,,725,BetMGM,54.1,PASS,SPECULATIVE,1,,69.4,GOOD,53,THIN,59.8,NEUTRAL,70.9,PLUS,77.3,54.1,50,53.3,60,19,42.9,Sinker,20.8,Sinker,Sweeper,29.8,50,Thin profile
89,Yordan Alvarez,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,,Bryce Miller,,285,FanDuel,54.1,PASS,SPECULATIVE,0,CONTACT,71.8,GOOD,54.1,THIN,56,NEUTRAL,56.4,THIN,84.5,52.7,50,87,62,18,51.9,,0,,,34.4,62,Thin profile
90,Andrew Benintendi,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,,Seth Lugo,,650,BetMGM,53.5,PASS,SPECULATIVE,1,,65.9,GOOD,53.5,THIN,58,NEUTRAL,70.2,PLUS,66.3,53.3,50,61.3,60,10.3,53.2,4-Seam Fastball,15.6,4-Seam Fastball,Cutter,35,62,Thin profile
91,Drake Baldwin,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,Shota Imanaga,,525,DraftKings,53.4,PASS,SPECULATIVE,1,,66.9,GOOD,50,THIN,54,THIN,71.9,PLUS,75.1,50.1,50,68,64,14.7,50.4,4-Seam Fastball,34.6,Slider,4-Seam Fastball,15.3,43,Thin profile
92,Fernando Tatis Jr.,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,Jacob Misiorowski,,502,DraftKings,53.4,PASS,SPECULATIVE,1,,64.5,STANDARD,50.8,THIN,53.5,THIN,73.7,PLUS,74.1,51.8,50,69.5,64,11.7,58.6,4-Seam Fastball,61.3,Curveball,4-Seam Fastball,10.4,50,Thin profile
93,Austin Riley,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,Shota Imanaga,,441,DraftKings,53.4,PASS,SPECULATIVE,1,,63.4,STANDARD,48,THIN,52,THIN,75.8,PLUS,61.3,50.1,50,78,64,10.6,46,4-Seam Fastball,34.6,4-Seam Fastball,4-Seam Fastball,15.3,62,Thin profile
94,Ryan Jeffers,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,,Max Meyer,,600,BetMGM,53.2,PASS,SPECULATIVE,1,,66.1,GOOD,49.2,THIN,55.9,NEUTRAL,73.6,PLUS,74.1,49.2,50,63.7,60,16.3,44.2,4-Seam Fastball,25.2,4-Seam Fastball,Sweeper,18.9,50,Thin profile
95,Casey Schmitt,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,Shohei Ohtani,,550,BetMGM,52.8,PASS,SPECULATIVE,1,,66,GOOD,47.6,THIN,52.2,THIN,74.5,PLUS,72.8,51,50,66.5,64,14.7,47.6,4-Seam Fastball,47,Sweeper,4-Seam Fastball,5.8,50,Thin profile
96,Junior Caminero,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,,Dylan Cease,,440,FanDuel,52.8,PASS,SPECULATIVE,1,,61.7,STANDARD,51.6,THIN,51.3,THIN,71.7,PLUS,66.4,54.4,50,78,64,10.9,43.8,4-Seam Fastball,31.9,Curveball,Sinker,11.8,50,Thin profile
97,Keibert Ruiz,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,,Nick Lodolo,,880,FanDuel,52.3,PASS,SPECULATIVE,0,,68.7,GOOD,54.6,THIN,65.6,PLUS,62.1,NEUTRAL,42,57.5,50,42.5,54,4.5,40.9,Sinker,24.4,Sinker,Sinker,99,58,Thin profile
98,Adolis García,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,,Sonny Gray,,561,DraftKings,52.3,PASS,SPECULATIVE,0,,64.5,STANDARD,53.7,THIN,56.9,NEUTRAL,64.8,NEUTRAL,58.4,51.1,50,65.8,60,8.3,49.5,4-Seam Fastball,11.4,Splitter,Cutter,52.5,50,Thin profile
99,Marcell Ozuna,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,,Jose Quintana,,650,DraftKings,52.3,PASS,SPECULATIVE,0,,63.5,STANDARD,53.6,THIN,60.9,NEUTRAL,64.2,NEUTRAL,48.9,49.3,50,61.3,60,8.6,36.8,4-Seam Fastball,28.2,4-Seam Fastball,Slurve,73.5,62,Thin profile
100,Zach Cole,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,,Bryce Miller,,420,FanDuel,52.2,PASS,SPECULATIVE,0,CONTACT,69.1,GOOD,52.3,THIN,55.9,NEUTRAL,55.2,THIN,83,52.7,50,78,64,20,50,,0,,,34.4,62,Thin profile
101,Ivan Herrera,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,,J.T. Ginn,,670,DraftKings,52.1,PASS,SPECULATIVE,0,,71.3,GOOD,49.8,THIN,54.5,THIN,66,NEUTRAL,50,52.3,50,55.5,60,0,0,Sinker,31.7,Sinker,Sinker,49.5,50,Thin profile
102,Danny Jansen,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,,Ryne Nelson,,620,DraftKings,52,PASS,SPECULATIVE,0,,65.9,GOOD,54.5,THIN,57.7,NEUTRAL,61.2,NEUTRAL,40.7,51.4,50,62.7,60,5.3,36.8,Slider,13.4,Slider,4-Seam Fastball,77.5,50,Thin profile
103,Kody Clemens,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,,Max Meyer,,625,BetMGM,51.9,PASS,SPECULATIVE,1,,63.5,STANDARD,47.6,THIN,55.9,NEUTRAL,72.5,PLUS,68.7,49.2,50,62.5,60,15.2,40.9,4-Seam Fastball,25.2,Slider,Sweeper,18.9,62,Thin profile
104,Ramón Laureano,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,Jacob Misiorowski,,575,BetMGM,51.8,PASS,SPECULATIVE,1,,63.9,STANDARD,48.4,THIN,50.8,THIN,74.2,PLUS,67.7,51.8,50,65,60,13.5,44.9,4-Seam Fastball,61.3,4-Seam Fastball,4-Seam Fastball,10.4,50,Thin profile
105,Vinnie Pasquantino,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,,Noah Schultz,,680,FanDuel,51.6,PASS,SPECULATIVE,0,,66.5,GOOD,54.2,THIN,57.1,NEUTRAL,62.8,NEUTRAL,55,52.7,50,55.1,60,10,40,4-Seam Fastball,25.1,Cutter,Sweeper,59.6,43,Thin profile
106,Kyle Tucker,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,Robbie Ray,,533,DraftKings,51.5,PASS,SPECULATIVE,0,,63.6,STANDARD,50.7,THIN,52.2,THIN,67.2,NEUTRAL,48.5,53.3,50,67.5,64,6.8,41.9,4-Seam Fastball,52.4,4-Seam Fastball,4-Seam Fastball,45.3,43,Thin profile
107,Heliot Ramos,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,Shohei Ohtani,,575,DraftKings,51.4,PASS,SPECULATIVE,1,VALUE,62.3,STANDARD,46.8,THIN,51.1,THIN,75.2,PLUS,70.8,51,50,65,60,13.1,50,4-Seam Fastball,47,4-Seam Fastball,4-Seam Fastball,5.8,50,Thin profile
108,Maikel Garcia,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,,Noah Schultz,,725,BetMGM,51.3,PASS,SPECULATIVE,0,,64.7,STANDARD,52.2,THIN,59.3,NEUTRAL,64.2,NEUTRAL,48.4,52.7,50,53.3,60,6.1,43.9,Sweeper,26.3,Curveball,Sweeper,59.6,62,Thin profile
109,Trevor Story,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,,Andrew Painter,,760,FanDuel,51.2,PASS,SPECULATIVE,0,,66.6,GOOD,56.9,NEUTRAL,60.9,NEUTRAL,57.5,THIN,42.3,48.6,50,52.1,54,2.9,42.9,Sinker,13.4,Changeup,4-Seam Fastball,96,50,Thin profile
110,Brice Turang,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,Michael King,,680,FanDuel,51,PASS,SPECULATIVE,0,,63.2,STANDARD,49.8,THIN,56.2,NEUTRAL,68.6,NEUTRAL,64,54.1,50,55.1,60,10.7,49,4-Seam Fastball,22.9,4-Seam Fastball,Sweeper,29.8,62,Thin profile
111,Jackson Merrill,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,Jacob Misiorowski,,568,DraftKings,50.9,PASS,SPECULATIVE,1,,63.5,STANDARD,46.6,THIN,50.5,THIN,71.9,PLUS,60.2,51.8,50,65.4,60,9.6,47.8,4-Seam Fastball,61.3,Changeup,4-Seam Fastball,10.4,62,Thin profile
112,Mookie Betts,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,Robbie Ray,,390,BetMGM,50.9,PASS,SPECULATIVE,0,,64.1,STANDARD,51.3,THIN,51.1,THIN,58.7,NEUTRAL,41.3,53.3,50,83,62,6.3,34.4,Slider,23.6,Sinker,4-Seam Fastball,45.3,62,Thin profile
113,Caleb Durbin,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,,Andrew Painter,,1220,DraftKings,50.8,PASS,SPECULATIVE,1,,61.6,STANDARD,60.9,NEUTRAL,71.2,PLUS,64.3,NEUTRAL,67.7,48.6,50,35.9,38,90,30.9,Slider,17,Curveball,4-Seam Fastball,96,50,Thin profile
114,Jeff McNeil,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,Matthew Liberatore,,1200,FanDuel,50.6,PASS,SPECULATIVE,0,,64.6,STANDARD,58,NEUTRAL,67.7,PLUS,65.6,NEUTRAL,67.2,53.3,50,36.2,38,90,30.3,4-Seam Fastball,32.4,Splitter,4-Seam Fastball,79.2,43,Thin profile
115,Isaac Collins,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,,Noah Schultz,,850,BetMGM,50.5,PASS,SPECULATIVE,0,,64.6,STANDARD,53.1,THIN,59.8,NEUTRAL,64.5,NEUTRAL,54.3,52.7,50,49.3,46,9.3,41.3,Sweeper,26.3,4-Seam Fastball,Sweeper,59.6,58,Thin profile
116,Liam Hicks,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,,Simeon Woods Richardson,,900,BetMGM,50.5,PASS,SPECULATIVE,0,,59.3,STANDARD,58.6,NEUTRAL,69.7,PLUS,64.5,NEUTRAL,47,50.8,50,42,46,6.9,39.7,4-Seam Fastball,37.7,Splitter,Slider,99,62,Thin profile
117,Xavier Edwards,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,,Simeon Woods Richardson,,950,Caesars,50.4,PASS,SPECULATIVE,0,,62.3,STANDARD,57.7,NEUTRAL,67.3,PLUS,63.7,NEUTRAL,44.6,50.8,50,40.8,46,6.7,37.3,4-Seam Fastball,37.7,4-Seam Fastball,Slider,99,58,Thin profile
118,Jake Bauers,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,Michael King,,800,BetMGM,50.3,PASS,SPECULATIVE,0,,63.6,STANDARD,49.8,THIN,57.6,NEUTRAL,69.3,NEUTRAL,66.7,54.1,50,50.8,46,10.8,52.1,4-Seam Fastball,22.9,4-Seam Fastball,Sweeper,29.8,62,Thin profile
119,Ceddanne Rafaela,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,,Andrew Painter,,980,FanDuel,50.2,PASS,SPECULATIVE,0,,65,GOOD,55.6,NEUTRAL,64.6,NEUTRAL,62.2,NEUTRAL,44.8,48.6,50,40.1,54,7.2,36,4-Seam Fastball,39.2,Sweeper,4-Seam Fastball,96,50,Thin profile
120,Gavin Sheets,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,Jacob Misiorowski,,590,FanDuel,50.1,PASS,SPECULATIVE,1,,63,STANDARD,46.1,THIN,49.5,THIN,70.7,PLUS,59.3,51.8,50,64.2,60,10.6,43.5,4-Seam Fastball,61.3,Sinker,4-Seam Fastball,10.4,62,Thin profile
121,Bryan Reynolds,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,,Jose Quintana,,800,BetMGM,49.9,PASS,SPECULATIVE,0,,61.8,STANDARD,52.9,THIN,61.9,NEUTRAL,62.7,NEUTRAL,52.6,49.3,50,50.8,46,7.9,43.6,4-Seam Fastball,28.2,4-Seam Fastball,Slurve,73.5,58,Thin profile
122,Royce Lewis,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,,Max Meyer,,650,BetMGM,49.8,PASS,SPECULATIVE,1,,61.3,STANDARD,46.3,THIN,51.5,THIN,70.5,PLUS,64.6,49.2,50,61.3,60,13.3,41.7,4-Seam Fastball,25.2,4-Seam Fastball,Sweeper,18.9,50,Thin profile
123,Jakob Marsee,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,,Simeon Woods Richardson,,900,BetMGM,49.8,PASS,SPECULATIVE,0,,61.3,STANDARD,56.8,NEUTRAL,66.5,PLUS,63,NEUTRAL,40.2,50.8,50,42,46,3.8,40.2,Splitter,28.5,Splitter,Slider,99,62,Thin profile
124,Gabriel Moreno,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,Kumar Rocker,,1000,BetMGM,49.8,PASS,SPECULATIVE,0,,58.7,STANDARD,57.1,NEUTRAL,65.8,PLUS,67.6,NEUTRAL,65.7,51.2,50,39.7,46,13.2,43.4,Sinker,32.6,4-Seam Fastball,Changeup,72.5,50,Thin profile
125,Cole Young,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,,Lance McCullers Jr.,,1000,BetMGM,49.5,PASS,SPECULATIVE,0,,61.8,STANDARD,57.2,NEUTRAL,67.1,PLUS,61.2,NEUTRAL,50.9,57.2,50,39.7,46,8,41.1,Cutter,21.8,4-Seam Fastball,Sinker,87.2,62,Thin profile
126,Masataka Yoshida,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,,Andrew Painter,,1040,DraftKings,49.3,PASS,SPECULATIVE,0,,62.3,STANDARD,57.4,NEUTRAL,68.1,PLUS,61.2,NEUTRAL,52.3,48.6,50,38.9,38,0,42.9,Slider,17,Slider,4-Seam Fastball,96,62,Thin profile
127,Christian Walker,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,,Bryce Miller,,350,FanDuel,49,PASS,SPECULATIVE,0,,66.4,GOOD,49.4,THIN,47.6,THIN,51.5,THIN,68.9,52.7,50,83,62,13,48,,0,,,34.4,50,Thin profile
128,Henry Davis,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,,Jose Quintana,,760,FanDuel,49,PASS,SPECULATIVE,0,,61.1,STANDARD,51.7,THIN,58.5,NEUTRAL,60.1,NEUTRAL,47.3,49.3,50,52.1,54,7.6,37.9,Sinker,16.7,Sinker,Slurve,73.5,62,Thin profile
129,Nolan Arenado,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,Kumar Rocker,,840,DraftKings,48.8,PASS,SPECULATIVE,0,,63.8,STANDARD,52,THIN,56.7,NEUTRAL,60.9,NEUTRAL,40.1,51.2,50,49.6,46,7.8,28.2,Sinker,32.6,Sinker,Changeup,72.5,50,Thin profile
130,Ryan O'Hearn,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,,Jose Quintana,,770,DraftKings,48.7,PASS,SPECULATIVE,0,,63,STANDARD,51.9,THIN,56.8,NEUTRAL,58,NEUTRAL,48.1,49.3,50,51.7,54,6.1,43.5,Sinker,16.7,Sinker,Slurve,73.5,43,Thin profile
131,Marcus Semien,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,,Framber Valdez,,790,DraftKings,48.7,PASS,SPECULATIVE,0,,60.8,STANDARD,51.1,THIN,56.7,NEUTRAL,61.9,NEUTRAL,44.9,50.3,50,51.1,54,7.8,34.2,Changeup,24.2,4-Seam Fastball,Sinker,62.9,62,Thin profile
132,Rafael Devers,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,Shohei Ohtani,,525,DraftKings,48.3,PASS,SPECULATIVE,0,,60.3,STANDARD,43.3,AVOID,46,THIN,68,NEUTRAL,55.3,51,50,68,64,8.4,45.4,4-Seam Fastball,47,4-Seam Fastball,4-Seam Fastball,5.8,62,Thin profile
133,Matt McLain,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,,Jake Irvin,,760,FanDuel,48.2,PASS,SPECULATIVE,0,,63.1,STANDARD,50.2,THIN,52.2,THIN,61,NEUTRAL,40.4,57.4,50,52.1,54,7.5,29.6,Sinker,28.4,4-Seam Fastball,4-Seam Fastball,59.7,50,Thin profile
134,Joe Mack,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,,Simeon Woods Richardson,,900,BetMGM,48.2,PASS,SPECULATIVE,0,,58.7,STANDARD,56.4,NEUTRAL,65.1,PLUS,60,NEUTRAL,38.8,50.8,50,42,46,6.3,31.3,4-Seam Fastball,37.7,Cutter,Slider,99,62,Thin profile
135,Lane Thomas,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,,Noah Schultz,,680,FanDuel,48.1,PASS,SPECULATIVE,0,,60.5,STANDARD,49.8,THIN,52.3,THIN,61,NEUTRAL,38,52.7,50,55.1,60,3.6,37.5,4-Seam Fastball,25.1,Sinker,Sweeper,59.6,62,Thin profile
136,J.P. Crawford,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,,Lance McCullers Jr.,,1060,DraftKings,47.5,PASS,SPECULATIVE,0,,58.6,STANDARD,56.2,NEUTRAL,66,PLUS,59.9,NEUTRAL,47.6,57.2,50,38.6,38,8.3,36.1,Cutter,21.8,Curveball,Sinker,87.2,62,Thin profile
137,Bo Bichette,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,,Framber Valdez,,850,DraftKings,47.2,PASS,SPECULATIVE,0,,58.4,STANDARD,50.8,THIN,56.3,NEUTRAL,60.9,NEUTRAL,44.6,50.3,50,49.3,46,4.4,44.5,Curveball,31.9,Slider,Sinker,62.9,62,Thin profile
138,Jonathan Aranda,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,,Dylan Cease,,720,DraftKings,47,PASS,SPECULATIVE,0,,59.9,STANDARD,45.4,THIN,49.5,THIN,64,NEUTRAL,57.7,54.4,50,53.5,60,10.1,43.1,4-Seam Fastball,31.9,Cutter,Sinker,11.8,62,Thin profile
139,Manny Machado,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,Jacob Misiorowski,,556,DraftKings,46.8,PASS,SPECULATIVE,0,,59.5,STANDARD,44,AVOID,44.2,AVOID,64.6,NEUTRAL,49.9,51.8,50,66.1,60,6.6,44.3,4-Seam Fastball,61.3,Slider,4-Seam Fastball,10.4,50,Thin profile
140,Pedro Pagés,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,,J.T. Ginn,,760,FanDuel,46.7,PASS,SPECULATIVE,0,,61,STANDARD,46.6,THIN,50.5,THIN,61.2,NEUTRAL,39.9,52.3,50,52.1,54,6.1,33.3,Sinker,31.7,Slider,Sinker,49.5,50,Thin profile
141,Josh Bell,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,,Max Meyer,,700,BetMGM,46.7,PASS,SPECULATIVE,0,,59.2,STANDARD,42.9,AVOID,50.1,THIN,64.8,NEUTRAL,55.9,49.2,50,54.3,60,9.9,41.4,Slider,26.4,Slider,Sweeper,18.9,58,Thin profile
142,Lourdes Gurriel Jr.,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,Kumar Rocker,,890,DraftKings,46.1,PASS,SPECULATIVE,0,,59.1,STANDARD,50.7,THIN,54.8,THIN,58.8,NEUTRAL,39.4,51.2,50,42.3,46,6.1,32.7,Cutter,12.1,Cutter,Changeup,72.5,50,Thin profile
143,Colt Keith,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,,Christian Scott,,680,DraftKings,46.1,PASS,SPECULATIVE,0,,57.6,STANDARD,46.2,THIN,49.9,THIN,60,NEUTRAL,47.5,48.4,50,55.1,60,5.6,44.4,4-Seam Fastball,55.3,4-Seam Fastball,Sweeper,34.7,62,Thin profile
144,TJ Friedl,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,,Jake Irvin,,880,FanDuel,45.4,PASS,SPECULATIVE,0,,60.4,STANDARD,46.5,THIN,51.6,THIN,61,NEUTRAL,32.2,57.4,50,42.5,46,3,30.2,Sinker,28.4,Sinker,4-Seam Fastball,59.7,62,Thin profile
145,Wenceel Pérez,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,,Christian Scott,,800,BetMGM,45.2,PASS,SPECULATIVE,0,,57.6,STANDARD,46.5,THIN,49.6,THIN,61.5,NEUTRAL,51.5,48.4,50,50.8,46,8.6,40,Sweeper,15.6,Sinker,Sweeper,34.7,58,Thin profile
146,Edouard Julien,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,,Mitch Keller,,830,DraftKings,44.7,PASS,SPECULATIVE,0,,56.6,STANDARD,43.6,AVOID,51.5,THIN,61.7,NEUTRAL,58.7,47.5,50,49.9,46,8.5,49.3,Slider,9.6,Slider,4-Seam Fastball,22.3,62,Thin profile
147,Xander Bogaerts,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,Jacob Misiorowski,,720,DraftKings,44.5,PASS,SPECULATIVE,0,,57.4,STANDARD,41.1,AVOID,42.6,AVOID,64.8,NEUTRAL,46.6,51.8,50,53.5,60,7.6,37,4-Seam Fastball,61.3,4-Seam Fastball,4-Seam Fastball,10.4,50,Thin profile
148,Ezequiel Duran,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,,Ryne Nelson,,930,DraftKings,44.3,PASS,SPECULATIVE,0,,58.6,STANDARD,53.5,THIN,62.4,NEUTRAL,66.4,NEUTRAL,49.9,51.4,50,41.3,46,6.6,44.2,4-Seam Fastball,61,4-Seam Fastball,4-Seam Fastball,77.5,50,Thin profile
