rank,name,team,opponent,game,lineup_spot,pitcher,pitcher_hand,odds,book,final_hr_score,decision_tier,confidence,agreement_count,signal_flags,master_score,master_tier,matchup_score,matchup_grade,split_score,split_grade,per_pitch_score,per_pitch_grade,contact_score,environment_score,recent_score,market_score,value_score,barrel_rate,hard_hit_rate,primary_pitch_match,primary_pitch_usage_pct,best_hitter_pitch,weakest_pitcher_pitch,pitcher_vulnerability_score,handedness_split_score,note
32,Jake Burger,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,,Ryne Nelson,,470,FanDuel,64.4,WATCH,SPECULATIVE,1,,73.7,GOOD,61.9,NEUTRAL,65.9,PLUS,72.3,PLUS,60.3,51.4,50,76.9,64,9.8,47.3,4-Seam Fastball,61,Sinker,4-Seam Fastball,77.5,50,Thin profile
33,Christopher Morel,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,,Simeon Woods Richardson,,520,FanDuel,64.2,WATCH,SPECULATIVE,1,,75.1,STRONG,64.5,NEUTRAL,69.1,PLUS,67.5,NEUTRAL,53.5,50.8,50,68.3,64,0,44.4,Slider,27.2,Slider,Slider,99,50,Thin profile
34,Seiya Suzuki,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,,JR Ritchie,,425,BetMGM,64,WATCH,SPECULATIVE,0,,74.6,GOOD,62.9,NEUTRAL,67.3,PLUS,66.6,NEUTRAL,56.3,50.3,50,78,64,9.5,43.2,4-Seam Fastball,25.7,4-Seam Fastball,Changeup,92.5,50,Thin profile
35,Julio Rodríguez,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,,Lance McCullers Jr.,,470,FanDuel,63.7,WATCH,SPECULATIVE,1,,76,STRONG,63.8,NEUTRAL,66.4,PLUS,63.9,NEUTRAL,53.1,57.2,50,76.9,64,8.7,41.7,Changeup,13,Slider,Sinker,87.2,50,Thin profile
36,Brandon Nimmo,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,,Ryne Nelson,,573,DraftKings,63.7,WATCH,SPECULATIVE,1,,72.8,GOOD,60.8,NEUTRAL,69.5,PLUS,73.9,PLUS,63.5,51.4,50,65.1,60,9.7,51.6,4-Seam Fastball,61,Cutter,4-Seam Fastball,77.5,62,Thin profile
37,Ketel Marte,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,Kumar Rocker,,426,DraftKings,63.7,WATCH,SPECULATIVE,1,,71.6,GOOD,61.7,NEUTRAL,65.7,PLUS,71.5,PLUS,59.7,51.2,50,78,64,9.7,46.8,Slider,34.9,4-Seam Fastball,Changeup,72.5,58,Thin profile
38,Brady House,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,,Nick Lodolo,,680,FanDuel,63.3,LOTTO ONLY,SPECULATIVE,1,,74.2,GOOD,61.4,NEUTRAL,74.1,PLUS,69.3,NEUTRAL,60.3,57.5,50,55.1,60,11.2,42.9,4-Seam Fastball,23.1,Sweeper,Sinker,99,62,Thin profile
39,Michael Busch,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,,JR Ritchie,,450,DraftKings,63.1,WATCH,SPECULATIVE,0,,72.2,GOOD,61.8,NEUTRAL,67.6,PLUS,65.6,NEUTRAL,51.8,50.3,50,78,64,8.8,39.8,4-Seam Fastball,25.7,Sinker,Changeup,92.5,62,Thin profile
40,Colson Montgomery,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,,Seth Lugo,,350,BetMGM,62.9,WATCH,SPECULATIVE,1,,71.4,GOOD,57.2,NEUTRAL,61,NEUTRAL,74.8,PLUS,67.2,53.3,50,83,62,14.3,41.8,Cutter,15.9,4-Seam Fastball,Cutter,35,62,Thin profile
41,Mickey Gasper,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,,Andrew Painter,,790,FanDuel,62.7,LOTTO ONLY,SPECULATIVE,2,SPLITS|CONTACT,75.1,STRONG,68,PLUS,78.9,ATTACK,55.2,THIN,85.8,48.6,50,51.1,62,14.3,85.7,,0,,4-Seam Fastball,96,58,Playable with selectivity
42,Tyler Stephenson,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,,Jake Irvin,,540,FanDuel,62.7,WATCH,SPECULATIVE,1,,72.8,GOOD,60.1,NEUTRAL,62.7,NEUTRAL,73.4,PLUS,69.3,57.4,50,67.1,64,13.2,47.9,4-Seam Fastball,23.4,4-Seam Fastball,4-Seam Fastball,59.7,50,Thin profile
43,Bryce Harper,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,,Sonny Gray,,490,FanDuel,62.6,WATCH,SPECULATIVE,1,,72.4,GOOD,57.5,NEUTRAL,65.2,PLUS,70.4,PLUS,67.1,51.1,50,75.4,64,14.6,40.7,4-Seam Fastball,11.4,4-Seam Fastball,Cutter,52.5,62,Thin profile
44,Riley Greene,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,,Christian Scott,,423,DraftKings,62.4,WATCH,SPECULATIVE,1,,70.3,GOOD,56.5,NEUTRAL,62.2,NEUTRAL,74.6,PLUS,73.2,48.4,50,78,64,13.9,50.5,Sweeper,15.6,Sinker,Sweeper,34.7,62,Thin profile
45,Pete Crow-Armstrong,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,,JR Ritchie,,550,DraftKings,62.2,WATCH,SPECULATIVE,0,,71.4,GOOD,60.9,NEUTRAL,69.2,PLUS,66.5,NEUTRAL,55.7,50.3,50,66.5,64,8.1,46.8,4-Seam Fastball,25.7,4-Seam Fastball,Changeup,92.5,62,Thin profile
46,Connor Norby,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,,Simeon Woods Richardson,,650,BetMGM,62.1,LOTTO ONLY,SPECULATIVE,0,,73.4,GOOD,62.4,NEUTRAL,68,PLUS,66.4,NEUTRAL,49.9,50.8,50,61.3,60,9.1,36.4,4-Seam Fastball,37.7,4-Seam Fastball,Slider,99,50,Thin profile
47,Joc Pederson,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,,Ryne Nelson,,590,FanDuel,61.9,WATCH,SPECULATIVE,1,,70.9,GOOD,58.9,NEUTRAL,67.1,PLUS,71.5,PLUS,56.6,51.4,50,64.2,60,7.2,50.7,4-Seam Fastball,61,4-Seam Fastball,4-Seam Fastball,77.5,62,Thin profile
48,Dansby Swanson,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,,JR Ritchie,,650,BetMGM,61.8,WATCH,SPECULATIVE,0,,71.4,GOOD,60.8,NEUTRAL,68.3,PLUS,68.6,NEUTRAL,58.1,50.3,50,61.3,60,9.4,45.8,4-Seam Fastball,25.7,Sinker,Changeup,92.5,50,Thin profile
49,Will Smith,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,Robbie Ray,,420,FanDuel,61.6,WATCH,SPECULATIVE,1,,69.4,GOOD,55.9,NEUTRAL,60.4,NEUTRAL,74,PLUS,62,53.3,50,78,64,13.4,38.1,4-Seam Fastball,52.4,Sinker,4-Seam Fastball,45.3,62,Thin profile
50,Brandon Lowe,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,,Jose Quintana,,543,DraftKings,61.6,WATCH,SPECULATIVE,0,,72.4,GOOD,58.2,NEUTRAL,65.4,PLUS,68,NEUTRAL,63.1,49.3,50,66.9,64,12.5,42.3,4-Seam Fastball,28.2,Changeup,Slurve,73.5,43,Thin profile
51,Zack Gelof,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,Matthew Liberatore,,450,BetMGM,61.6,WATCH,SPECULATIVE,0,,71.9,GOOD,59.2,NEUTRAL,62.4,NEUTRAL,65.8,NEUTRAL,45.9,53.3,50,78,64,6.1,40.8,Slider,25.7,Slider,4-Seam Fastball,79.2,62,Thin profile
52,Mark Vientos,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,,Framber Valdez,,570,FanDuel,61.5,WATCH,SPECULATIVE,1,,69.7,GOOD,57.5,NEUTRAL,65.1,PLUS,73.6,PLUS,60.6,50.3,50,65.3,60,10.3,46,Sinker,39.9,Slider,Sinker,62.9,62,Thin profile
53,Spencer Torkelson,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,,Christian Scott,,500,BetMGM,61.5,WATCH,SPECULATIVE,1,,69.3,GOOD,57.1,NEUTRAL,60.6,NEUTRAL,73.7,PLUS,77.4,48.4,50,74.7,64,16.3,48.3,Sweeper,15.6,Sinker,Sweeper,34.7,50,Thin profile
54,Heriberto Hernández,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,,Simeon Woods Richardson,,598,DraftKings,61.5,WATCH,SPECULATIVE,0,,72.4,GOOD,61.8,NEUTRAL,66.5,PLUS,65.5,NEUTRAL,46,50.8,50,63.8,60,5.1,44.1,4-Seam Fastball,37.7,4-Seam Fastball,Slider,99,50,Thin profile
