stack_id,game,stack_size,stack_type,players,teams,pitcher,odds,avg_correlation_score,avg_environment_score,avg_pitcher_collapse_score,avg_batter_power_score,avg_vegas_total,avg_weather_boost,lineup_correlation_bonus,same_team_bonus,environment_bonus,stack_score,stack_grade,payout_profile
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Owen Caissie + Xavier Edwards,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Owen Caissie + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Owen Caissie | Xavier Edwards,51.80,34.00,81.31,41.51,,,2.00,7.00,0.00,55.78,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Owen Caissie + Xavier Edwards,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Owen Caissie + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Owen Caissie | Xavier Edwards,51.78,34.00,81.44,41.36,,,2.00,7.00,0.00,55.78,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Liam Hicks + Heriberto Hernández,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks | Heriberto Hernández,51.80,34.00,81.18,41.64,,,2.00,7.00,0.00,55.77,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Liam Hicks + Heriberto Hernández,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Liam Hicks + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Liam Hicks | Heriberto Hernández,51.78,34.00,81.34,41.45,,,2.00,7.00,0.00,55.77,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Liam Hicks + Connor Norby,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks | Connor Norby,51.78,34.00,81.24,41.51,,,2.00,7.00,0.00,55.76,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Liam Hicks + Connor Norby,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Liam Hicks + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Liam Hicks | Connor Norby,51.76,34.00,81.38,41.36,,,2.00,7.00,0.00,55.76,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Liam Hicks + Owen Caissie + Xavier Edwards,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks + Owen Caissie + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks | Owen Caissie | Xavier Edwards,51.79,34.00,81.15,41.61,,,2.00,7.00,0.00,55.76,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Owen Caissie + Heriberto Hernández,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Owen Caissie + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Owen Caissie | Heriberto Hernández,51.72,34.00,81.53,41.13,,,2.00,7.00,0.00,55.75,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Xavier Edwards + Heriberto Hernández,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Xavier Edwards + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Xavier Edwards | Heriberto Hernández,51.75,34.00,81.30,41.39,,,2.00,7.00,0.00,55.75,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Owen Caissie + Heriberto Hernández,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Owen Caissie + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Owen Caissie | Heriberto Hernández,51.73,34.00,81.43,41.21,,,2.00,7.00,0.00,55.74,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Xavier Edwards + Heriberto Hernández,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Xavier Edwards + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Xavier Edwards | Heriberto Hernández,51.76,34.00,81.12,41.56,,,2.00,7.00,0.00,55.74,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Owen Caissie + Connor Norby,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Owen Caissie + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Owen Caissie | Connor Norby,51.70,34.00,81.57,41.04,,,2.00,7.00,0.00,55.74,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 2 MAN | Kyle Stowers + Liam Hicks,Miami Marlins @ Minnesota Twins,2,TEAMMATE_HR_STACK,Kyle Stowers + Liam Hicks,Miami Marlins,Simeon Woods Richardson,Kyle Stowers | Liam Hicks,51.74,34.00,81.24,41.41,,,2.00,7.00,0.00,55.73,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Xavier Edwards + Connor Norby,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Xavier Edwards + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Xavier Edwards | Connor Norby,51.73,34.00,81.34,41.30,,,2.00,7.00,0.00,55.73,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Liam Hicks + Owen Caissie + Heriberto Hernández,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks + Owen Caissie + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks | Owen Caissie | Heriberto Hernández,51.73,34.00,81.24,41.39,,,2.00,7.00,0.00,55.73,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Liam Hicks + Xavier Edwards + Heriberto Hernández,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks + Xavier Edwards + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks | Xavier Edwards | Heriberto Hernández,51.76,34.00,81.01,41.65,,,2.00,7.00,0.00,55.73,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Owen Caissie + Connor Norby,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Owen Caissie + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Owen Caissie | Connor Norby,51.70,34.00,81.49,41.09,,,2.00,7.00,0.00,55.72,DEEP_ONLY,NO_ODDS
