game,stack_type,stack_size,players,teams,pitcher,payout_profile,avg_correlation_score,avg_environment_score,avg_pitcher_collapse_score,avg_batter_power_score,stack_score,combined_implied_probability,adjusted_probability,correlation_synergy_boost,parlay_score,parlay_grade,confidence,risk_profile,odds
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Heriberto Hernández + Connor Norby + Christopher Morel + Ryan Jeffers,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.79,34.00,74.27,38.56,48.02,0.0207%,0.0291%,40.22%,48.09,C,LOW,HIGH_RISK,Heriberto Hernández | Connor Norby | Christopher Morel | Ryan Jeffers
Philadelphia Phillies @ Boston Red Sox,GAME_ENVIRONMENT_STACK,4,Marcelo Mayer + Carlos Narváez + Connor Wong + Kyle Schwarber,Boston Red Sox / Philadelphia Phillies,Andrew Painter / Sonny Gray,NO_ODDS,48.73,34.00,74.91,37.86,48.02,0.0207%,0.0291%,40.34%,48.09,C,LOW,HIGH_RISK,Marcelo Mayer | Carlos Narváez | Connor Wong | Kyle Schwarber
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Kyle Stowers + Liam Hicks + Joe Mack + Ryan Jeffers,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.83,34.00,73.85,39.00,48.01,0.0207%,0.0291%,40.14%,48.09,C,LOW,HIGH_RISK,Kyle Stowers | Liam Hicks | Joe Mack | Ryan Jeffers
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Liam Hicks + Owen Caissie + Joe Mack + Byron Buxton,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.82,34.00,73.99,38.86,48.01,0.0207%,0.0291%,40.16%,48.09,C,LOW,HIGH_RISK,Liam Hicks | Owen Caissie | Joe Mack | Byron Buxton
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Liam Hicks + Christopher Morel + Jakob Marsee + Byron Buxton,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.79,34.00,74.16,38.65,48.01,0.0207%,0.0291%,40.19%,48.09,C,LOW,HIGH_RISK,Liam Hicks | Christopher Morel | Jakob Marsee | Byron Buxton
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Owen Caissie + Connor Norby + Jakob Marsee + Ryan Jeffers,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.81,34.00,74.06,38.77,48.01,0.0207%,0.0291%,40.18%,48.09,C,LOW,HIGH_RISK,Owen Caissie | Connor Norby | Jakob Marsee | Ryan Jeffers
Washington Nationals @ Cincinnati Reds,GAME_ENVIRONMENT_STACK,3,James Wood + Sal Stewart + Nasim Nuñez,Washington Nationals / Cincinnati Reds,Nick Lodolo / Jake Irvin,NO_ODDS,48.84,34.00,73.67,39.17,48.00,0.1728%,0.2421%,40.10%,48.09,C,LOW,HIGH_RISK,James Wood | Sal Stewart | Nasim Nuñez
Washington Nationals @ Cincinnati Reds,GAME_ENVIRONMENT_STACK,3,Daylen Lile + Keibert Ruiz + Elly De La Cruz,Washington Nationals / Cincinnati Reds,Nick Lodolo / Jake Irvin,NO_ODDS,48.95,34.00,72.60,40.33,47.99,0.1728%,0.2418%,39.90%,48.09,C,LOW,HIGH_RISK,Daylen Lile | Keibert Ruiz | Elly De La Cruz
Washington Nationals @ Cincinnati Reds,GAME_ENVIRONMENT_STACK,3,Daylen Lile + Keibert Ruiz + Spencer Steer,Washington Nationals / Cincinnati Reds,Nick Lodolo / Jake Irvin,NO_ODDS,48.95,34.00,72.56,40.37,47.99,0.1728%,0.2417%,39.90%,48.09,C,LOW,HIGH_RISK,Daylen Lile | Keibert Ruiz | Spencer Steer
Washington Nationals @ Cincinnati Reds,GAME_ENVIRONMENT_STACK,4,CJ Abrams + Daylen Lile + Elly De La Cruz + Spencer Steer,Washington Nationals / Cincinnati Reds,Nick Lodolo / Jake Irvin,NO_ODDS,48.97,34.00,72.32,40.64,47.99,0.0207%,0.0290%,39.85%,48.09,C,LOW,HIGH_RISK,CJ Abrams | Daylen Lile | Elly De La Cruz | Spencer Steer
Washington Nationals @ Cincinnati Reds,GAME_ENVIRONMENT_STACK,4,Brady House + Keibert Ruiz + JJ Bleday + Sal Stewart,Washington Nationals / Cincinnati Reds,Nick Lodolo / Jake Irvin,NO_ODDS,48.97,34.00,72.30,40.64,47.98,0.0207%,0.0290%,39.85%,48.09,C,LOW,HIGH_RISK,Brady House | Keibert Ruiz | JJ Bleday | Sal Stewart
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,4,Vinnie Pasquantino + Isaac Collins + Nick Loftin + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.87,43.16,66.11,35.91,47.90,0.0207%,0.0290%,39.93%,48.09,C,LOW,HIGH_RISK,Vinnie Pasquantino | Isaac Collins | Nick Loftin | Andrew Benintendi
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,4,Salvador Perez + Isaac Collins + Munetaka Murakami + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.78,44.02,65.41,35.60,47.89,0.0207%,0.0290%,39.92%,48.09,C,LOW,HIGH_RISK,Salvador Perez | Isaac Collins | Munetaka Murakami | Andrew Benintendi
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,4,Isaac Collins + Nick Loftin + Lane Thomas + Miguel Vargas,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.88,43.12,66.03,36.03,47.89,0.0207%,0.0290%,39.91%,48.09,C,LOW,HIGH_RISK,Isaac Collins | Nick Loftin | Lane Thomas | Miguel Vargas
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,3,Bobby Witt Jr. + Colson Montgomery + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.76,44.33,65.02,35.64,47.88,0.1728%,0.2417%,39.89%,48.09,C,LOW,HIGH_RISK,Bobby Witt Jr. | Colson Montgomery | Andrew Benintendi
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,3,Bobby Witt Jr. + Miguel Vargas + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.81,44.22,64.72,36.09,47.88,0.1728%,0.2416%,39.82%,48.09,C,LOW,HIGH_RISK,Bobby Witt Jr. | Miguel Vargas | Andrew Benintendi
Chicago Cubs @ Atlanta Braves,GAME_ENVIRONMENT_STACK,4,Seiya Suzuki + Alex Bregman + Michael Harris II + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,NO_ODDS,47.89,43.88,64.52,36.74,47.87,0.0207%,0.0290%,39.73%,48.09,C,LOW,HIGH_RISK,Seiya Suzuki | Alex Bregman | Michael Harris II | Drake Baldwin
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,4,Bobby Witt Jr. + Munetaka Murakami + Colson Montgomery + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.74,44.58,64.67,35.69,47.87,0.0207%,0.0290%,39.85%,48.09,C,LOW,HIGH_RISK,Bobby Witt Jr. | Munetaka Murakami | Colson Montgomery | Andrew Benintendi
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,4,Bobby Witt Jr. + Munetaka Murakami + Miguel Vargas + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.78,44.50,64.45,36.03,47.87,0.0207%,0.0290%,39.80%,48.09,C,LOW,HIGH_RISK,Bobby Witt Jr. | Munetaka Murakami | Miguel Vargas | Andrew Benintendi
