player,player_key,player_id,team,game,event_id,market,line,best_odds,best_book,book_count,market_average_odds,all_books
Carlos Narváez,carlos narváez,CARLOS_NARVAEZ_1_MLB,BOSTON_RED_SOX_MLB,Boston Red Sox @ Atlanta Braves,azr6g0BYc5oimCrDM5DD,2+ TB,1.5,240,fanduel,12,-15,fanduel:+240 | draftkings:+238 | draftkings:+192 | fanduel:+175 | bovada:-110 | caesars:-113 | betmgm:-115 | espnbet:-115 | espnbet:-140 | bovada:-143 | caesars:-145 | betmgm:-150
Carson Kelly,carson kelly,CARSON_KELLY_1_MLB,CHICAGO_CUBS_MLB,Chicago Cubs @ Chicago White Sox,5V5IFTF9KGU3FYQtIb6f,2+ TB,1.5,171,bovada,4,84,bovada:+171 | fanduel:+165 | draftkings:+153 | betmgm:-155
Carter Jensen,carter jensen,CARTER_JENSEN_1_MLB,KANSAS_CITY_ROYALS_MLB,Kansas City Royals @ St. Louis Cardinals,rvthegEIrAEvXgoXqnAa,2+ TB,1.5,164,bovada,6,-4,bovada:+164 | draftkings:+157 | fanduel:+145 | betmgm:-160 | caesars:-164 | espnbet:-165
Casey Schmitt,casey schmitt,CASEY_SCHMITT_1_MLB,SAN_FRANCISCO_GIANTS_MLB,San Francisco Giants @ Athletics,H8XBXLklWHd2ErXIGMUd,2+ TB,1.5,125,betmgm,4,55,betmgm:+125 | bovada:+105 | draftkings:+101 | fanduel:-110
Ceddanne Rafaela,ceddanne rafaela,CEDDANNE_RAFAELA_1_MLB,BOSTON_RED_SOX_MLB,Boston Red Sox @ Atlanta Braves,azr6g0BYc5oimCrDM5DD,2+ TB,1.5,164,bovada,11,63,bovada:+164 | draftkings:+156 | fanduel:+155 | bovada:+152 | fanduel:+150 | espnbet:+150 | caesars:+141 | draftkings:+137 | caesars:-164 | betmgm:-165 | betmgm:-185
Cedric Mullins,cedric mullins,CEDRIC_MULLINS_1_MLB,TAMPA_BAY_RAYS_MLB,Miami Marlins @ Tampa Bay Rays,fPt7sNscCxaj4iQ94hIH,2+ TB,1.5,202,draftkings,12,-33,draftkings:+202 | draftkings:+182 | fanduel:+180 | fanduel:+170 | bovada:-133 | caesars:-136 | espnbet:-140 | betmgm:-140 | espnbet:-140 | bovada:-143 | caesars:-148 | betmgm:-150
Chandler Simpson,chandler simpson,CHANDLER_SIMPSON_1_MLB,TAMPA_BAY_RAYS_MLB,Miami Marlins @ Tampa Bay Rays,fPt7sNscCxaj4iQ94hIH,2+ TB,1.5,135,bovada,12,128,bovada:+135 | draftkings:+134 | bovada:+132 | espnbet:+130 | espnbet:+130 | betmgm:+130 | caesars:+128 | caesars:+127 | draftkings:+126 | fanduel:+125 | betmgm:+120 | fanduel:+115
Chase DeLauter,chase delauter,CHASE_DELAUTER_1_MLB,CLEVELAND_GUARDIANS_MLB,Cincinnati Reds @ Cleveland Guardians,j7zaXsZeq04dwou0QAaZ,2+ TB,1.5,145,betmgm,6,138,betmgm:+145 | bovada:+140 | espnbet:+140 | draftkings:+138 | caesars:+138 | fanduel:+125
Chase Meidroth,chase meidroth,CHASE_MEIDROTH_1_MLB,CHICAGO_WHITE_SOX_MLB,Chicago Cubs @ Chicago White Sox,5V5IFTF9KGU3FYQtIb6f,2+ TB,1.5,190,fanduel,6,-44,fanduel:+190 | draftkings:+189 | betmgm:-155 | bovada:-159 | caesars:-164 | espnbet:-165
Christian Walker,christian walker,CHRISTIAN_WALKER_1_MLB,HOUSTON_ASTROS_MLB,Texas Rangers @ Houston Astros,2arMilGiaVhajMn8oOwm,2+ TB,1.5,155,fanduel,6,93,fanduel:+155 | bovada:+152 | draftkings:+145 | caesars:+140 | betmgm:+130 | espnbet:-165
