rank,name,team,opponent,game,batter_hand,pitcher,pitcher_hand,odds,barrel_rate,hard_hit_rate,pitcher_hr9,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_k9,pitcher_bb9,pitcher_attack_score,batter_power_score,pitcher_vulnerability_score,handedness_split_score,pitch_type_score,environment_score,contact_score,split_engine_score,split_grade,matchup_intel_score,matchup_grade,master_score,master_tier
212,Ozzie Albies,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,S,Shota Imanaga,L,518,4.2,28,0.76,2.28,0.93,3.12,10.08,2.47,10.7,31.1,15.3,58,80.7,50.1,30.9,39.7,AVOID,38.6,AVOID,56.4,STANDARD
213,Brooks Lee,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,S,Max Meyer,,880,4.5,30.6,0.43,2.79,,,,,11.9,26.5,24.6,50,85.8,35,33.7,38.8,AVOID,32.7,AVOID,51.3,LOTTO
214,Ryan Vilade,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,R,Dylan Cease,R,1060,4.3,34.8,0.2,2.58,1.24,2.77,13.10,3.57,17,33.8,11.8,50,78.6,54.4,36.6,38.7,AVOID,37.5,AVOID,49.3,LOTTO
215,Mike Yastrzemski,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,L,Shota Imanaga,L,620,4.7,37.2,0.76,2.28,0.93,3.12,10.08,2.47,10.7,37.2,15.3,43,71.6,50.1,39.5,38.2,AVOID,39.9,AVOID,54.9,LOTTO
216,Cedric Mullins,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,L,Dylan Cease,R,980,2,27,0.2,2.58,1.24,2.77,13.10,3.57,17,25,11.8,62,80.3,54.4,30,38.2,AVOID,36.1,AVOID,49.3,LOTTO
217,Jung Hoo Lee,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,L,Shohei Ohtani,R,1080,2.2,31.9,0.49,0.97,0.81,2.71,10.22,2.19,3.6,29,5.8,62,82.6,51.4,33.5,37.9,AVOID,32.9,AVOID,48.3,LOTTO
218,Sal Frelick,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,L,Michael King,,2000,3.7,25,0.79,2.76,,,,,27.6,21.4,32.7,50,74.2,35,30,37.9,AVOID,33.8,AVOID,38,DEEP FADE
219,Jonny DeLuca,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,R,Dylan Cease,R,990,4,32,0.2,2.58,1.24,2.77,13.10,3.57,17,30.3,11.8,50,77.9,54.4,33.6,37.4,AVOID,37,AVOID,50.6,LOTTO
220,David Hamilton,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,L,Michael King,,1600,2.6,25,0.79,2.76,,,,,27.6,18.5,32.7,50,76.7,35,30,37.4,AVOID,33.8,AVOID,41.8,DEEP FADE
221,Luke Keaschall,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,R,Max Meyer,,1360,3.2,24,0.43,2.79,,,,,11.9,20.6,24.6,50,84.6,35,30,36.8,AVOID,30.4,AVOID,42.1,DEEP FADE
222,César Salazar,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,L,Bryce Miller,,750,0,33.3,0,0,,,,,2.9,43.1,36,50,0,35,44.6,36.6,AVOID,35,AVOID,55,STANDARD
223,Jose Altuve,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,R,Bryce Miller,,537,6.7,36.4,0,0,,,,,2.9,41.3,36,50,0,35,43.9,36.1,AVOID,37.2,AVOID,54.6,WATCH
224,Matt Chapman,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,R,Shohei Ohtani,R,790,5.4,30.7,0.49,0.97,0.81,2.71,10.22,2.19,3.6,33.4,5.8,50,72.3,51.4,36.1,35.9,AVOID,35.7,AVOID,51.4,LOTTO
225,Zach McKinstry,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,L,Christian Scott,,1260,2.2,24.4,0.82,3.27,,,,,34.6,12,37.9,50,64.3,35,30,35.6,AVOID,36.1,AVOID,44.3,DEEP FADE
226,Christian Yelich,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,L,Michael King,,790,5.1,41,0.79,2.76,,,,,27.6,39.5,32.7,50,0,35,43.6,34.8,AVOID,40.4,AVOID,54.8,LOTTO
227,Isaac Paredes,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,R,Bryce Miller,,541,3.6,26.1,0,0,,,,,2.9,22.3,36,50,0,35,30,30.1,AVOID,33.5,AVOID,53.3,WATCH
