rank,name,team,opponent,game,batter_hand,pitcher,pitcher_hand,odds,barrel_rate,hard_hit_rate,pitcher_hr9,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_k9,pitcher_bb9,pitcher_attack_score,batter_power_score,pitcher_vulnerability_score,handedness_split_score,pitch_type_score,environment_score,contact_score,split_engine_score,split_grade,matchup_intel_score,matchup_grade,master_score,master_tier
146,Jackson Merrill,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,L,Jacob Misiorowski,,568,9.6,47.8,0.82,2.45,,,,,13,63.3,28.1,50,87.7,35,60.2,51.6,THIN,43.5,AVOID,63.5,STANDARD
147,Junior Caminero,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,R,Dylan Cease,R,440,10.9,43.8,0.2,2.58,1.24,2.77,13.10,3.57,17,69,11.8,50,87.3,54.4,66.4,51.3,THIN,51.6,THIN,61.7,STANDARD
148,Mookie Betts,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,R,Robbie Ray,L,390,6.3,34.4,1.58,2.76,1.09,4.28,9.26,3.55,40.3,39.6,45.3,62,77,53.7,41.3,51.1,THIN,51.3,THIN,64.1,STANDARD
149,Heliot Ramos,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,R,Shohei Ohtani,R,575,13.1,50,0.49,0.97,0.81,2.71,10.22,2.19,3.6,75,5.8,50,86.1,51.4,70.8,51.1,THIN,46.9,THIN,62.3,STANDARD
150,Cesar Prieto,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,L,J.T. Ginn,,920,0,0,1.21,3.62,,,,,43.6,50,47.8,50,74.6,35,50,50.9,THIN,44.4,AVOID,61.8,STANDARD
151,Jorge Mateo,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,R,Shota Imanaga,L,960,11.1,41.7,0.76,2.28,0.93,3.12,10.08,2.47,10.7,61.1,15.3,62,84.7,50.1,59.1,50.9,THIN,41.5,AVOID,56.1,STANDARD
152,Marcus Semien,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,R,Framber Valdez,,790,7.8,34.2,1.04,4.57,,,,,59.3,37.8,55.9,50,86.5,35,44.9,50.8,THIN,48.4,THIN,60.8,STANDARD
153,Bo Bichette,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,R,Framber Valdez,,850,4.4,44.5,1.04,4.57,,,,,59.3,37.1,55.9,50,86.9,35,44.6,50.7,THIN,48,THIN,58.4,STANDARD
154,Gavin Sheets,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,L,Jacob Misiorowski,,590,10.6,43.5,0.82,2.45,,,,,13,62.3,28.1,50,82,35,59.3,50.6,THIN,43.1,AVOID,63,STANDARD
155,Royce Lewis,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,R,Max Meyer,,650,13.3,41.7,0.43,2.79,,,,,11.9,64,24.6,50,82.3,35,64.6,50.6,THIN,43.8,AVOID,61.3,STANDARD
156,Brett Baty,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,L,Framber Valdez,,1040,7.2,38.6,1.04,4.57,,,,,59.3,38.9,55.9,50,80.8,35,46.9,50.6,THIN,46.9,THIN,54.4,LOTTO
157,Darell Hernaiz,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,R,Matthew Liberatore,,1000,0,20.5,1.71,4.07,,,,,71.5,30.5,67.8,50,73.7,35,40,50.1,THIN,48.2,THIN,62.7,STANDARD
158,Nick Gonzales,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,R,Jose Quintana,,1080,1.8,41.6,1.5,3.9,,,,,59.2,35.5,59.2,50,80.2,35,41.3,50.1,THIN,45.4,THIN,54.4,LOTTO
159,Henry Davis,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,R,Jose Quintana,,760,7.6,37.9,1.5,3.9,,,,,59.2,35.1,59.2,50,75.7,35,47.3,49.9,THIN,49.2,THIN,61.1,STANDARD
160,Jonathan Aranda,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,L,Dylan Cease,R,720,10.1,43.1,0.2,2.58,1.24,2.77,13.10,3.57,17,59.3,11.8,62,81.5,54.4,57.7,49.5,THIN,45.4,THIN,59.9,STANDARD
161,Bryson Stott,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,L,Sonny Gray,,1160,6.8,40.8,0.96,3.54,,,,,44.8,44.1,45.1,50,83.3,35,47.6,49.5,THIN,43.3,AVOID,53,LOTTO
162,Edouard Julien,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,L,Mitch Keller,,830,8.5,49.3,0.38,2.87,,,,,15.8,59,24.2,50,83,35,58.7,48.8,THIN,41.3,AVOID,56.6,STANDARD
163,Josh Bell,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,S,Max Meyer,,700,9.9,41.4,0.43,2.79,,,,,11.9,57.1,24.6,50,87.3,35,55.9,48.7,THIN,40.4,AVOID,59.2,STANDARD
164,Matt McLain,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,R,Jake Irvin,,760,7.5,29.6,1.13,5.22,,,,,54.3,31.4,56.9,50,82.4,35,40.4,48.6,THIN,46.2,THIN,63.1,STANDARD
165,William Contreras,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,R,Michael King,,900,7,43,0.79,2.76,,,,,27.6,51.3,32.7,50,81.3,35,49.9,48.1,THIN,40.6,AVOID,58.2,STANDARD
166,Vidal Bruján,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,S,Framber Valdez,,1050,0,0,1.04,4.57,,,,,59.3,42,55.9,50,50,35,50,48,THIN,47.7,THIN,55.3,STANDARD
167,Pedro Pagés,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,R,J.T. Ginn,,760,6.1,33.3,1.21,3.62,,,,,43.6,34.6,47.8,50,86.2,35,39.9,47.4,THIN,43.5,AVOID,61,STANDARD
168,Wenceel Pérez,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,S,Christian Scott,,800,8.6,40,0.82,3.27,,,,,34.6,44.6,37.9,50,77.9,35,51.5,47.4,THIN,44.1,AVOID,57.6,STANDARD
169,Colt Keith,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,L,Christian Scott,,680,5.6,44.4,0.82,3.27,,,,,34.6,46.2,37.9,50,76.8,35,47.5,47.4,THIN,43.8,AVOID,57.6,STANDARD
170,Cam Smith,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,R,Bryce Miller,,910,14.6,44.3,0,0,,,,,2.9,76.2,36,50,0,35,69.9,47.3,THIN,39.9,AVOID,59.8,STANDARD
171,Christian Walker,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,R,Bryce Miller,,350,13,48,0,0,,,,,2.9,75.8,36,50,0,35,68.9,47.1,THIN,46.2,THIN,66.4,GOOD
172,Billy Cook,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,R,Jose Quintana,,900,0,15.4,1.5,3.9,,,,,59.2,30.5,59.2,50,65.1,35,40,46.8,THIN,45.6,THIN,59.2,STANDARD
173,Manny Machado,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,R,Jacob Misiorowski,,556,6.6,44.3,0.82,2.45,,,,,13,47.8,28.1,50,87.2,35,49.9,46.7,THIN,41,AVOID,59.5,STANDARD
174,Edmundo Sosa,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,R,Sonny Gray,,1020,3.9,39.2,0.96,3.54,,,,,44.8,36.1,45.1,50,80.6,35,39.4,46.4,THIN,41.6,AVOID,52.8,LOTTO
175,Jared Triolo,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,R,Jose Quintana,,1200,3.6,34.5,1.5,3.9,,,,,59.2,18.6,59.2,50,89.1,35,35.6,46.3,THIN,43.6,AVOID,51.2,LOTTO
176,Rafael Devers,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,L,Shohei Ohtani,R,525,8.4,45.4,0.49,0.97,0.81,2.71,10.22,2.19,3.6,56.2,5.8,62,76.3,51.4,55.3,46,THIN,43.4,AVOID,60.3,STANDARD
177,Trea Turner,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,R,Sonny Gray,,820,4.5,39.6,0.96,3.54,,,,,44.8,35.4,45.1,50,76.7,35,40.9,45.9,THIN,43.7,AVOID,57.8,STANDARD
178,Andrew Vaughn,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,R,Michael King,,900,7.1,35.7,0.79,2.76,,,,,27.6,45,32.7,50,80.8,35,44.3,45.9,THIN,39.2,AVOID,55.6,STANDARD
179,Xander Bogaerts,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,R,Jacob Misiorowski,,720,7.6,37,0.82,2.45,,,,,13,46.9,28.1,50,83.8,35,46.6,45.8,THIN,38.1,AVOID,57.4,STANDARD
180,Willi Castro,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,S,Mitch Keller,,900,6.9,43.1,0.38,2.87,,,,,15.8,45.7,24.2,50,93.1,35,49.7,45.8,THIN,37.7,AVOID,53.8,LOTTO
181,Matt Vierling,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,R,Christian Scott,,760,5,38.3,0.82,3.27,,,,,34.6,37,37.9,50,85.7,35,41.1,45.5,THIN,41.6,AVOID,56.4,STANDARD
182,Chase Meidroth,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,R,Seth Lugo,R,1200,4.7,37,0.19,3.21,1.36,4.25,7.93,3.21,37,36.6,35,50,76.8,52.9,39.4,45.3,THIN,42.4,AVOID,48.1,LOTTO
183,Tyrone Taylor,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,R,Framber Valdez,,980,4.9,29.5,1.04,4.57,,,,,59.3,22.8,55.9,50,79.3,35,33.9,45.2,THIN,43.7,AVOID,55.5,STANDARD
184,Harrison Bader,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,R,Shohei Ohtani,R,900,7.3,43.9,0.49,0.97,0.81,2.71,10.22,2.19,3.6,51.5,5.8,50,100,51.4,51.4,45.1,THIN,38.2,AVOID,54.5,LOTTO
185,J.T. Realmuto,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,R,Sonny Gray,,980,2.8,40.3,0.96,3.54,,,,,44.8,29.8,45.1,50,82.9,35,40.2,45.1,THIN,41.9,AVOID,53.9,LOTTO
186,TJ Friedl,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,L,Jake Irvin,,880,3,30.2,1.13,5.22,,,,,54.3,14.2,56.9,50,92.5,35,32.2,44.7,AVOID,42.5,AVOID,60.4,STANDARD
187,Ha-Seong Kim,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,R,Shota Imanaga,L,680,0,66.7,0.76,2.28,0.93,3.12,10.08,2.47,10.7,73,15.3,62,0,50.1,70,44.7,AVOID,46.6,THIN,58.4,STANDARD
188,Miguel Andujar,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,R,Jacob Misiorowski,,880,4.7,42.4,0.82,2.45,,,,,13,40.8,28.1,50,88.6,35,43.7,44.6,AVOID,35.6,AVOID,54.5,LOTTO
189,Yandy Díaz,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,R,Dylan Cease,R,770,6.2,43,0.2,2.58,1.24,2.77,13.10,3.57,17,47.3,11.8,50,89.7,54.4,47.9,44.4,AVOID,42.6,AVOID,54.9,LOTTO
190,Luis Rengifo,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,S,Michael King,,1500,6.1,35.7,0.79,2.76,,,,,27.6,36.3,32.7,50,82.2,35,41.8,43.7,AVOID,37,AVOID,42.8,DEEP FADE
191,Alec Bohm,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,R,Sonny Gray,,1120,1.7,38.5,0.96,3.54,,,,,44.8,23.7,45.1,50,80.9,35,38.8,43.2,AVOID,41.1,AVOID,49.6,LOTTO
192,Willy Adames,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,R,Shohei Ohtani,R,720,8.6,40.5,0.49,0.97,0.81,2.71,10.22,2.19,3.6,52.3,5.8,50,79.4,51.4,51.9,42.9,AVOID,40.2,AVOID,57.5,STANDARD
193,Troy Johnston,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,L,Mitch Keller,,900,2.2,41.9,0.38,2.87,,,,,15.8,40,24.2,50,85.8,35,41.5,42.8,AVOID,35.6,AVOID,52.6,LOTTO
194,Jake Fraley,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,L,Dylan Cease,R,940,9.4,22.6,0.2,2.58,1.24,2.77,13.10,3.57,17,42.8,11.8,62,69.7,54.4,43.5,42.6,AVOID,39.7,AVOID,53.8,LOTTO
195,Tyler Freeman,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,R,Mitch Keller,,1560,0,31.5,0.38,2.87,,,,,15.8,37.6,24.2,50,85.9,35,43.2,42.4,AVOID,34.5,AVOID,39.5,DEEP FADE
196,Chandler Simpson,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,L,Dylan Cease,R,2200,0,15.3,0.2,2.58,1.24,2.77,13.10,3.57,17,38.5,11.8,62,77.6,54.4,40,42.2,AVOID,37.4,AVOID,33.8,DEEP FADE
197,Masyn Winn,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,R,J.T. Ginn,,1450,2.8,25.9,1.21,3.62,,,,,43.6,20.7,47.8,50,76.7,35,30,41.9,AVOID,37.8,AVOID,47.3,WATCH
198,Nick Fortes,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,R,Dylan Cease,R,1100,1.1,47.1,0.2,2.58,1.24,2.77,13.10,3.57,17,43.1,11.8,50,78.8,54.4,45.7,41.8,AVOID,39.8,AVOID,47.9,WATCH
199,Jake McCarthy,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,L,Mitch Keller,,1200,6.2,22.7,0.38,2.87,,,,,15.8,37,24.2,50,86.3,35,35.5,41.6,AVOID,33.1,AVOID,46.7,WATCH
200,Kyle Karros,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,R,Mitch Keller,,1240,6.2,39,0.38,2.87,,,,,15.8,35.8,24.2,50,80.1,35,44.7,41.3,AVOID,35.4,AVOID,44.7,DEEP FADE
201,Mauricio Dubón,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,R,Shota Imanaga,L,890,5,30.6,0.76,2.28,0.93,3.12,10.08,2.47,10.7,31.5,15.3,62,84,50.1,35,41.2,AVOID,35.5,AVOID,51.4,LOTTO
202,Taylor Walls,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,S,Dylan Cease,R,1300,0,14.7,0.2,2.58,1.24,2.77,13.10,3.57,17,38.5,11.8,58,74.2,54.4,40,41.1,AVOID,37.8,AVOID,44.6,DEEP FADE
203,Victor Scott II,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,L,J.T. Ginn,,2200,1.4,26.7,1.21,3.62,,,,,43.6,18.5,47.8,50,74.3,35,30,41,AVOID,37.7,AVOID,40.5,DEEP FADE
204,Ezequiel Tovar,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,R,Mitch Keller,,980,8.2,33.7,0.38,2.87,,,,,15.8,36.4,24.2,50,75.3,35,45.5,40.9,AVOID,36.3,AVOID,50.7,LOTTO
205,Freddy Fermin,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,R,Jacob Misiorowski,,1050,0,30.9,0.82,2.45,,,,,13,34.5,28.1,50,69.6,35,42.7,40.6,AVOID,34.7,AVOID,51.1,LOTTO
206,Trevor Larnach,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,L,Max Meyer,,725,6.6,31.6,0.43,2.79,,,,,11.9,34.4,24.6,50,79.2,35,39.8,40.5,AVOID,36,AVOID,53.4,LOTTO
207,Jesus Rodriguez,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,R,Shohei Ohtani,R,1220,0,38.9,0.49,0.97,0.81,2.71,10.22,2.19,3.6,49,5.8,50,66.9,51.4,49.1,40.3,AVOID,36.6,AVOID,46,WATCH
208,Ben Williamson,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,R,Dylan Cease,R,1300,1.1,38.6,0.2,2.58,1.24,2.77,13.10,3.57,17,35.2,11.8,50,85,54.4,38.9,40,AVOID,37.5,AVOID,42.6,DEEP FADE
209,Luis Arraez,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,L,Shohei Ohtani,R,1500,0,19,0.49,0.97,0.81,2.71,10.22,2.19,3.6,38.5,5.8,62,74.5,51.4,40,40,AVOID,33.7,AVOID,42.2,DEEP FADE
210,Austin Martin,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,R,Max Meyer,,1800,2.5,35,0.43,2.79,,,,,11.9,30.2,24.6,50,86.2,35,36,40,AVOID,31.6,AVOID,37.9,DEEP FADE
211,Brice Matthews,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,R,Bryce Miller,,520,10,38.3,0,0,,,,,2.9,52.9,36,50,0,35,53.6,39.9,AVOID,39.9,AVOID,58.4,STANDARD
