name,mlbam,team,game,reason,available_log_teams
Ryan O'Hearn,,Pittsburgh Pirates,Philadelphia Phillies @ Pittsburgh Pirates,NO_LOG_MATCH,
Nathan Church,,St. Louis Cardinals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Mickey Gasper,,Boston Red Sox,Boston Red Sox @ Atlanta Braves,NO_LOG_MATCH,
Ramón Laureano,,San Diego Padres,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
Spencer Torkelson,,Detroit Tigers,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Jesús Sánchez,,Toronto Blue Jays,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Ezequiel Duran,,Texas Rangers,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Joe Mack,,Miami Marlins,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Trevor Story,,Boston Red Sox,Boston Red Sox @ Atlanta Braves,NO_LOG_MATCH,
Jung Hoo Lee,,San Francisco Giants,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Nick Castellanos,,San Diego Padres,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
Luis García Jr.,,Washington Nationals,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Gavin Sheets,,San Diego Padres,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
Ivan Herrera,,St. Louis Cardinals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Ryan McMahon,,New York Yankees,New York Yankees @ New York Mets,NO_LOG_MATCH,
Yandy Díaz,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Josh Jung,,Texas Rangers,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Bryan Reynolds,,Pittsburgh Pirates,Philadelphia Phillies @ Pittsburgh Pirates,NO_LOG_MATCH,
Daylen Lile,,Washington Nationals,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Michael Massey,,Kansas City Royals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Jose Fernandez,,Arizona Diamondbacks,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
Owen Caissie,,Miami Marlins,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Carlos Cortes,,Athletics,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Carson Kelly,,Chicago Cubs,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Cam Smith,,Houston Astros,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Spencer Jones,,New York Yankees,New York Yankees @ New York Mets,NO_LOG_MATCH,
Gabriel Moreno,,Arizona Diamondbacks,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
Geraldo Perdomo,,Arizona Diamondbacks,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
Dillon Dingler,,Detroit Tigers,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Otto Lopez,,Miami Marlins,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Jarren Duran,,Boston Red Sox,Boston Red Sox @ Atlanta Braves,NO_LOG_MATCH,
Dansby Swanson,,Chicago Cubs,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Cody Bellinger,,New York Yankees,New York Yankees @ New York Mets,NO_LOG_MATCH,
Zach Neto,,Los Angeles Angels,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Trent Grisham,,New York Yankees,New York Yankees @ New York Mets,NO_LOG_MATCH,
Andrew Benintendi,,Chicago White Sox,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Tyler Stephenson,,Cincinnati Reds,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Harrison Bader,,San Francisco Giants,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Jac Caglianone,,Kansas City Royals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Dominic Canzone,,Seattle Mariners,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
Randy Arozarena,,Seattle Mariners,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
Chase DeLauter,,Cleveland Guardians,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Mark Vientos,,New York Mets,New York Yankees @ New York Mets,NO_LOG_MATCH,
Mookie Betts,,Los Angeles Dodgers,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Teoscar Hernández,,Los Angeles Dodgers,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
