name,team,opponent,pitcher,pitch_type_score,pitch_type_grade,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,hitter_pitch_sample,pitcher_pitch_sample,matchup_note
Bryan Reynolds,Pittsburgh Pirates,Colorado Rockies,Jose Quintana,80.05,STRONG,4-Seam Fastball,28.2,100.0,86.2,4-Seam Fastball,100.0,Slurve,100.0,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,299,245,Bryan Reynolds profiles best against 4-Seam Fastball | Jose Quintana grades weakest on Slurve
Caleb Durbin,Boston Red Sox,Philadelphia Phillies,Andrew Painter,80.02,STRONG,Slider,17.0,75.0,100.0,Curveball,75.1,4-Seam Fastball,100.0,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,215,283,Caleb Durbin profiles best against Slider | Andrew Painter grades weakest on 4-Seam Fastball
Joey Wiemer,Washington Nationals,Cincinnati Reds,Nick Lodolo,79.86,STRONG,4-Seam Fastball,23.1,100.0,100.0,4-Seam Fastball,100.0,Sinker,100.0,Changeup 32.1% | Sinker 24.4% | 4-Seam Fastball 23.1% | Curveball 20.5%,64,78,Joey Wiemer profiles best against 4-Seam Fastball | Nick Lodolo grades weakest on Sinker
Oneil Cruz,Pittsburgh Pirates,Colorado Rockies,Jose Quintana,79.83,STRONG,4-Seam Fastball,28.2,100.0,86.2,4-Seam Fastball,100.0,Slurve,100.0,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,306,245,Oneil Cruz profiles best against 4-Seam Fastball | Jose Quintana grades weakest on Slurve
Willy Adames,San Francisco Giants,Los Angeles Dodgers,Shohei Ohtani,79.43,STRONG,4-Seam Fastball,47.0,87.2,100.0,Sinker,91.2,4-Seam Fastball,100.0,4-Seam Fastball 47.0% | Sweeper 29.1% | Split-Finger 10.8% | Curveball 9.3%,242,268,Willy Adames profiles best against 4-Seam Fastball | Shohei Ohtani grades weakest on 4-Seam Fastball
Tyrone Taylor,New York Mets,Detroit Tigers,Framber Valdez,79.33,STRONG,Sinker,39.9,82.0,100.0,Cutter,100.0,Sinker,100.0,Sinker 39.9% | Curveball 31.9% | Changeup 24.2% | Slider 3.6%,145,248,Tyrone Taylor profiles best against Sinker | Framber Valdez grades weakest on Sinker
Trevor Larnach,Minnesota Twins,Miami Marlins,Max Meyer,79.15,STRONG,4-Seam Fastball,25.2,78.9,100.0,Changeup,95.7,Sweeper,100.0,Sweeper 29.9% | Slider 26.4% | 4-Seam Fastball 25.2% | Sinker 9.8%,211,254,Trevor Larnach profiles best against 4-Seam Fastball | Max Meyer grades weakest on Sweeper
Jeff McNeil,Athletics,St. Louis Cardinals,Matthew Liberatore,78.91,STRONG,4-Seam Fastball,32.4,79.8,100.0,Split-Finger,87.8,4-Seam Fastball,100.0,4-Seam Fastball 32.4% | Slider 25.7% | Changeup 16.2% | Curveball 13.7%,185,241,Jeff McNeil profiles best against 4-Seam Fastball | Matthew Liberatore grades weakest on 4-Seam Fastball
Adolis García,Philadelphia Phillies,Boston Red Sox,Sonny Gray,78.81,STRONG,4-Seam Fastball,11.4,100.0,85.1,Split-Finger,100.0,Cutter,96.1,Cutter 30.0% | Curveball 21.4% | Sinker 18.6% | Sweeper 11.4%,283,70,Adolis García profiles best against 4-Seam Fastball | Sonny Gray grades weakest on Cutter
Nick Fortes,Tampa Bay Rays,Toronto Blue Jays,Dylan Cease,78.76,STRONG,4-Seam Fastball,31.9,88.4,100.0,Split-Finger,100.0,Sinker,100.0,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,128,310,Nick Fortes profiles best against 4-Seam Fastball | Dylan Cease grades weakest on Sinker
Ryan Vilade,Tampa Bay Rays,Toronto Blue Jays,Dylan Cease,78.64,STRONG,Sinker,9.7,76.6,100.0,Sinker,76.6,Sinker,100.0,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,112,310,Ryan Vilade profiles best against Sinker | Dylan Cease grades weakest on Sinker | Direct pitch type overlap
Brice Turang,Milwaukee Brewers,San Diego Padres,Michael King,78.18,STRONG,4-Seam Fastball,22.9,100.0,78.5,4-Seam Fastball,100.0,Sweeper,100.0,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,274,284,Brice Turang profiles best against 4-Seam Fastball | Michael King grades weakest on Sweeper
Ke'Bryan Hayes,Cincinnati Reds,Washington Nationals,Jake Irvin,77.92,STRONG,Sinker,28.4,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,143,278,Ke'Bryan Hayes profiles best against Sinker | Jake Irvin grades weakest on 4-Seam Fastball | Direct pitch type overlap
Wenceel Pérez,Detroit Tigers,New York Mets,Christian Scott,77.92,STRONG,Sweeper,15.6,97.7,100.0,Sinker,100.0,Sweeper,100.0,4-Seam Fastball 55.3% | Cutter 24.1% | Sweeper 15.6%,179,199,Wenceel Pérez profiles best against Sweeper | Christian Scott grades weakest on Sweeper
Jonny DeLuca,Tampa Bay Rays,Toronto Blue Jays,Dylan Cease,77.89,STRONG,Sinker,9.7,92.0,100.0,Sinker,92.0,Sinker,100.0,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,168,310,Jonny DeLuca profiles best against Sinker | Dylan Cease grades weakest on Sinker | Direct pitch type overlap
Tyler Stephenson,Cincinnati Reds,Washington Nationals,Jake Irvin,77.77,STRONG,4-Seam Fastball,23.4,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,165,278,Tyler Stephenson profiles best against 4-Seam Fastball | Jake Irvin grades weakest on 4-Seam Fastball | Direct pitch type overlap
Chandler Simpson,Tampa Bay Rays,Toronto Blue Jays,Dylan Cease,77.63,STRONG,Sinker,9.7,67.7,100.0,Slider,85.6,Sinker,100.0,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,224,310,Chandler Simpson profiles best against Sinker | Dylan Cease grades weakest on Sinker
Jackson Chourio,Milwaukee Brewers,San Diego Padres,Michael King,77.35,STRONG,Sinker,20.8,100.0,100.0,Sinker,100.0,Sweeper,100.0,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,99,284,Jackson Chourio profiles best against Sinker | Michael King grades weakest on Sweeper
Mookie Betts,Los Angeles Dodgers,San Francisco Giants,Robbie Ray,76.96,STRONG,Slider,23.6,58.1,100.0,Sinker,100.0,4-Seam Fastball,100.0,4-Seam Fastball 52.4% | Slider 23.6% | Changeup 18.8% | Knuckle Curve 5.1%,22,292,Mookie Betts profiles best against Slider | Robbie Ray grades weakest on 4-Seam Fastball
Chase Meidroth,Chicago White Sox,Kansas City Royals,Seth Lugo,76.81,STRONG,4-Seam Fastball,15.6,100.0,85.1,4-Seam Fastball,100.0,Cutter,100.0,Sinker 18.2% | Cutter 15.9% | 4-Seam Fastball 15.6% | Curveball 14.9%,270,302,Chase Meidroth profiles best against 4-Seam Fastball | Seth Lugo grades weakest on Cutter
Colt Keith,Detroit Tigers,New York Mets,Christian Scott,76.78,STRONG,4-Seam Fastball,55.3,83.3,76.7,4-Seam Fastball,83.3,Sweeper,100.0,4-Seam Fastball 55.3% | Cutter 24.1% | Sweeper 15.6%,156,199,Colt Keith profiles best against 4-Seam Fastball | Christian Scott grades weakest on Sweeper
Drake Baldwin,Atlanta Braves,Chicago Cubs,Shota Imanaga,76.75,STRONG,4-Seam Fastball,34.6,100.0,100.0,Slider,100.0,4-Seam Fastball,100.0,Split-Finger 40.9% | 4-Seam Fastball 34.6% | Sweeper 15.4% | Sinker 7.7%,281,286,Drake Baldwin profiles best against 4-Seam Fastball | Shota Imanaga grades weakest on 4-Seam Fastball
Masyn Winn,St. Louis Cardinals,Athletics,J.T. Ginn,76.72,STRONG,4-Seam Fastball,14.3,79.9,100.0,Slider,100.0,Sinker,100.0,Sinker 31.7% | Changeup 18.7% | Slider 17.8% | Cutter 17.4%,257,230,Masyn Winn profiles best against 4-Seam Fastball | J.T. Ginn grades weakest on Sinker
Trea Turner,Philadelphia Phillies,Boston Red Sox,Sonny Gray,76.70,STRONG,4-Seam Fastball,11.4,100.0,85.1,4-Seam Fastball,100.0,Cutter,96.1,Cutter 30.0% | Curveball 21.4% | Sinker 18.6% | Sweeper 11.4%,271,70,Trea Turner profiles best against 4-Seam Fastball | Sonny Gray grades weakest on Cutter
David Hamilton,Milwaukee Brewers,San Diego Padres,Michael King,76.66,STRONG,4-Seam Fastball,22.9,96.0,78.5,4-Seam Fastball,96.0,Sweeper,100.0,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,154,284,David Hamilton profiles best against 4-Seam Fastball | Michael King grades weakest on Sweeper
Andrés Giménez,Toronto Blue Jays,Tampa Bay Rays,Griffin Jax,76.49,STRONG,4-Seam Fastball,30.4,78.4,100.0,Slider,100.0,4-Seam Fastball,100.0,4-Seam Fastball 30.4% | Changeup 18.5% | Sinker 17.0% | Sweeper 17.0%,178,135,Andrés Giménez profiles best against 4-Seam Fastball | Griffin Jax grades weakest on 4-Seam Fastball
Rafael Devers,San Francisco Giants,Los Angeles Dodgers,Shohei Ohtani,76.27,STRONG,4-Seam Fastball,47.0,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 47.0% | Sweeper 29.1% | Split-Finger 10.8% | Curveball 9.3%,285,268,Rafael Devers profiles best against 4-Seam Fastball | Shohei Ohtani grades weakest on 4-Seam Fastball | Direct pitch type overlap
Luis Torrens,New York Mets,Detroit Tigers,Framber Valdez,75.65,STRONG,Curveball,31.9,62.6,100.0,4-Seam Fastball,100.0,Sinker,100.0,Sinker 39.9% | Curveball 31.9% | Changeup 24.2% | Slider 3.6%,73,248,Luis Torrens profiles best against Curveball | Framber Valdez grades weakest on Sinker
Henry Davis,Pittsburgh Pirates,Colorado Rockies,Jose Quintana,75.65,STRONG,Sinker,16.7,100.0,79.3,Sinker,100.0,Slurve,100.0,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,151,245,Henry Davis profiles best against Sinker | Jose Quintana grades weakest on Slurve
Ezequiel Tovar,Colorado Rockies,Pittsburgh Pirates,Mitch Keller,75.33,STRONG,Sinker,12.4,100.0,71.1,Sinker,100.0,4-Seam Fastball,100.0,4-Seam Fastball 39.7% | Sweeper 17.0% | Sinker 12.4% | Slider 9.6%,213,282,Ezequiel Tovar profiles best against Sinker | Mitch Keller grades weakest on 4-Seam Fastball
Garrett Mitchell,Milwaukee Brewers,San Diego Padres,Michael King,75.16,STRONG,Sinker,20.8,86.6,100.0,Cutter,100.0,Sweeper,100.0,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,231,284,Garrett Mitchell profiles best against Sinker | Michael King grades weakest on Sweeper
Jesús Sánchez,Toronto Blue Jays,Tampa Bay Rays,Griffin Jax,74.83,STRONG,4-Seam Fastball,30.4,67.1,100.0,Curveball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 30.4% | Changeup 18.5% | Sinker 17.0% | Sweeper 17.0%,197,135,Jesús Sánchez profiles best against 4-Seam Fastball | Griffin Jax grades weakest on 4-Seam Fastball
Cesar Prieto,St. Louis Cardinals,Athletics,J.T. Ginn,74.61,STRONG,Sinker,31.7,57.8,100.0,Sinker,57.8,Sinker,100.0,Sinker 31.7% | Changeup 18.7% | Slider 17.8% | Cutter 17.4%,15,230,Cesar Prieto profiles best against Sinker | J.T. Ginn grades weakest on Sinker | Direct pitch type overlap
Luis Arraez,San Francisco Giants,Los Angeles Dodgers,Shohei Ohtani,74.53,STRONG,4-Seam Fastball,47.0,71.4,100.0,Curveball,89.6,4-Seam Fastball,100.0,4-Seam Fastball 47.0% | Sweeper 29.1% | Split-Finger 10.8% | Curveball 9.3%,239,268,Luis Arraez profiles best against 4-Seam Fastball | Shohei Ohtani grades weakest on 4-Seam Fastball
George Springer,Toronto Blue Jays,Tampa Bay Rays,Griffin Jax,74.31,STRONG,4-Seam Fastball,30.4,88.7,100.0,Cutter,100.0,4-Seam Fastball,100.0,4-Seam Fastball 30.4% | Changeup 18.5% | Sinker 17.0% | Sweeper 17.0%,114,135,George Springer profiles best against 4-Seam Fastball | Griffin Jax grades weakest on 4-Seam Fastball
Victor Scott II,St. Louis Cardinals,Athletics,J.T. Ginn,74.29,STRONG,Cutter,17.4,97.2,90.1,Curveball,100.0,Sinker,100.0,Sinker 31.7% | Changeup 18.7% | Slider 17.8% | Cutter 17.4%,146,230,Victor Scott II profiles best against Cutter | J.T. Ginn grades weakest on Sinker
Sal Frelick,Milwaukee Brewers,San Diego Padres,Michael King,74.19,STRONG,Sweeper,22.5,74.6,100.0,Cutter,100.0,Sweeper,100.0,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,192,284,Sal Frelick profiles best against Sweeper | Michael King grades weakest on Sweeper
Taylor Walls,Tampa Bay Rays,Toronto Blue Jays,Dylan Cease,74.17,STRONG,4-Seam Fastball,31.9,81.4,100.0,4-Seam Fastball,81.4,Sinker,100.0,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,199,310,Taylor Walls profiles best against 4-Seam Fastball | Dylan Cease grades weakest on Sinker
Darell Hernaiz,Athletics,St. Louis Cardinals,Matthew Liberatore,73.70,STRONG,Slider,25.7,72.6,100.0,Slider,72.6,4-Seam Fastball,100.0,4-Seam Fastball 32.4% | Slider 25.7% | Changeup 16.2% | Curveball 13.7%,134,241,Darell Hernaiz profiles best against Slider | Matthew Liberatore grades weakest on 4-Seam Fastball
Nick Yorke,Pittsburgh Pirates,Colorado Rockies,Jose Quintana,73.38,STRONG,4-Seam Fastball,28.2,77.1,86.2,Changeup,84.7,Slurve,100.0,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,41,245,Nick Yorke profiles best against 4-Seam Fastball | Jose Quintana grades weakest on Slurve
Ryan O'Hearn,Pittsburgh Pirates,Colorado Rockies,Jose Quintana,72.68,STRONG,Sinker,16.7,100.0,79.3,Sinker,100.0,Slurve,100.0,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,267,245,Ryan O'Hearn profiles best against Sinker | Jose Quintana grades weakest on Slurve
Matt Olson,Atlanta Braves,Chicago Cubs,Shota Imanaga,72.61,STRONG,4-Seam Fastball,34.6,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,Split-Finger 40.9% | 4-Seam Fastball 34.6% | Sweeper 15.4% | Sinker 7.7%,319,286,Matt Olson profiles best against 4-Seam Fastball | Shota Imanaga grades weakest on 4-Seam Fastball | Direct pitch type overlap
Matt Chapman,San Francisco Giants,Los Angeles Dodgers,Shohei Ohtani,72.25,STRONG,4-Seam Fastball,47.0,78.8,100.0,Slider,99.9,4-Seam Fastball,100.0,4-Seam Fastball 47.0% | Sweeper 29.1% | Split-Finger 10.8% | Curveball 9.3%,299,268,Matt Chapman profiles best against 4-Seam Fastball | Shohei Ohtani grades weakest on 4-Seam Fastball
Dillon Dingler,Detroit Tigers,New York Mets,Christian Scott,71.72,LIVE,Sweeper,15.6,69.8,100.0,Slider,100.0,Sweeper,100.0,4-Seam Fastball 55.3% | Cutter 24.1% | Sweeper 15.6%,252,199,Dillon Dingler profiles best against Sweeper | Christian Scott grades weakest on Sweeper
Mike Yastrzemski,Atlanta Braves,Chicago Cubs,Shota Imanaga,71.56,LIVE,4-Seam Fastball,34.6,83.0,100.0,Cutter,100.0,4-Seam Fastball,100.0,Split-Finger 40.9% | 4-Seam Fastball 34.6% | Sweeper 15.4% | Sinker 7.7%,170,286,Mike Yastrzemski profiles best against 4-Seam Fastball | Shota Imanaga grades weakest on 4-Seam Fastball
Luke Raley,Seattle Mariners,Houston Astros,Lance McCullers Jr.,71.22,LIVE,Cutter,21.8,88.9,100.0,4-Seam Fastball,100.0,Sinker,100.0,Cutter 21.8% | Knuckle Curve 21.1% | Sinker 20.3% | Sweeper 18.0%,118,261,Luke Raley profiles best against Cutter | Lance McCullers Jr. grades weakest on Sinker
Jake Fraley,Tampa Bay Rays,Toronto Blue Jays,Dylan Cease,69.67,LIVE,Changeup,13.5,100.0,92.8,Changeup,100.0,Sinker,100.0,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,119,310,Jake Fraley profiles best against Changeup | Dylan Cease grades weakest on Sinker
Freddy Fermin,San Diego Padres,Milwaukee Brewers,Jacob Misiorowski,69.57,LIVE,4-Seam Fastball,61.3,59.4,91.3,Sweeper,89.4,4-Seam Fastball,91.3,4-Seam Fastball 61.3% | Slider 23.6% | Curveball 13.7%,128,271,Freddy Fermin profiles best against 4-Seam Fastball | Jacob Misiorowski grades weakest on 4-Seam Fastball
Sung-Mun Song,San Diego Padres,Milwaukee Brewers,Jacob Misiorowski,69.05,LIVE,4-Seam Fastball,61.3,59.2,91.3,Cutter,100.0,4-Seam Fastball,91.3,4-Seam Fastball 61.3% | Slider 23.6% | Curveball 13.7%,60,271,Sung-Mun Song profiles best against 4-Seam Fastball | Jacob Misiorowski grades weakest on 4-Seam Fastball
Tyler Heineman,Toronto Blue Jays,Tampa Bay Rays,Griffin Jax,67.71,LIVE,4-Seam Fastball,30.4,55.2,100.0,Sweeper,62.5,4-Seam Fastball,100.0,4-Seam Fastball 30.4% | Changeup 18.5% | Sinker 17.0% | Sweeper 17.0%,95,135,Tyler Heineman profiles best against 4-Seam Fastball | Griffin Jax grades weakest on 4-Seam Fastball
Jesus Rodriguez,San Francisco Giants,Los Angeles Dodgers,Shohei Ohtani,66.91,LIVE,4-Seam Fastball,47.0,71.0,100.0,Slider,100.0,4-Seam Fastball,100.0,4-Seam Fastball 47.0% | Sweeper 29.1% | Split-Finger 10.8% | Curveball 9.3%,84,268,Jesus Rodriguez profiles best against 4-Seam Fastball | Shohei Ohtani grades weakest on 4-Seam Fastball
Dominic Canzone,Seattle Mariners,Houston Astros,Lance McCullers Jr.,65.67,LIVE,Sinker,20.3,68.2,100.0,Split-Finger,100.0,Sinker,100.0,Cutter 21.8% | Knuckle Curve 21.1% | Sinker 20.3% | Sweeper 18.0%,143,261,Dominic Canzone profiles best against Sinker | Lance McCullers Jr. grades weakest on Sinker
Billy Cook,Pittsburgh Pirates,Colorado Rockies,Jose Quintana,65.07,LIVE,4-Seam Fastball,28.2,58.0,86.2,4-Seam Fastball,58.0,Slurve,100.0,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,40,245,Billy Cook profiles best against 4-Seam Fastball | Jose Quintana grades weakest on Slurve
Zach McKinstry,Detroit Tigers,New York Mets,Christian Scott,64.33,LIVE,4-Seam Fastball,55.3,60.7,76.7,Curveball,78.5,Sweeper,100.0,4-Seam Fastball 55.3% | Cutter 24.1% | Sweeper 15.6%,67,199,Zach McKinstry profiles best against 4-Seam Fastball | Christian Scott grades weakest on Sweeper
Vidal Bruján,New York Mets,Detroit Tigers,Framber Valdez,50.00,NEUTRAL,,,,,4-Seam Fastball,45.2,Sinker,100.0,Sinker 39.9% | Curveball 31.9% | Changeup 24.2% | Slider 3.6%,14,248,Framber Valdez grades weakest on Sinker
Mickey Gasper,Boston Red Sox,Philadelphia Phillies,Andrew Painter,50.00,NEUTRAL,,,,,,,4-Seam Fastball,100.0,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,9,283,Andrew Painter grades weakest on 4-Seam Fastball
Cam Smith,Houston Astros,Seattle Mariners,Bryce Miller,,NO DATA,,,,,,,,,,261,,Missing pitcher pitch type data
Christian Yelich,Milwaukee Brewers,San Diego Padres,Michael King,,NO DATA,,,,,,,,,,,284,Missing hitter pitch type data
César Salazar,Houston Astros,Seattle Mariners,Bryce Miller,,NO DATA,,,,,,,,,,26,,Missing pitcher pitch type data
Ha-Seong Kim,Atlanta Braves,Chicago Cubs,Shota Imanaga,,NO DATA,,,,,,,,,,,286,Missing hitter pitch type data
Isaac Paredes,Houston Astros,Seattle Mariners,Bryce Miller,,NO DATA,,,,,,,,,,320,,Missing pitcher pitch type data
Jose Altuve,Houston Astros,Seattle Mariners,Bryce Miller,,NO DATA,,,,,,,,,,178,,Missing pitcher pitch type data
Brice Matthews,Houston Astros,Seattle Mariners,Bryce Miller,,NO DATA,,,,,,,,,,233,,Missing pitcher pitch type data
Zach Cole,Houston Astros,Seattle Mariners,Bryce Miller,,NO DATA,,,,,,,,,,70,,Missing pitcher pitch type data
Christian Walker,Houston Astros,Seattle Mariners,Bryce Miller,,NO DATA,,,,,,,,,,230,,Missing pitcher pitch type data
Yordan Alvarez,Houston Astros,Seattle Mariners,Bryce Miller,,NO DATA,,,,,,,,,,269,,Missing pitcher pitch type data
