name,team,opponent,pitcher,pitch_type_score,pitch_type_grade,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,hitter_pitch_sample,pitcher_pitch_sample,matchup_note
Xander Bogaerts,San Diego Padres,Milwaukee Brewers,Jacob Misiorowski,83.77,ELITE MATCHUP,4-Seam Fastball,61.3,100.0,91.3,4-Seam Fastball,100.0,4-Seam Fastball,91.3,4-Seam Fastball 61.3% | Slider 23.6% | Curveball 13.7%,245,271,Xander Bogaerts profiles best against 4-Seam Fastball | Jacob Misiorowski grades weakest on 4-Seam Fastball | Direct pitch type overlap
Masataka Yoshida,Boston Red Sox,Philadelphia Phillies,Andrew Painter,83.74,ELITE MATCHUP,Slider,17.0,83.5,100.0,Slider,83.5,4-Seam Fastball,100.0,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,103,283,Masataka Yoshida profiles best against Slider | Andrew Painter grades weakest on 4-Seam Fastball
Cal Raleigh,Seattle Mariners,Houston Astros,Lance McCullers Jr.,83.72,ELITE MATCHUP,Cutter,21.8,100.0,100.0,Cutter,100.0,Sinker,100.0,Cutter 21.8% | Knuckle Curve 21.1% | Sinker 20.3% | Sweeper 18.0%,237,261,Cal Raleigh profiles best against Cutter | Lance McCullers Jr. grades weakest on Sinker
Spencer Torkelson,Detroit Tigers,New York Mets,Christian Scott,83.62,ELITE MATCHUP,Sweeper,15.6,100.0,100.0,Sinker,100.0,Sweeper,100.0,4-Seam Fastball 55.3% | Cutter 24.1% | Sweeper 15.6%,294,199,Spencer Torkelson profiles best against Sweeper | Christian Scott grades weakest on Sweeper
Dansby Swanson,Chicago Cubs,Atlanta Braves,JR Ritchie,83.43,ELITE MATCHUP,4-Seam Fastball,25.7,100.0,100.0,Sinker,100.0,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,231,249,Dansby Swanson profiles best against 4-Seam Fastball | JR Ritchie grades weakest on Changeup
Bryson Stott,Philadelphia Phillies,Boston Red Sox,Sonny Gray,83.27,ELITE MATCHUP,Cutter,30.0,100.0,96.1,4-Seam Fastball,100.0,Cutter,96.1,Cutter 30.0% | Curveball 21.4% | Sinker 18.6% | Sweeper 11.4%,263,70,Bryson Stott profiles best against Cutter | Sonny Gray grades weakest on Cutter
Edouard Julien,Colorado Rockies,Pittsburgh Pirates,Mitch Keller,83.02,ELITE MATCHUP,Slider,9.6,100.0,83.1,Slider,100.0,4-Seam Fastball,100.0,4-Seam Fastball 39.7% | Sweeper 17.0% | Sinker 12.4% | Slider 9.6%,213,282,Edouard Julien profiles best against Slider | Mitch Keller grades weakest on 4-Seam Fastball
Trevor Story,Boston Red Sox,Philadelphia Phillies,Andrew Painter,82.98,ELITE MATCHUP,Sinker,13.4,79.3,100.0,Changeup,100.0,4-Seam Fastball,100.0,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,229,283,Trevor Story profiles best against Sinker | Andrew Painter grades weakest on 4-Seam Fastball
J.T. Realmuto,Philadelphia Phillies,Boston Red Sox,Sonny Gray,82.93,ELITE MATCHUP,Cutter,30.0,94.7,96.1,Split-Finger,100.0,Cutter,96.1,Cutter 30.0% | Curveball 21.4% | Sinker 18.6% | Sweeper 11.4%,102,70,J.T. Realmuto profiles best against Cutter | Sonny Gray grades weakest on Cutter
Josh Naylor,Seattle Mariners,Houston Astros,Lance McCullers Jr.,82.91,ELITE MATCHUP,Cutter,21.8,100.0,100.0,4-Seam Fastball,100.0,Sinker,100.0,Cutter 21.8% | Knuckle Curve 21.1% | Sinker 20.3% | Sweeper 18.0%,230,261,Josh Naylor profiles best against Cutter | Lance McCullers Jr. grades weakest on Sinker
Connor Wong,Boston Red Sox,Philadelphia Phillies,Andrew Painter,82.77,ELITE MATCHUP,Sinker,13.4,91.2,100.0,Sinker,91.2,4-Seam Fastball,100.0,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,82,283,Connor Wong profiles best against Sinker | Andrew Painter grades weakest on 4-Seam Fastball
Zack Gelof,Athletics,St. Louis Cardinals,Matthew Liberatore,82.74,ELITE MATCHUP,Slider,25.7,100.0,100.0,Slider,100.0,4-Seam Fastball,100.0,4-Seam Fastball 32.4% | Slider 25.7% | Changeup 16.2% | Curveball 13.7%,188,241,Zack Gelof profiles best against Slider | Matthew Liberatore grades weakest on 4-Seam Fastball
Ramón Laureano,San Diego Padres,Milwaukee Brewers,Jacob Misiorowski,82.67,ELITE MATCHUP,4-Seam Fastball,61.3,100.0,91.3,4-Seam Fastball,100.0,4-Seam Fastball,91.3,4-Seam Fastball 61.3% | Slider 23.6% | Curveball 13.7%,251,271,Ramón Laureano profiles best against 4-Seam Fastball | Jacob Misiorowski grades weakest on 4-Seam Fastball | Direct pitch type overlap
Jung Hoo Lee,San Francisco Giants,Los Angeles Dodgers,Shohei Ohtani,82.56,ELITE MATCHUP,4-Seam Fastball,47.0,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 47.0% | Sweeper 29.1% | Split-Finger 10.8% | Curveball 9.3%,262,268,Jung Hoo Lee profiles best against 4-Seam Fastball | Shohei Ohtani grades weakest on 4-Seam Fastball | Direct pitch type overlap
Bryce Harper,Philadelphia Phillies,Boston Red Sox,Sonny Gray,82.45,ELITE MATCHUP,4-Seam Fastball,11.4,100.0,85.1,4-Seam Fastball,100.0,Cutter,96.1,Cutter 30.0% | Curveball 21.4% | Sinker 18.6% | Sweeper 11.4%,279,70,Bryce Harper profiles best against 4-Seam Fastball | Sonny Gray grades weakest on Cutter
Matt McLain,Cincinnati Reds,Washington Nationals,Jake Irvin,82.40,ELITE MATCHUP,Sinker,28.4,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,236,278,Matt McLain profiles best against Sinker | Jake Irvin grades weakest on 4-Seam Fastball | Direct pitch type overlap
Royce Lewis,Minnesota Twins,Miami Marlins,Max Meyer,82.32,ELITE MATCHUP,4-Seam Fastball,25.2,100.0,100.0,4-Seam Fastball,100.0,Sweeper,100.0,Sweeper 29.9% | Slider 26.4% | 4-Seam Fastball 25.2% | Sinker 9.8%,193,254,Royce Lewis profiles best against 4-Seam Fastball | Max Meyer grades weakest on Sweeper
Luis Rengifo,Milwaukee Brewers,San Diego Padres,Michael King,82.20,ELITE MATCHUP,Sinker,20.8,88.4,100.0,Curveball,100.0,Sweeper,100.0,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,182,284,Luis Rengifo profiles best against Sinker | Michael King grades weakest on Sweeper
Gavin Sheets,San Diego Padres,Milwaukee Brewers,Jacob Misiorowski,81.95,STRONG,4-Seam Fastball,61.3,100.0,91.3,Sinker,100.0,4-Seam Fastball,91.3,4-Seam Fastball 61.3% | Slider 23.6% | Curveball 13.7%,186,271,Gavin Sheets profiles best against 4-Seam Fastball | Jacob Misiorowski grades weakest on 4-Seam Fastball
Alec Burleson,St. Louis Cardinals,Athletics,J.T. Ginn,81.64,STRONG,4-Seam Fastball,14.3,100.0,100.0,Curveball,100.0,Sinker,100.0,Sinker 31.7% | Changeup 18.7% | Slider 17.8% | Cutter 17.4%,250,230,Alec Burleson profiles best against 4-Seam Fastball | J.T. Ginn grades weakest on Sinker
Colby Thomas,Athletics,St. Louis Cardinals,Matthew Liberatore,81.61,STRONG,Slider,25.7,100.0,100.0,Slider,100.0,4-Seam Fastball,100.0,4-Seam Fastball 32.4% | Slider 25.7% | Changeup 16.2% | Curveball 13.7%,88,241,Colby Thomas profiles best against Slider | Matthew Liberatore grades weakest on 4-Seam Fastball
Jake Bauers,Milwaukee Brewers,San Diego Padres,Michael King,81.48,STRONG,4-Seam Fastball,22.9,100.0,78.5,4-Seam Fastball,100.0,Sweeper,100.0,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,241,284,Jake Bauers profiles best against 4-Seam Fastball | Michael King grades weakest on Sweeper
