rank,game,stack_size,players,teams,pitcher,stack_type,simulation_stack_type,base_stack_score,avg_player_hr_probability,simulated_any_hr_probability,simulated_all_hr_probability,adjusted_all_hr_probability,correlation_boost,avg_ev_percent,simulation_stack_score,simulation_stack_grade,payout_profile
1,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Moisés Ballesteros,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.58,12.87%,24.10%,1.6417%,1.9852%,20.92%,-21.28%,74.98,SIM_PLAYABLE_2MAN,NO_ODDS
2,Kansas City Royals @ Chicago White Sox,2,Bobby Witt Jr. + Munetaka Murakami,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,2MAN_ANY_HR_ENVIRONMENT,48.98,13.81%,25.73%,1.8867%,2.2489%,19.20%,-34.48%,74.56,SIM_PLAYABLE_2MAN,NO_ODDS
3,Kansas City Royals @ Chicago White Sox,2,Munetaka Murakami + Colson Montgomery,Chicago White Sox,Seth Lugo,TEAMMATE_HR_STACK,2MAN_ANY_HR_ENVIRONMENT,52.31,13.95%,25.96%,1.9279%,2.2842%,18.48%,-41.59%,74.49,SIM_PLAYABLE_2MAN,NO_ODDS
4,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Seiya Suzuki,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.36,12.87%,24.09%,1.6403%,1.9814%,20.79%,-32.10%,74.29,SIM_PLAYABLE_2MAN,NO_ODDS
5,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Jake Burger,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.40,12.96%,24.25%,1.6640%,2.0037%,20.41%,-28.22%,73.83,SIM_PLAYABLE_2MAN,NO_ODDS
6,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Corbin Carroll,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.51,13.29%,24.81%,1.7574%,2.1166%,20.44%,-27.51%,73.22,SIM_PLAYABLE_2MAN,NO_ODDS
7,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Ketel Marte,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.42,13.05%,24.41%,1.6909%,2.0358%,20.39%,-30.30%,72.53,SIM_PLAYABLE_2MAN,NO_ODDS
8,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Brandon Nimmo,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.65,12.74%,23.88%,1.6032%,1.9318%,20.50%,-23.58%,71.75,SIM_PLAYABLE_2MAN,NO_ODDS
9,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Michael Busch,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.12,12.63%,23.68%,1.5727%,1.8986%,20.72%,-31.96%,71.62,SIM_PLAYABLE_2MAN,NO_ODDS
10,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.22,12.22%,22.97%,1.4573%,1.7598%,20.76%,-29.05%,70.97,SIM_PLAYABLE_2MAN,NO_ODDS
11,San Francisco Giants @ Los Angeles Dodgers,2,Max Muncy + Will Smith,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.91,13.31%,24.90%,1.7273%,2.0514%,18.77%,-38.48%,70.83,SIM_PLAYABLE_2MAN,NO_ODDS
12,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Dansby Swanson,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.30,12.02%,22.64%,1.4024%,1.6940%,20.80%,-25.33%,70.78,SIM_PLAYABLE_2MAN,NO_ODDS
13,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Joc Pederson,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.40,12.38%,23.26%,1.5013%,1.8077%,20.41%,-25.13%,70.75,SIM_PLAYABLE_2MAN,NO_ODDS
14,San Francisco Giants @ Los Angeles Dodgers,2,Max Muncy + Andy Pages,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.94,13.04%,24.44%,1.6423%,1.9508%,18.78%,-36.20%,70.37,SIM_PLAYABLE_2MAN,NO_ODDS
15,Chicago Cubs @ Atlanta Braves,2,Moisés Ballesteros + Seiya Suzuki,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.15,11.65%,21.95%,1.3584%,1.6397%,20.71%,-28.00%,69.84,SIM_PLAYABLE_2MAN,NO_ODDS
16,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Josh Jung,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.37,12.03%,22.66%,1.4023%,1.6878%,20.37%,-29.52%,69.77,SIM_PLAYABLE_2MAN,NO_ODDS
17,San Francisco Giants @ Los Angeles Dodgers,2,Max Muncy + Teoscar Hernández,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.62,12.92%,24.23%,1.6053%,1.9048%,18.66%,-39.51%,69.72,SIM_PLAYABLE_2MAN,NO_ODDS
18,Arizona Diamondbacks @ Texas Rangers,2,Corbin Carroll + Ketel Marte,Arizona Diamondbacks,Kumar Rocker,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.02,12.19%,22.89%,1.4842%,1.7839%,20.20%,-34.37%,69.63,SIM_PLAYABLE_2MAN,NO_ODDS
19,Arizona Diamondbacks @ Texas Rangers,2,Brandon Nimmo + Jake Burger,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.14,11.54%,21.76%,1.3324%,1.6025%,20.27%,-28.36%,68.71,SIM_PLAYABLE_2MAN,NO_ODDS
20,Kansas City Royals @ Chicago White Sox,2,Salvador Perez + Munetaka Murakami,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.28,12.83%,24.06%,1.5865%,1.8866%,18.92%,-42.47%,68.56,SIM_PLAYABLE_2MAN,NO_ODDS
21,Arizona Diamondbacks @ Texas Rangers,2,Corbin Carroll + Jake Burger,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.00,12.09%,22.72%,1.4606%,1.7558%,20.21%,-32.28%,68.14,SIM_PLAYABLE_2MAN,NO_ODDS
22,Arizona Diamondbacks @ Texas Rangers,2,Brandon Nimmo + Corbin Carroll,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.25,11.88%,22.34%,1.4072%,1.6928%,20.30%,-27.65%,68.07,SIM_PLAYABLE_2MAN,NO_ODDS
23,San Francisco Giants @ Los Angeles Dodgers,2,Max Muncy + Freddie Freeman,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,53.03,12.68%,23.84%,1.5326%,1.8208%,18.80%,-36.80%,67.64,SIM_PLAYABLE_2MAN,NO_ODDS
24,Arizona Diamondbacks @ Texas Rangers,2,Ketel Marte + Jake Burger,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.91,11.85%,22.30%,1.4053%,1.6888%,20.17%,-35.08%,67.46,SIM_PLAYABLE_2MAN,NO_ODDS
25,Arizona Diamondbacks @ Texas Rangers,2,Brandon Nimmo + Ketel Marte,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.16,11.64%,21.93%,1.3539%,1.6281%,20.25%,-30.44%,67.40,SIM_PLAYABLE_2MAN,NO_ODDS
26,Kansas City Royals @ Chicago White Sox,2,Bobby Witt Jr. + Colson Montgomery,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.53,12.52%,23.46%,1.5661%,1.8641%,19.03%,-35.96%,66.51,SIM_PLAYABLE_2MAN,NO_ODDS
27,San Francisco Giants @ Los Angeles Dodgers,2,Max Muncy + Dalton Rushing,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.74,12.22%,23.06%,1.3905%,1.6501%,18.67%,-39.64%,66.27,SIM_PLAYABLE_2MAN,NO_ODDS
28,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Matt Olson,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.57,12.36%,23.22%,1.4981%,1.7825%,18.99%,-36.09%,66.09,SIM_PLAYABLE_2MAN,NO_ODDS
29,Kansas City Royals @ Chicago White Sox,2,Munetaka Murakami + Miguel Vargas,Chicago White Sox,Seth Lugo,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.30,12.25%,23.08%,1.4097%,1.6695%,18.43%,-39.98%,65.87,SIM_PLAYABLE_2MAN,NO_ODDS
30,San Francisco Giants @ Los Angeles Dodgers,2,Max Muncy + Mookie Betts,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.13,12.29%,23.17%,1.4106%,1.6703%,18.42%,-45.17%,65.66,SIM_PLAYABLE_2MAN,NO_ODDS
31,Chicago Cubs @ Atlanta Braves,3,Ian Happ + Moisés Ballesteros + Seiya Suzuki,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.37,12.46%,32.94%,0.1913%,0.2311%,20.81%,-27.13%,73.68,SIM_PLAYABLE_3MAN,NO_ODDS
32,Chicago Cubs @ Atlanta Braves,3,Ian Happ + Moisés Ballesteros + Michael Busch,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.20,12.30%,32.58%,0.1834%,0.2215%,20.76%,-27.03%,73.28,SIM_PLAYABLE_3MAN,NO_ODDS
33,Chicago Cubs @ Atlanta Braves,3,Ian Happ + Seiya Suzuki + Michael Busch,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.06,12.30%,32.57%,0.1832%,0.2211%,20.68%,-34.25%,72.83,SIM_PLAYABLE_3MAN,NO_ODDS
34,Arizona Diamondbacks @ Texas Rangers,3,Corey Seager + Brandon Nimmo + Jake Burger,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.40,12.41%,32.83%,0.1885%,0.2270%,20.39%,-26.72%,72.77,SIM_PLAYABLE_3MAN,NO_ODDS
35,Arizona Diamondbacks @ Texas Rangers,3,Corey Seager + Corbin Carroll + Ketel Marte,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.32,12.84%,33.80%,0.2100%,0.2527%,20.34%,-30.73%,71.88,SIM_PLAYABLE_3MAN,NO_ODDS
36,Arizona Diamondbacks @ Texas Rangers,3,Corey Seager + Corbin Carroll + Jake Burger,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.30,12.78%,33.65%,0.2067%,0.2487%,20.35%,-29.34%,71.83,SIM_PLAYABLE_3MAN,NO_ODDS
37,Arizona Diamondbacks @ Texas Rangers,3,Corey Seager + Brandon Nimmo + Corbin Carroll,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.47,12.63%,33.33%,0.1991%,0.2398%,20.41%,-26.25%,71.82,SIM_PLAYABLE_3MAN,NO_ODDS
38,Kansas City Royals @ Chicago White Sox,3,Bobby Witt Jr. + Munetaka Murakami + Colson Montgomery,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,3MAN_GAME_ENVIRONMENT,48.27,13.42%,35.13%,0.2387%,0.2838%,18.90%,-37.34%,71.82,SIM_PLAYABLE_3MAN,NO_ODDS
39,Arizona Diamondbacks @ Texas Rangers,3,Corey Seager + Ketel Marte + Jake Burger,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.24,12.62%,33.30%,0.1989%,0.2393%,20.32%,-31.20%,71.42,SIM_PLAYABLE_3MAN,NO_ODDS
40,Arizona Diamondbacks @ Texas Rangers,3,Corey Seager + Brandon Nimmo + Ketel Marte,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.41,12.48%,32.97%,0.1916%,0.2306%,20.38%,-28.11%,71.41,SIM_PLAYABLE_3MAN,NO_ODDS
41,Arizona Diamondbacks @ Texas Rangers,3,Corey Seager + Corbin Carroll + Joc Pederson,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.31,12.39%,32.79%,0.1865%,0.2244%,20.35%,-27.28%,71.23,SIM_PLAYABLE_3MAN,NO_ODDS
42,Kansas City Royals @ Chicago White Sox,3,Bobby Witt Jr. + Salvador Perez + Munetaka Murakami,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.92,12.68%,33.46%,0.1964%,0.2341%,19.19%,-37.92%,69.04,SIM_PLAYABLE_3MAN,NO_ODDS
43,Kansas City Royals @ Chicago White Sox,3,Salvador Perez + Munetaka Murakami + Colson Montgomery,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.80,12.77%,33.67%,0.2007%,0.2383%,18.72%,-42.67%,68.05,SIM_PLAYABLE_3MAN,NO_ODDS
44,Chicago Cubs @ Atlanta Braves,2,Moisés Ballesteros + Michael Busch,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.91,11.42%,21.53%,1.3024%,1.5712%,20.64%,-27.86%,66.20,SIM_LEAN_2MAN,NO_ODDS
45,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Carson Kelly,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.94,11.46%,21.68%,1.2461%,1.5031%,20.63%,-28.19%,66.16,SIM_LEAN_2MAN,NO_ODDS
46,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Alex Bregman,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.92,11.51%,21.75%,1.2573%,1.5166%,20.62%,-32.49%,66.05,SIM_LEAN_2MAN,NO_ODDS
47,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Evan Carter,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.15,11.55%,21.83%,1.2664%,1.5236%,20.31%,-22.80%,65.89,SIM_LEAN_2MAN,NO_ODDS
48,Chicago Cubs @ Atlanta Braves,2,Moisés Ballesteros + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.00,11.00%,20.80%,1.2068%,1.4563%,20.68%,-24.95%,65.57,SIM_LEAN_2MAN,NO_ODDS
49,Chicago Cubs @ Atlanta Braves,2,Seiya Suzuki + Michael Busch,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.69,11.41%,21.52%,1.3013%,1.5682%,20.51%,-38.69%,65.51,SIM_LEAN_2MAN,NO_ODDS
50,Chicago Cubs @ Atlanta Braves,2,Moisés Ballesteros + Dansby Swanson,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,57.08,10.81%,20.46%,1.1613%,1.4019%,20.71%,-21.23%,65.40,SIM_LEAN_2MAN,NO_ODDS
51,Chicago Cubs @ Atlanta Braves,2,Seiya Suzuki + Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.79,11.00%,20.79%,1.2058%,1.4536%,20.55%,-35.78%,64.89,SIM_LEAN_2MAN,NO_ODDS
52,Arizona Diamondbacks @ Texas Rangers,2,Joc Pederson + Jake Burger,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.89,11.19%,21.12%,1.2477%,1.4996%,20.18%,-29.90%,64.74,SIM_LEAN_2MAN,NO_ODDS
53,Chicago Cubs @ Atlanta Braves,2,Seiya Suzuki + Dansby Swanson,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.87,10.81%,20.45%,1.1603%,1.3992%,20.58%,-32.05%,64.72,SIM_LEAN_2MAN,NO_ODDS
54,Arizona Diamondbacks @ Texas Rangers,2,Brandon Nimmo + Joc Pederson,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.14,10.97%,20.74%,1.2021%,1.4458%,20.27%,-25.27%,64.69,SIM_LEAN_2MAN,NO_ODDS
55,Tampa Bay Rays @ Toronto Blue Jays,2,Kazuma Okamoto + Vladimir Guerrero Jr.,Toronto Blue Jays,Griffin Jax,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.96,11.25%,21.31%,1.1994%,1.4412%,20.16%,-37.64%,64.45,SIM_LEAN_2MAN,NO_ODDS
56,Chicago Cubs @ Atlanta Braves,2,Pete Crow-Armstrong + Michael Busch,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.54,10.76%,20.36%,1.1561%,1.3929%,20.48%,-35.63%,64.26,SIM_LEAN_2MAN,NO_ODDS
57,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Ezequiel Duran,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.06,10.82%,20.57%,1.0584%,1.2728%,20.25%,-23.22%,64.23,SIM_LEAN_2MAN,NO_ODDS
58,Chicago Cubs @ Atlanta Braves,2,Dansby Swanson + Michael Busch,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.62,10.56%,20.02%,1.1125%,1.3407%,20.51%,-31.91%,64.09,SIM_LEAN_2MAN,NO_ODDS
59,Arizona Diamondbacks @ Texas Rangers,2,Corbin Carroll + Joc Pederson,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.00,11.52%,21.71%,1.3178%,1.5841%,20.21%,-29.20%,64.09,SIM_LEAN_2MAN,NO_ODDS
60,Tampa Bay Rays @ Toronto Blue Jays,2,Kazuma Okamoto + Daulton Varsho,Toronto Blue Jays,Griffin Jax,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.81,11.05%,20.97%,1.1440%,1.3742%,20.12%,-39.91%,63.85,SIM_LEAN_2MAN,NO_ODDS
61,Arizona Diamondbacks @ Texas Rangers,2,Jake Burger + Josh Jung,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.86,10.84%,20.50%,1.1654%,1.4001%,20.14%,-34.29%,63.78,SIM_LEAN_2MAN,NO_ODDS
62,Arizona Diamondbacks @ Texas Rangers,2,Brandon Nimmo + Josh Jung,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.11,10.62%,20.12%,1.1228%,1.3498%,20.22%,-29.66%,63.74,SIM_LEAN_2MAN,NO_ODDS
63,Tampa Bay Rays @ Toronto Blue Jays,2,Kazuma Okamoto + George Springer,Toronto Blue Jays,Griffin Jax,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.69,11.06%,20.97%,1.1454%,1.3753%,20.07%,-40.58%,63.72,SIM_LEAN_2MAN,NO_ODDS
64,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Gabriel Moreno,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,51.00,11.13%,21.10%,1.1462%,1.3783%,20.25%,-17.14%,63.70,SIM_LEAN_2MAN,NO_ODDS
65,Arizona Diamondbacks @ Texas Rangers,2,Corey Seager + Adrian Del Castillo,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.91,11.25%,21.32%,1.1815%,1.4201%,20.19%,-25.00%,63.54,SIM_LEAN_2MAN,NO_ODDS
66,Kansas City Royals @ Chicago White Sox,2,Bobby Witt Jr. + Salvador Perez,Kansas City Royals,Noah Schultz,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,54.50,11.39%,21.50%,1.2888%,1.5396%,19.46%,-36.83%,63.48,SIM_LEAN_2MAN,NO_ODDS
67,Arizona Diamondbacks @ Texas Rangers,2,Ketel Marte + Joc Pederson,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.91,11.28%,21.29%,1.2679%,1.5236%,20.17%,-31.98%,63.42,SIM_LEAN_2MAN,NO_ODDS
68,Tampa Bay Rays @ Toronto Blue Jays,2,Kazuma Okamoto + Jesús Sánchez,Toronto Blue Jays,Griffin Jax,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.76,10.69%,20.35%,1.0443%,1.2538%,20.07%,-35.75%,63.17,SIM_LEAN_2MAN,NO_ODDS
69,Arizona Diamondbacks @ Texas Rangers,2,Corbin Carroll + Josh Jung,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.97,11.16%,21.10%,1.2308%,1.4790%,20.17%,-33.59%,63.13,SIM_LEAN_2MAN,NO_ODDS
70,Arizona Diamondbacks @ Texas Rangers,2,Ketel Marte + Josh Jung,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.88,10.93%,20.68%,1.1842%,1.4225%,20.12%,-36.38%,62.47,SIM_LEAN_2MAN,NO_ODDS
71,Arizona Diamondbacks @ Texas Rangers,2,Corbin Carroll + Evan Carter,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.75,10.69%,20.26%,1.1116%,1.3351%,20.11%,-26.86%,62.28,SIM_LEAN_2MAN,NO_ODDS
72,San Francisco Giants @ Los Angeles Dodgers,2,Max Muncy + Kyle Tucker,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.45,11.85%,22.42%,1.2731%,1.5096%,18.58%,-41.48%,62.18,SIM_LEAN_2MAN,NO_ODDS
73,Kansas City Royals @ Chicago White Sox,2,Munetaka Murakami + Andrew Benintendi,Chicago White Sox,Seth Lugo,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.04,11.79%,22.32%,1.2725%,1.5062%,18.36%,-38.73%,61.80,SIM_LEAN_2MAN,NO_ODDS
74,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Michael Harris II,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.66,11.56%,21.86%,1.2742%,1.5167%,19.03%,-31.48%,61.70,SIM_LEAN_2MAN,NO_ODDS
75,Chicago Cubs @ Atlanta Braves,2,Moisés Ballesteros + Matt Olson,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.36,11.15%,21.06%,1.2406%,1.4751%,18.90%,-32.00%,60.69,SIM_LEAN_2MAN,NO_ODDS
76,Kansas City Royals @ Chicago White Sox,2,Salvador Perez + Colson Montgomery,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.83,11.53%,21.74%,1.3169%,1.5638%,18.75%,-43.95%,60.60,SIM_LEAN_2MAN,NO_ODDS
77,San Francisco Giants @ Los Angeles Dodgers,2,Andy Pages + Will Smith,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.25,10.91%,20.62%,1.1884%,1.4083%,18.50%,-39.58%,60.43,SIM_LEAN_2MAN,NO_ODDS
78,Kansas City Royals @ Chicago White Sox,2,Vinnie Pasquantino + Munetaka Murakami,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.08,11.36%,21.57%,1.1384%,1.3525%,18.81%,-40.92%,60.28,SIM_LEAN_2MAN,NO_ODDS
79,Kansas City Royals @ Chicago White Sox,2,Carter Jensen + Munetaka Murakami,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.11,11.22%,21.34%,1.0973%,1.3041%,18.84%,-37.67%,60.19,SIM_LEAN_2MAN,NO_ODDS
80,Kansas City Royals @ Chicago White Sox,2,Maikel Garcia + Munetaka Murakami,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.14,11.27%,21.42%,1.1110%,1.3202%,18.83%,-40.00%,60.18,SIM_LEAN_2MAN,NO_ODDS
81,Kansas City Royals @ Chicago White Sox,2,Bobby Witt Jr. + Miguel Vargas,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.52,10.81%,20.48%,1.1451%,1.3624%,18.97%,-34.34%,60.05,SIM_LEAN_2MAN,NO_ODDS
82,Chicago Cubs @ Atlanta Braves,2,Seiya Suzuki + Matt Olson,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.15,11.15%,21.05%,1.2396%,1.4723%,18.77%,-42.82%,60.01,SIM_LEAN_2MAN,NO_ODDS
83,Chicago Cubs @ Atlanta Braves,2,Ian Happ + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.24,11.03%,20.94%,1.1236%,1.3354%,18.85%,-37.74%,59.97,SIM_LEAN_2MAN,NO_ODDS
84,Kansas City Royals @ Chicago White Sox,2,Colson Montgomery + Miguel Vargas,Chicago White Sox,Seth Lugo,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,51.85,10.95%,20.73%,1.1701%,1.3838%,18.26%,-41.47%,59.96,SIM_LEAN_2MAN,NO_ODDS
