rank,game,stack_size,players,teams,pitcher,stack_type,simulation_stack_type,base_stack_score,avg_player_hr_probability,simulated_any_hr_probability,simulated_all_hr_probability,adjusted_all_hr_probability,correlation_boost,avg_ev_percent,simulation_stack_score,simulation_stack_grade,payout_profile
1007,Arizona Diamondbacks @ Texas Rangers,4,Corbin Carroll + Jake Burger + Evan Carter + Nolan Arenado,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.51,9.90%,34.19%,0.0085%,0.0101%,20.00%,-31.47%,60.76,SIM_THIN_4MAN,NO_ODDS
1008,Arizona Diamondbacks @ Texas Rangers,4,Ketel Marte + Jake Burger + Ezequiel Duran + Adrian Del Castillo,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.48,9.88%,34.12%,0.0088%,0.0105%,19.99%,-29.93%,60.76,SIM_THIN_4MAN,NO_ODDS
1009,Chicago Cubs @ Atlanta Braves,4,Seiya Suzuki + Pete Crow-Armstrong + Alex Bregman + Nico Hoerner,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.78,9.04%,31.63%,0.0056%,0.0068%,20.20%,-34.77%,60.75,SIM_THIN_4MAN,NO_ODDS
1010,Arizona Diamondbacks @ Texas Rangers,2,Corbin Carroll + Adrian Del Castillo,Arizona Diamondbacks,Kumar Rocker,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.51,10.38%,19.73%,1.0371%,1.2444%,19.99%,-29.07%,60.75,SIM_THIN_2MAN,NO_ODDS
1011,Arizona Diamondbacks @ Texas Rangers,4,Brandon Nimmo + Ketel Marte + Ezequiel Duran + Adrian Del Castillo,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.61,9.78%,33.80%,0.0085%,0.0102%,20.03%,-27.61%,60.75,SIM_THIN_4MAN,NO_ODDS
1012,San Francisco Giants @ Los Angeles Dodgers,3,Max Muncy + Freddie Freeman + Heliot Ramos,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.38,11.07%,29.82%,0.1203%,0.1420%,18.00%,-40.20%,60.75,SIM_THIN_3MAN,NO_ODDS
1013,Arizona Diamondbacks @ Texas Rangers,3,Corey Seager + Brandon Nimmo + Nolan Arenado,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.99,10.65%,28.80%,0.1037%,0.1247%,20.19%,-28.78%,60.74,SIM_THIN_3MAN,NO_ODDS
1014,Arizona Diamondbacks @ Texas Rangers,4,Brandon Nimmo + Corbin Carroll + Evan Carter + Nolan Arenado,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.64,9.79%,33.87%,0.0081%,0.0098%,20.04%,-29.15%,60.74,SIM_THIN_4MAN,NO_ODDS
1015,Chicago Cubs @ Atlanta Braves,4,Seiya Suzuki + Dansby Swanson + Pete Crow-Armstrong + Michael Harris II,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.98,10.25%,35.14%,0.0109%,0.0130%,19.68%,-33.60%,60.74,SIM_THIN_4MAN,NO_ODDS
1016,Chicago Cubs @ Atlanta Braves,4,Seiya Suzuki + Dansby Swanson + Carson Kelly + Nico Hoerner,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.83,8.92%,31.27%,0.0054%,0.0064%,20.22%,-30.75%,60.73,SIM_THIN_4MAN,NO_ODDS
1017,Arizona Diamondbacks @ Texas Rangers,3,Brandon Nimmo + Corbin Carroll + Adrian Del Castillo,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.81,10.70%,28.83%,0.1175%,0.1411%,20.11%,-27.29%,60.73,SIM_THIN_3MAN,NO_ODDS
1018,Arizona Diamondbacks @ Texas Rangers,4,Ketel Marte + Joc Pederson + Evan Carter + Ezequiel Duran,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.60,9.75%,33.70%,0.0085%,0.0102%,20.05%,-27.28%,60.72,SIM_THIN_4MAN,NO_ODDS
1019,Arizona Diamondbacks @ Texas Rangers,4,Brandon Nimmo + Jake Burger + Ezequiel Duran + Adrian Del Castillo,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.60,9.73%,33.65%,0.0083%,0.0100%,20.04%,-26.57%,60.71,SIM_THIN_4MAN,NO_ODDS
1020,Arizona Diamondbacks @ Texas Rangers,3,Corbin Carroll + Joc Pederson + Evan Carter,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.80,10.66%,28.72%,0.1179%,0.1417%,20.13%,-26.85%,60.70,SIM_THIN_3MAN,NO_ODDS
1021,Arizona Diamondbacks @ Texas Rangers,4,Corbin Carroll + Joc Pederson + Ezequiel Duran + Gabriel Moreno,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.57,9.65%,33.44%,0.0080%,0.0096%,20.04%,-23.06%,60.69,SIM_THIN_4MAN,NO_ODDS
1022,Arizona Diamondbacks @ Texas Rangers,4,Ketel Marte + Joc Pederson + Gabriel Moreno + Adrian Del Castillo,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.46,9.75%,33.71%,0.0086%,0.0103%,19.99%,-25.34%,60.69,SIM_THIN_4MAN,NO_ODDS
1023,Arizona Diamondbacks @ Texas Rangers,3,Joc Pederson + Jake Burger + Ezequiel Duran,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.66,9.95%,27.02%,0.0933%,0.1121%,20.08%,-27.60%,60.68,SIM_THIN_3MAN,NO_ODDS
