rank,date,season,name,mlbam,team,opponent,game,game_pk,game_date,game_status,venue,home_away,is_home,pitcher,probable_pitcher,opposing_pitcher,pitcher_mlbam,pitcher_hand,opponent_probable_pitcher,opponent_probable_pitcher_mlbam,team_probable_pitcher,team_probable_pitcher_mlbam,odds,book,implied,score,statcast,barrel_pct,hard_hit_pct,avg_ev,xslg,xwoba,launch_angle,raw_team,raw_game,odds_source_row,weather_boost,weather_match,weather_temp,weather_wind,weather_wind_deg,weather_desc,weather_park,trend,trend_score,hot_score,l5_games,l10_games,l15_games,l5_hr,l10_hr,l15_hr,l5_hits,l10_hits,l5_tb,l10_tb,l5_tbpg,l10_tbpg,l5_hitpg,l10_hitpg,l5_papg,l10_papg,trend_last_game,trend_match_type,pitcher_team,pitcher_status,pitcher_gs,pitcher_ip,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_team_so,pitcher_last3,pitcher_k9,pitcher_bb9,pitcher_hr9,pitcher_attack_score,pitcher_attack_tag,pAtk,pitcher_match_type,park,ballpark,home_team,hr_park_score,parkScore,park_score,park_label,park_note,park_match_type,vegas_game_total,vegas_total_boost,vegas_total_match,vegas_total_game_key,vegas_total_source,pitch_type_score,pitch_type_grade,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,hitter_pitch_sample,pitcher_pitch_sample,pitch_type_note,bullpen_attack_score,bullpen_grade,bullpen_quality_score,bullpen_quality_grade,bullpen_fatigue_score,bullpen_fatigue_grade,bullpen_total_pitches_last_3,bullpen_innings_last_3,bullpen_pitchers_used_last_3,bullpen_relievers_20_plus,bullpen_relievers_25_plus,bullpen_relievers_30_plus,bullpen_back_to_back_relievers,bullpen_high_usage_relievers,bullpen_era,bullpen_whip,bullpen_hr_per_9,bullpen_k_per_9,bullpen_note,market_score,power_score,statcast_score,pitcher_score,park_score_model,vegas_score,lineup_score,odds_quality_score,final_score,tier
70,2026-05-13,2026,Francisco Alvarez,,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,823631,2026-05-13T23:10:00Z,Scheduled,Citi Field,home,1,Jack Flaherty,Framber Valdez,Framber Valdez,664285,L,Framber Valdez,664285,Christian Scott,681035,1100,FanDuel,8.33,28.10,missing,,,,,,,New York Mets,Detroit Tigers @ New York Mets,"{""player"":""Francisco Alvarez"",""player_key"":""francisco alvarez"",""team"":""New York Mets"",""team_key"":""new york mets"",""game"":""Detroit Tigers @ New York Mets"",""game_key"":""detroit tigers @ new york mets"",""market"":""HR"",""line"":""0.5"",""odds"":""1100"",""book"":""FanDuel"",""consensus_odds"":""1000"",""trusted_books_count"":""3"",""trusted_books"":""FanDuel:+1100 | DraftKings:+1000 | Caesars:+950"",""raw_books_seen"":""FanDuel:+1100 | DraftKings:+1000 | Caesars:+950 | BetMGM:+575 | FanDuel:+1100"",""removed_outliers"":""2"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Detroit Tigers,probable,9,37.7,5.73,1.73,5.70,7.91,6.57,10.51,6.93,1.19,83.89,ATTACK,83.89,MATCH,Citi Field,Citi Field,New York Mets,43.00,43.00,43.00,NEUTRAL,Slight suppressor,MATCH,,0.00,NO_MATCH,detroit tigers vs new york mets,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,44.74,RESPECT,46.16,RESPECT,42.77,NORMAL,129,9.7,6,2,1,1,0,Drew Anderson 39 pitches 1 app,3.93,1.32,0.85,8.68,Opponent bullpen RESPECT | Quality RESPECT | Fatigue NORMAL,85.38,0.00,55.00,83.89,43.00,50.00,50.00,52.00,28.10,LONGSHOT
71,2026-05-13,2026,Nick Fortes,,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,822815,2026-05-13T23:07:00Z,Scheduled,Rogers Centre,away,0,Patrick Corbin,Dylan Cease,Dylan Cease,656302,R,Dylan Cease,656302,Griffin Jax,643377,900,BetMGM,10.00,27.81,missing,,,,,,,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,"{""player"":""Nick Fortes"",""player_key"":""nick fortes"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Tampa Bay Rays @ Toronto Blue Jays"",""game_key"":""tampa bay rays @ toronto blue jays"",""market"":""HR"",""line"":""0.5"",""odds"":""900"",""book"":""BetMGM"",""consensus_odds"":""820"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+900 | DraftKings:+820 | FanDuel:+820 | Caesars:+750"",""raw_books_seen"":""DraftKings:+3500 | Caesars:+2600 | FanDuel:+2500 | BetMGM:+900 | DraftKings:+820 | FanDuel:+820 | BetMGM:+800 | Caesars:+750 | DraftKings:+3500"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Toronto Blue Jays,probable,7,34.3,3.93,1.40,4.97,6.97,4.20,5.77,2.62,0.79,45.65,NEUTRAL,45.65,MATCH,Rogers Centre,Rogers Centre,Toronto Blue Jays,62.00,62.00,62.00,BOOST,Good HR park,MATCH,,0.00,NO_MATCH,tampa bay rays vs toronto blue jays,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,58.06,NEUTRAL,48.88,NEUTRAL,70.74,TIRED,184,12.0,7,2,2,2,0,Tommy Nance 40 pitches 2 app | Eric Lauer 80 pitches 1 app,4.19,1.30,1.03,9.06,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue TIRED,100.00,0.00,55.00,45.65,62.00,50.00,50.00,52.00,27.81,LONGSHOT
72,2026-05-13,2026,Yandy Díaz,,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,822815,2026-05-13T23:07:00Z,Scheduled,Rogers Centre,away,0,Patrick Corbin,Dylan Cease,Dylan Cease,656302,R,Dylan Cease,656302,Griffin Jax,643377,710,FanDuel,12.35,27.81,missing,,,,,,,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,"{""player"":""Yandy Díaz"",""player_key"":""yandy diaz"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Tampa Bay Rays @ Toronto Blue Jays"",""game_key"":""tampa bay rays @ toronto blue jays"",""market"":""HR"",""line"":""0.5"",""odds"":""710"",""book"":""FanDuel"",""consensus_odds"":""633"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+710 | DraftKings:+690 | Caesars:+575 | BetMGM:+525"",""raw_books_seen"":""FanDuel:+2700 | DraftKings:+2200 | FanDuel:+710 | DraftKings:+690 | Caesars:+575 | Caesars:+575 | BetMGM:+525 | BetMGM:+400 | FanDuel:+2700"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Toronto Blue Jays,probable,7,34.3,3.93,1.40,4.97,6.97,4.20,5.77,2.62,0.79,45.65,NEUTRAL,45.65,MATCH,Rogers Centre,Rogers Centre,Toronto Blue Jays,62.00,62.00,62.00,BOOST,Good HR park,MATCH,,0.00,NO_MATCH,tampa bay rays vs toronto blue jays,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,58.06,NEUTRAL,48.88,NEUTRAL,70.74,TIRED,184,12.0,7,2,2,2,0,Tommy Nance 40 pitches 2 app | Eric Lauer 80 pitches 1 app,4.19,1.30,1.03,9.06,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue TIRED,100.00,0.00,55.00,45.65,62.00,50.00,50.00,52.00,27.81,LONGSHOT
73,2026-05-13,2026,Alex Bregman,,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,824928,2026-05-13T23:15:00Z,Scheduled,Truist Park,away,0,Grant Holmes,JR Ritchie,JR Ritchie,702275,R,JR Ritchie,702275,Shota Imanaga,684007,1100,FanDuel,8.33,27.68,missing,,,,,,,Chicago Cubs,Chicago Cubs @ Atlanta Braves,"{""player"":""Alex Bregman"",""player_key"":""alex bregman"",""team"":""Chicago Cubs"",""team_key"":""chicago cubs"",""game"":""Chicago Cubs @ Atlanta Braves"",""game_key"":""chicago cubs @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""1100"",""book"":""FanDuel"",""consensus_odds"":""950"",""trusted_books_count"":""3"",""trusted_books"":""FanDuel:+1100 | DraftKings:+950 | Caesars:+850"",""raw_books_seen"":""FanDuel:+1100 | DraftKings:+950 | Caesars:+850 | BetMGM:+600 | FanDuel:+1100"",""removed_outliers"":""2"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Atlanta Braves,probable,8,41.3,4.35,1.31,5.39,7.68,6.00,7.40,4.57,1.52,71.16,LIVE,71.16,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH,,0.00,NO_MATCH,atlanta braves vs chicago cubs,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,31.70,AVOID,36.72,RESPECT,24.77,FRESH,80,5.3,4,2,2,1,0,,3.14,1.16,1.02,8.90,Opponent bullpen AVOID | Quality RESPECT | Fatigue FRESH,85.38,0.00,55.00,71.16,58.00,50.00,50.00,52.00,27.68,LONGSHOT
74,2026-05-13,2026,Seiya Suzuki,,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,824928,2026-05-13T23:15:00Z,Scheduled,Truist Park,away,0,Grant Holmes,JR Ritchie,JR Ritchie,702275,R,JR Ritchie,702275,Shota Imanaga,684007,1100,DraftKings,8.33,27.68,missing,,,,,,,Chicago Cubs,Chicago Cubs @ Atlanta Braves,"{""player"":""Seiya Suzuki"",""player_key"":""seiya suzuki"",""team"":""Chicago Cubs"",""team_key"":""chicago cubs"",""game"":""Chicago Cubs @ Atlanta Braves"",""game_key"":""chicago cubs @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""1100"",""book"":""DraftKings"",""consensus_odds"":""1000"",""trusted_books_count"":""3"",""trusted_books"":""DraftKings:+1100 | FanDuel:+1000 | Caesars:+950"",""raw_books_seen"":""DraftKings:+1100 | FanDuel:+1000 | Caesars:+950 | BetMGM:+475"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Atlanta Braves,probable,8,41.3,4.35,1.31,5.39,7.68,6.00,7.40,4.57,1.52,71.16,LIVE,71.16,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH,,0.00,NO_MATCH,atlanta braves vs chicago cubs,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,31.70,AVOID,36.72,RESPECT,24.77,FRESH,80,5.3,4,2,2,1,0,,3.14,1.16,1.02,8.90,Opponent bullpen AVOID | Quality RESPECT | Fatigue FRESH,85.38,0.00,55.00,71.16,58.00,50.00,50.00,52.00,27.68,LONGSHOT
75,2026-05-13,2026,Austin Riley,,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,824928,2026-05-13T23:15:00Z,Scheduled,Truist Park,home,1,Colin Rea,Shota Imanaga,Shota Imanaga,684007,L,Shota Imanaga,684007,JR Ritchie,702275,1000,DraftKings,9.09,27.67,missing,,,,,,,Atlanta Braves,Chicago Cubs @ Atlanta Braves,"{""player"":""Austin Riley"",""player_key"":""austin riley"",""team"":""Atlanta Braves"",""team_key"":""atlanta braves"",""game"":""Chicago Cubs @ Atlanta Braves"",""game_key"":""chicago cubs @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""1000"",""book"":""DraftKings"",""consensus_odds"":""950"",""trusted_books_count"":""3"",""trusted_books"":""DraftKings:+1000 | FanDuel:+950 | Caesars:+750"",""raw_books_seen"":""DraftKings:+1000 | FanDuel:+950 | Caesars:+750 | BetMGM:+500 | DraftKings:+1000"",""removed_outliers"":""2"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Chicago Cubs,probable,6,42.3,4.46,1.42,4.73,7.68,4.20,7.65,2.76,1.28,55.52,NEUTRAL,55.52,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH,,0.00,NO_MATCH,atlanta braves vs chicago cubs,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,33.51,AVOID,49.08,NEUTRAL,12.00,FRESH,48,3.3,4,0,0,0,0,,3.88,1.20,1.26,8.22,Opponent bullpen AVOID | Quality NEUTRAL | Fatigue FRESH,94.88,0.00,55.00,55.52,58.00,50.00,50.00,52.00,27.67,LONGSHOT
76,2026-05-13,2026,Kody Clemens,,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,home,1,Eury Pérez,Max Meyer,Max Meyer,676974,R,Max Meyer,676974,Simeon Woods Richardson,680573,1000,DraftKings,9.09,27.67,missing,,,,,,,Minnesota Twins,Miami Marlins @ Minnesota Twins,"{""player"":""Kody Clemens"",""player_key"":""kody clemens"",""team"":""Minnesota Twins"",""team_key"":""minnesota twins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""1000"",""book"":""DraftKings"",""consensus_odds"":""1000"",""trusted_books_count"":""3"",""trusted_books"":""DraftKings:+1000 | FanDuel:+1000 | Caesars:+950"",""raw_books_seen"":""DraftKings:+1000 | FanDuel:+1000 | Caesars:+950 | BetMGM:+500 | DraftKings:+1000"",""removed_outliers"":""2"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Miami Marlins,probable,9,46.0,4.50,1.35,4.64,8.63,4.30,10.17,4.70,1.37,60.59,LIVE,60.59,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH,,0.00,NO_MATCH,miami marlins vs minnesota twins,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,31.20,AVOID,45.10,RESPECT,12.00,FRESH,44,3.0,3,1,1,0,0,,4.07,1.26,0.83,8.49,Opponent bullpen AVOID | Quality RESPECT | Fatigue FRESH,94.88,0.00,55.00,60.59,50.00,50.00,50.00,52.00,27.67,LONGSHOT
77,2026-05-13,2026,Cesar Prieto,,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,825010,2026-05-14T01:40:00Z,Scheduled,Sutter Health Park,away,0,Jeffrey Springs,J.T. Ginn,J.T. Ginn,669372,R,J.T. Ginn,669372,Matthew Liberatore,669461,920,FanDuel,9.80,27.31,missing,,,,,,,St. Louis Cardinals,Milwaukee Brewers @ St. Louis Cardinals,"{""player"":""Cesar Prieto"",""player_key"":""cesar prieto"",""team"":""St Louis Cardinals"",""team_key"":""st louis cardinals"",""game"":""Milwaukee Brewers @ St. Louis Cardinals"",""game_key"":""milwaukee brewers @ st louis cardinals"",""market"":""HR"",""line"":""0.5"",""odds"":""920"",""book"":""FanDuel"",""consensus_odds"":""860"",""trusted_books_count"":""3"",""trusted_books"":""FanDuel:+920 | DraftKings:+860 | Caesars:+850"",""raw_books_seen"":""FanDuel:+920 | DraftKings:+860 | Caesars:+850"",""removed_outliers"":""0"",""odds_quality"":""NORMAL_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Athletics,probable,8,44.0,3.89,1.14,4.26,8.28,5.02,7.98,2.45,1.43,46.28,NEUTRAL,46.28,MATCH,Sutter Health Park,Sutter Health Park,Athletics,55.00,55.00,55.00,NEUTRAL,Neutral,MATCH,,0.00,NO_MATCH,athletics vs st louis cardinals,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,42.00,RESPECT,63.73,NEUTRAL,12.00,FRESH,35,2.7,2,1,0,0,0,,4.42,1.44,1.24,8.10,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,46.28,55.00,50.00,50.00,52.00,27.31,LONGSHOT
78,2026-05-13,2026,José Fermín,,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,825010,2026-05-14T01:40:00Z,Scheduled,Sutter Health Park,away,0,Jeffrey Springs,J.T. Ginn,J.T. Ginn,669372,R,J.T. Ginn,669372,Matthew Liberatore,669461,830,DraftKings,10.75,27.31,missing,,,,,,,St. Louis Cardinals,St. Louis Cardinals @ Athletics,"{""player"":""José Fermín"",""player_key"":""jose fermin"",""team"":""St Louis Cardinals"",""team_key"":""st louis cardinals"",""game"":""St. Louis Cardinals @ Athletics"",""game_key"":""st louis cardinals @ athletics"",""market"":""HR"",""line"":""0.5"",""odds"":""830"",""book"":""DraftKings"",""consensus_odds"":""760"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+830 | FanDuel:+820 | Caesars:+700 | BetMGM:+650"",""raw_books_seen"":""DraftKings:+830 | FanDuel:+820 | Caesars:+700 | BetMGM:+650"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Athletics,probable,8,44.0,3.89,1.14,4.26,8.28,5.02,7.98,2.45,1.43,46.28,NEUTRAL,46.28,MATCH,Sutter Health Park,Sutter Health Park,Athletics,55.00,55.00,55.00,NEUTRAL,Neutral,MATCH,,0.00,NO_MATCH,athletics vs st louis cardinals,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,42.00,RESPECT,63.73,NEUTRAL,12.00,FRESH,35,2.7,2,1,0,0,0,,4.42,1.44,1.24,8.10,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,46.28,55.00,50.00,50.00,52.00,27.31,LONGSHOT
79,2026-05-13,2026,Yohel Pozo,,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,825010,2026-05-14T01:40:00Z,Scheduled,Sutter Health Park,away,0,Jeffrey Springs,J.T. Ginn,J.T. Ginn,669372,R,J.T. Ginn,669372,Matthew Liberatore,669461,790,FanDuel,11.24,27.31,missing,,,,,,,St. Louis Cardinals,St. Louis Cardinals @ Athletics,"{""player"":""Yohel Pozo"",""player_key"":""yohel pozo"",""team"":""St Louis Cardinals"",""team_key"":""st louis cardinals"",""game"":""St. Louis Cardinals @ Athletics"",""game_key"":""st louis cardinals @ athletics"",""market"":""HR"",""line"":""0.5"",""odds"":""790"",""book"":""FanDuel"",""consensus_odds"":""688"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+790 | DraftKings:+750 | Caesars:+625 | BetMGM:+550"",""raw_books_seen"":""FanDuel:+790 | DraftKings:+750 | Caesars:+625 | BetMGM:+550 | FanDuel:+790"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Athletics,probable,8,44.0,3.89,1.14,4.26,8.28,5.02,7.98,2.45,1.43,46.28,NEUTRAL,46.28,MATCH,Sutter Health Park,Sutter Health Park,Athletics,55.00,55.00,55.00,NEUTRAL,Neutral,MATCH,,0.00,NO_MATCH,athletics vs st louis cardinals,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,42.00,RESPECT,63.73,NEUTRAL,12.00,FRESH,35,2.7,2,1,0,0,0,,4.42,1.44,1.24,8.10,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,46.28,55.00,50.00,50.00,52.00,27.31,LONGSHOT
80,2026-05-13,2026,Thomas Saggese,,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,825010,2026-05-14T01:40:00Z,Scheduled,Sutter Health Park,away,0,Jeffrey Springs,J.T. Ginn,J.T. Ginn,669372,R,J.T. Ginn,669372,Matthew Liberatore,669461,790,FanDuel,11.24,27.31,missing,,,,,,,St. Louis Cardinals,St. Louis Cardinals @ Athletics,"{""player"":""Thomas Saggese"",""player_key"":""thomas saggese"",""team"":""St Louis Cardinals"",""team_key"":""st louis cardinals"",""game"":""St. Louis Cardinals @ Athletics"",""game_key"":""st louis cardinals @ athletics"",""market"":""HR"",""line"":""0.5"",""odds"":""790"",""book"":""FanDuel"",""consensus_odds"":""733"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+790 | DraftKings:+740 | BetMGM:+725 | Caesars:+700"",""raw_books_seen"":""FanDuel:+790 | DraftKings:+740 | BetMGM:+725 | Caesars:+700 | FanDuel:+790"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Athletics,probable,8,44.0,3.89,1.14,4.26,8.28,5.02,7.98,2.45,1.43,46.28,NEUTRAL,46.28,MATCH,Sutter Health Park,Sutter Health Park,Athletics,55.00,55.00,55.00,NEUTRAL,Neutral,MATCH,,0.00,NO_MATCH,athletics vs st louis cardinals,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,42.00,RESPECT,63.73,NEUTRAL,12.00,FRESH,35,2.7,2,1,0,0,0,,4.42,1.44,1.24,8.10,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,46.28,55.00,50.00,50.00,52.00,27.31,LONGSHOT
81,2026-05-13,2026,Alec Burleson,,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,825010,2026-05-14T01:40:00Z,Scheduled,Sutter Health Park,away,0,Jeffrey Springs,J.T. Ginn,J.T. Ginn,669372,R,J.T. Ginn,669372,Matthew Liberatore,669461,630,DraftKings,13.70,27.31,missing,,,,,,,St. Louis Cardinals,St. Louis Cardinals @ Athletics,"{""player"":""Alec Burleson"",""player_key"":""alec burleson"",""team"":""St Louis Cardinals"",""team_key"":""st louis cardinals"",""game"":""St. Louis Cardinals @ Athletics"",""game_key"":""st louis cardinals @ athletics"",""market"":""HR"",""line"":""0.5"",""odds"":""630"",""book"":""DraftKings"",""consensus_odds"":""573"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+630 | Caesars:+575 | FanDuel:+570 | BetMGM:+425"",""raw_books_seen"":""BetMGM:+800 | DraftKings:+630 | Caesars:+575 | FanDuel:+570 | FanDuel:+520 | DraftKings:+489 | Caesars:+425 | BetMGM:+425 | BetMGM:+800"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Athletics,probable,8,44.0,3.89,1.14,4.26,8.28,5.02,7.98,2.45,1.43,46.28,NEUTRAL,46.28,MATCH,Sutter Health Park,Sutter Health Park,Athletics,55.00,55.00,55.00,NEUTRAL,Neutral,MATCH,,0.00,NO_MATCH,athletics vs st louis cardinals,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,42.00,RESPECT,63.73,NEUTRAL,12.00,FRESH,35,2.7,2,1,0,0,0,,4.42,1.44,1.24,8.10,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,46.28,55.00,50.00,50.00,52.00,27.31,LONGSHOT
82,2026-05-13,2026,Pedro Pagés,,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,825010,2026-05-14T01:40:00Z,Scheduled,Sutter Health Park,away,0,Jeffrey Springs,J.T. Ginn,J.T. Ginn,669372,R,J.T. Ginn,669372,Matthew Liberatore,669461,625,Caesars,13.79,27.31,missing,,,,,,,St. Louis Cardinals,St. Louis Cardinals @ Athletics,"{""player"":""Pedro Pagés"",""player_key"":""pedro pages"",""team"":""St Louis Cardinals"",""team_key"":""st louis cardinals"",""game"":""St. Louis Cardinals @ Athletics"",""game_key"":""st louis cardinals @ athletics"",""market"":""HR"",""line"":""0.5"",""odds"":""625"",""book"":""Caesars"",""consensus_odds"":""613"",""trusted_books_count"":""2"",""trusted_books"":""Caesars:+625 | BetMGM:+600"",""raw_books_seen"":""BetMGM:+1150 | Caesars:+625 | BetMGM:+600 | BetMGM:+1150"",""removed_outliers"":""2"",""odds_quality"":""USABLE_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Athletics,probable,8,44.0,3.89,1.14,4.26,8.28,5.02,7.98,2.45,1.43,46.28,NEUTRAL,46.28,MATCH,Sutter Health Park,Sutter Health Park,Athletics,55.00,55.00,55.00,NEUTRAL,Neutral,MATCH,,0.00,NO_MATCH,athletics vs st louis cardinals,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,42.00,RESPECT,63.73,NEUTRAL,12.00,FRESH,35,2.7,2,1,0,0,0,,4.42,1.44,1.24,8.10,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,46.28,55.00,50.00,50.00,52.00,27.31,LONGSHOT
