player,player_key,player_id,team,game,event_id,market,line,best_odds,best_book,book_count,market_average_odds,all_books,source
Nick Fortes,nick fortes,NICK_FORTES_1_MLB,TAMPA_BAY_RAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,-115,betmgm,12,-138,betmgm:-115 | espnbet:-130 | bovada:-130 | caesars:-134 | caesars:-136 | draftkings:-140 | espnbet:-140 | betmgm:-140 | draftkings:-145 | fanduel:-145 | bovada:-149 | fanduel:-150,SportsGameOdds
Nick Gonzales,nick gonzales,NICK_GONZALES_1_MLB,PITTSBURGH_PIRATES_MLB,Colorado Rockies @ Pittsburgh Pirates,fEtn3RRaeEUtiYmpKR2B,1+ Hit,0.5,-225,betmgm,6,-256,betmgm:-225 | caesars:-240 | espnbet:-240 | fanduel:-260 | bovada:-275 | draftkings:-294,SportsGameOdds
Nick Kurtz,nick kurtz,NICK_KURTZ_1_MLB,OAKLAND_ATHLETICS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,1+ Hit,0.5,-200,espnbet,6,-217,espnbet:-200 | betmgm:-200 | caesars:-209 | draftkings:-229 | fanduel:-230 | bovada:-235,SportsGameOdds
Nick Loftin,nick loftin,NICK_LOFTIN_1_MLB,KANSAS_CITY_ROYALS_MLB,Kansas City Royals @ Chicago White Sox,eh92iFxRJBgVtWE9h1zC,1+ Hit,0.5,-118,draftkings,6,-129,draftkings:-118 | caesars:-124 | bovada:-125 | fanduel:-125 | espnbet:-130 | betmgm:-150,SportsGameOdds
Nick Yorke,nick yorke,NICK_YORKE_1_MLB,PITTSBURGH_PIRATES_MLB,Colorado Rockies @ Pittsburgh Pirates,fEtn3RRaeEUtiYmpKR2B,1+ Hit,0.5,-180,espnbet,6,-189,espnbet:-180 | bovada:-189 | caesars:-190 | fanduel:-190 | betmgm:-190 | draftkings:-194,SportsGameOdds
Nico Hoerner,nico hoerner,NICO_HOERNER_1_MLB,CHICAGO_CUBS_MLB,Chicago Cubs @ Atlanta Braves,zmLQnKq5pQ9vXZHpJCFP,1+ Hit,0.5,-290,fanduel,6,-326,fanduel:-290 | bovada:-300 | draftkings:-307 | betmgm:-325 | caesars:-360 | espnbet:-375,SportsGameOdds
Nolan Arenado,nolan arenado,NOLAN_ARENADO_1_MLB,ARIZONA_DIAMONDBACKS_MLB,Arizona Diamondbacks @ Texas Rangers,vkPBrqakh6I8g5MslwZk,1+ Hit,0.5,-180,espnbet,6,-204,espnbet:-180 | caesars:-197 | betmgm:-200 | draftkings:-202 | fanduel:-220 | bovada:-225,SportsGameOdds
Nolan Gorman,nolan gorman,NOLAN_GORMAN_1_MLB,STLOUIS_CARDINALS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,1+ Hit,0.5,-128,bovada,12,-157,bovada:-128 | caesars:-130 | fanduel:-130 | espnbet:-130 | draftkings:-135 | betmgm:-135 | caesars:-179 | bovada:-179 | fanduel:-180 | espnbet:-180 | draftkings:-186 | betmgm:-190,SportsGameOdds
Oneil Cruz,oneil cruz,ONEIL_CRUZ_1_MLB,PITTSBURGH_PIRATES_MLB,Colorado Rockies @ Pittsburgh Pirates,fEtn3RRaeEUtiYmpKR2B,1+ Hit,0.5,-210,betmgm,6,-236,betmgm:-210 | espnbet:-220 | fanduel:-230 | caesars:-235 | bovada:-240 | draftkings:-281,SportsGameOdds
Otto Lopez,otto lopez,OTTO_LOPEZ_1_MLB,MIAMI_MARLINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-295,betmgm,6,-362,betmgm:-295 | fanduel:-360 | draftkings:-375 | bovada:-375 | espnbet:-375 | caesars:-390,SportsGameOdds
Owen Caissie,owen caissie,OWEN_CAISSIE_1_MLB,MIAMI_MARLINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-140,betmgm,6,-160,betmgm:-140 | espnbet:-150 | draftkings:-159 | caesars:-159 | fanduel:-175 | bovada:-176,SportsGameOdds
Ozzie Albies,ozzie albies,OZZIE_ALBIES_1_MLB,ATLANTA_BRAVES_MLB,Chicago Cubs @ Atlanta Braves,zmLQnKq5pQ9vXZHpJCFP,1+ Hit,0.5,-240,espnbet,6,-265,espnbet:-240 | caesars:-250 | fanduel:-270 | draftkings:-275 | betmgm:-275 | bovada:-280,SportsGameOdds
Pedro Pagés,pedro pagés,PEDRO_PAGES_1_MLB,STLOUIS_CARDINALS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,1+ Hit,0.5,-125,betmgm,9,-145,betmgm:-125 | caesars:-129 | espnbet:-130 | betmgm:-135 | espnbet:-140 | caesars:-154 | draftkings:-160 | bovada:-164 | fanduel:-165,SportsGameOdds
Pete Crow-Armstrong,pete crow-armstrong,PETE_CROWARMSTRONG_1_MLB,CHICAGO_CUBS_MLB,Chicago Cubs @ Atlanta Braves,zmLQnKq5pQ9vXZHpJCFP,1+ Hit,0.5,-170,draftkings,6,-179,draftkings:-170 | fanduel:-175 | bovada:-179 | espnbet:-180 | caesars:-182 | betmgm:-190,SportsGameOdds
Rafael Devers,rafael devers,RAFAEL_DEVERS_1_MLB,SAN_FRANCISCO_GIANTS_MLB,San Francisco Giants @ Los Angeles Dodgers,wPt49zIIwlxXYLw2I1u8,1+ Hit,0.5,-130,betmgm,6,-144,betmgm:-130 | draftkings:-136 | espnbet:-140 | caesars:-141 | bovada:-159 | fanduel:-160,SportsGameOdds
Ramón Laureano,ramón laureano,RAMON_LAUREANO_1_MLB,SAN_DIEGO_PADRES_MLB,San Diego Padres @ Milwaukee Brewers,yRSrl3zmDmY5LI1HQojR,1+ Hit,0.5,-110,betmgm,6,-126,betmgm:-110 | fanduel:-125 | bovada:-125 | caesars:-127 | espnbet:-130 | draftkings:-139,SportsGameOdds
Randy Arozarena,randy arozarena,RANDY_AROZARENA_1_MLB,SEATTLE_MARINERS_MLB,Seattle Mariners @ Houston Astros,GLtZ31RmCQ7wT445NXwl,1+ Hit,0.5,-160,betmgm,6,-176,betmgm:-160 | espnbet:-165 | bovada:-179 | caesars:-179 | fanduel:-180 | draftkings:-192,SportsGameOdds
Richie Palacios,richie palacios,RICHARD_PALACIOS_1_MLB,TAMPA_BAY_RAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,-135,betmgm,1,-135,betmgm:-135,SportsGameOdds
Riley Greene,riley greene,RILEY_GREENE_1_MLB,DETROIT_TIGERS_MLB,Detroit Tigers @ New York Mets,aGdkSVb1whCl56ULTR5l,1+ Hit,0.5,-180,draftkings,6,-196,draftkings:-180 | espnbet:-190 | caesars:-197 | fanduel:-200 | bovada:-200 | betmgm:-210,SportsGameOdds
Royce Lewis,royce lewis,ROYCE_LEWIS_1_MLB,MINNESOTA_TWINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-130,espnbet,6,-136,espnbet:-130 | fanduel:-135 | caesars:-136 | bovada:-136 | draftkings:-140 | betmgm:-140,SportsGameOdds
Ryan Jeffers,ryan jeffers,RYAN_JEFFERS_1_MLB,MINNESOTA_TWINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-190,fanduel,6,-195,fanduel:-190 | bovada:-190 | espnbet:-190 | betmgm:-190 | caesars:-200 | draftkings:-213,SportsGameOdds
Ryan O'Hearn,ryan o'hearn,RYAN_OHEARN_1_MLB,PITTSBURGH_PIRATES_MLB,Colorado Rockies @ Pittsburgh Pirates,fEtn3RRaeEUtiYmpKR2B,1+ Hit,0.5,-190,betmgm,6,-214,betmgm:-190 | espnbet:-200 | draftkings:-205 | caesars:-209 | fanduel:-240 | bovada:-240,SportsGameOdds
Ryan Vilade,ryan vilade,RYAN_VILADE_1_MLB,TAMPA_BAY_RAYS_MLB,Tampa Bay Rays @ Boston Red Sox,png5Jnyn8noqiLklagdD,1+ Hit,0.5,-110,bovada,6,-117,bovada:-110 | fanduel:-115 | caesars:-117 | draftkings:-117 | espnbet:-120 | betmgm:-125,SportsGameOdds
Sal Frelick,sal frelick,SAL_FRELICK_1_MLB,MILWAUKEE_BREWERS_MLB,San Diego Padres @ Milwaukee Brewers,yRSrl3zmDmY5LI1HQojR,1+ Hit,0.5,-135,fanduel,12,-161,fanduel:-135 | draftkings:-135 | bovada:-136 | caesars:-139 | espnbet:-140 | betmgm:-155 | fanduel:-175 | caesars:-179 | draftkings:-180 | espnbet:-180 | bovada:-182 | betmgm:-200,SportsGameOdds
Sal Stewart,sal stewart,SAL_STEWART_1_MLB,CINCINNATI_REDS_MLB,Washington Nationals @ Cincinnati Reds,9WCX5PHvY5z4Ssc6Rkjl,1+ Hit,0.5,-275,betmgm,6,-307,betmgm:-275 | fanduel:-290 | bovada:-300 | espnbet:-300 | caesars:-325 | draftkings:-352,SportsGameOdds
Salvador Perez,salvador perez,SALVADOR_PEREZ_1_MLB,KANSAS_CITY_ROYALS_MLB,Kansas City Royals @ Chicago White Sox,eh92iFxRJBgVtWE9h1zC,1+ Hit,0.5,-185,betmgm,6,-201,betmgm:-185 | espnbet:-190 | caesars:-200 | bovada:-210 | fanduel:-210 | draftkings:-214,SportsGameOdds
Seiya Suzuki,seiya suzuki,SEIYA_SUZUKI_1_MLB,CHICAGO_CUBS_MLB,Chicago Cubs @ Atlanta Braves,zmLQnKq5pQ9vXZHpJCFP,1+ Hit,0.5,-200,espnbet,6,-215,espnbet:-200 | draftkings:-203 | caesars:-218 | fanduel:-220 | bovada:-225 | betmgm:-225,SportsGameOdds
Shea Langeliers,shea langeliers,SHEA_LANGELIERS_1_MLB,OAKLAND_ATHLETICS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,1+ Hit,0.5,-325,betmgm,6,-349,betmgm:-325 | fanduel:-350 | espnbet:-350 | draftkings:-351 | bovada:-360 | caesars:-360,SportsGameOdds
Spencer Steer,spencer steer,SPENCER_STEER_1_MLB,CINCINNATI_REDS_MLB,Washington Nationals @ Cincinnati Reds,9WCX5PHvY5z4Ssc6Rkjl,1+ Hit,0.5,-185,betmgm,6,-223,betmgm:-185 | espnbet:-220 | caesars:-230 | fanduel:-230 | bovada:-235 | draftkings:-237,SportsGameOdds
Spencer Torkelson,spencer torkelson,SPENCER_TORKELSON_1_MLB,DETROIT_TIGERS_MLB,Detroit Tigers @ New York Mets,aGdkSVb1whCl56ULTR5l,1+ Hit,0.5,-110,betmgm,6,-129,betmgm:-110 | fanduel:-130 | bovada:-130 | espnbet:-130 | caesars:-136 | draftkings:-137,SportsGameOdds
Sung-Mun Song,sung-mun song,SUNGMUN_SONG_1_MLB,SAN_DIEGO_PADRES_MLB,San Diego Padres @ Milwaukee Brewers,yRSrl3zmDmY5LI1HQojR,1+ Hit,0.5,115,fanduel,6,112,fanduel:+115 | bovada:+115 | betmgm:+115 | caesars:+111 | espnbet:+110 | draftkings:+107,SportsGameOdds
Taylor Walls,taylor walls,TAYLOR_WALLS_1_MLB,TAMPA_BAY_RAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,105,betmgm,12,-38,betmgm:+105 | caesars:+101 | espnbet:+100 | espnbet:+100 | draftkings:-101 | betmgm:-105 | caesars:-107 | bovada:-108 | fanduel:-110 | bovada:-110 | fanduel:-110 | draftkings:-110,SportsGameOdds
Teoscar Hernández,teoscar hernández,TEOSCAR_HERNANDEZ_1_MLB,LOS_ANGELES_DODGERS_MLB,San Francisco Giants @ Los Angeles Dodgers,wPt49zIIwlxXYLw2I1u8,1+ Hit,0.5,-165,draftkings,6,-181,draftkings:-165 | espnbet:-165 | caesars:-176 | fanduel:-190 | bovada:-190 | betmgm:-200,SportsGameOdds
Thomas Saggese,thomas saggese,THOMAS_SAGGESE_1_MLB,STLOUIS_CARDINALS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,1+ Hit,0.5,-140,betmgm,1,-140,betmgm:-140,SportsGameOdds
TJ Friedl,tj friedl,TJ_FRIEDL_1_MLB,CINCINNATI_REDS_MLB,Washington Nationals @ Cincinnati Reds,9WCX5PHvY5z4Ssc6Rkjl,1+ Hit,0.5,-130,betmgm,6,-152,betmgm:-130 | caesars:-148 | draftkings:-157 | bovada:-159 | fanduel:-160 | espnbet:-160,SportsGameOdds
Trea Turner,trea turner,TREA_TURNER_1_MLB,PHILADELPHIA_PHILLIES_MLB,Philadelphia Phillies @ Boston Red Sox,23gDRALOAsa1y24kImKW,1+ Hit,0.5,-290,fanduel,6,-307,fanduel:-290 | draftkings:-291 | bovada:-300 | espnbet:-300 | betmgm:-325 | caesars:-335,SportsGameOdds
Trevor Larnach,trevor larnach,TREVOR_LARNACH_1_MLB,MINNESOTA_TWINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-180,espnbet,6,-189,espnbet:-180 | draftkings:-182 | caesars:-190 | betmgm:-190 | fanduel:-195 | bovada:-197,SportsGameOdds
Trevor Story,trevor story,TREVOR_STORY_1_MLB,BOSTON_RED_SOX_MLB,Philadelphia Phillies @ Boston Red Sox,23gDRALOAsa1y24kImKW,1+ Hit,0.5,-210,fanduel,12,-224,fanduel:-210 | betmgm:-210 | bovada:-217 | draftkings:-218 | espnbet:-220 | betmgm:-220 | caesars:-225 | fanduel:-230 | caesars:-230 | bovada:-235 | draftkings:-238 | espnbet:-240,SportsGameOdds
Tristan Peters,tristan peters,TRISTAN_PETERS_1_MLB,CHICAGO_WHITE_SOX_MLB,Kansas City Royals @ Chicago White Sox,eh92iFxRJBgVtWE9h1zC,1+ Hit,0.5,-110,betmgm,6,-117,betmgm:-110 | caesars:-115 | bovada:-115 | fanduel:-115 | espnbet:-120 | draftkings:-126,SportsGameOdds
Troy Johnston,troy johnston,TROY_JOHNSTON_1_MLB,COLORADO_ROCKIES_MLB,Colorado Rockies @ Pittsburgh Pirates,fEtn3RRaeEUtiYmpKR2B,1+ Hit,0.5,-160,betmgm,6,-195,betmgm:-160 | espnbet:-180 | caesars:-193 | draftkings:-195 | fanduel:-220 | bovada:-225,SportsGameOdds
Tyler Freeman,tyler freeman,TYLER_FREEMAN_1_MLB,COLORADO_ROCKIES_MLB,Colorado Rockies @ Pittsburgh Pirates,fEtn3RRaeEUtiYmpKR2B,1+ Hit,0.5,-190,betmgm,6,-212,betmgm:-190 | draftkings:-195 | espnbet:-200 | caesars:-205 | bovada:-240 | fanduel:-240,SportsGameOdds
Tyler Heineman,tyler heineman,TYLER_HEINEMAN_1_MLB,TORONTO_BLUE_JAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,100,espnbet,6,-82,espnbet:+100 | betmgm:-110 | caesars:-120 | fanduel:-120 | bovada:-121 | draftkings:-122,SportsGameOdds
Tyler Soderstrom,tyler soderstrom,TYLER_SODERSTROM_1_MLB,OAKLAND_ATHLETICS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,1+ Hit,0.5,-185,betmgm,6,-221,betmgm:-185 | espnbet:-200 | caesars:-225 | draftkings:-235 | fanduel:-240 | bovada:-240,SportsGameOdds
Tyler Stephenson,tyler stephenson,TYLER_STEPHENSON_1_MLB,CINCINNATI_REDS_MLB,Washington Nationals @ Cincinnati Reds,9WCX5PHvY5z4Ssc6Rkjl,1+ Hit,0.5,-160,espnbet,6,-173,espnbet:-160 | betmgm:-165 | caesars:-173 | bovada:-179 | fanduel:-180 | draftkings:-184,SportsGameOdds
Tyrone Taylor,tyrone taylor,TYRONE_TAYLOR_1_MLB,NEW_YORK_METS_MLB,Detroit Tigers @ New York Mets,aGdkSVb1whCl56ULTR5l,1+ Hit,0.5,-150,betmgm,6,-184,betmgm:-150 | espnbet:-165 | caesars:-170 | draftkings:-175 | fanduel:-220 | bovada:-225,SportsGameOdds
Victor Scott II,victor scott ii,VICTOR_SCOTT_II_1_MLB,STLOUIS_CARDINALS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,1+ Hit,0.5,105,betmgm,11,-110,betmgm:+105 | caesars:-105 | bovada:-106 | fanduel:-110 | espnbet:-110 | draftkings:-114 | draftkings:-143 | espnbet:-150 | caesars:-152 | bovada:-164 | fanduel:-165,SportsGameOdds
Vidal Bruján,vidal bruján,VIDAL_BRUJAN_1_MLB,NEW_YORK_METS_MLB,Detroit Tigers @ New York Mets,aGdkSVb1whCl56ULTR5l,1+ Hit,0.5,-130,caesars,5,-135,caesars:-130 | espnbet:-130 | bovada:-132 | betmgm:-135 | draftkings:-148,SportsGameOdds
Vinnie Pasquantino,vinnie pasquantino,VINNIE_PASQUANTINO_1_MLB,KANSAS_CITY_ROYALS_MLB,Kansas City Royals @ Chicago White Sox,eh92iFxRJBgVtWE9h1zC,1+ Hit,0.5,-140,espnbet,6,-165,espnbet:-140 | betmgm:-150 | caesars:-173 | fanduel:-175 | draftkings:-176 | bovada:-179,SportsGameOdds
Vladimir Guerrero Jr.,vladimir guerrero,VLADIMIR_GUERRERO_JR_1_MLB,TORONTO_BLUE_JAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,-226,draftkings,6,-248,draftkings:-226 | espnbet:-240 | caesars:-245 | betmgm:-250 | fanduel:-260 | bovada:-265,SportsGameOdds
Wenceel Pérez,wenceel pérez,WENCEEL_PEREZ_1_MLB,DETROIT_TIGERS_MLB,Detroit Tigers @ New York Mets,aGdkSVb1whCl56ULTR5l,1+ Hit,0.5,-165,espnbet,6,-177,espnbet:-165 | betmgm:-165 | caesars:-176 | bovada:-179 | fanduel:-180 | draftkings:-195,SportsGameOdds
Will Benson,will benson,WILL_BENSON_1_MLB,CINCINNATI_REDS_MLB,Washington Nationals @ Cincinnati Reds,9WCX5PHvY5z4Ssc6Rkjl,1+ Hit,0.5,-180,espnbet,6,-190,espnbet:-180 | draftkings:-188 | betmgm:-190 | caesars:-190 | fanduel:-195 | bovada:-197,SportsGameOdds
Will Smith,will smith,WILL_SMITH_2_MLB,LOS_ANGELES_DODGERS_MLB,San Francisco Giants @ Los Angeles Dodgers,wPt49zIIwlxXYLw2I1u8,1+ Hit,0.5,-175,betmgm,6,-191,betmgm:-175 | espnbet:-180 | caesars:-193 | fanduel:-195 | bovada:-197 | draftkings:-206,SportsGameOdds
Willi Castro,willi castro,WILLI_CASTRO_1_MLB,COLORADO_ROCKIES_MLB,Colorado Rockies @ Pittsburgh Pirates,fEtn3RRaeEUtiYmpKR2B,1+ Hit,0.5,-155,betmgm,6,-160,betmgm:-155 | caesars:-157 | draftkings:-159 | espnbet:-160 | bovada:-161 | fanduel:-170,SportsGameOdds
William Contreras,william contreras,WILLIAM_CONTRERAS_1_MLB,MILWAUKEE_BREWERS_MLB,San Diego Padres @ Milwaukee Brewers,yRSrl3zmDmY5LI1HQojR,1+ Hit,0.5,-170,draftkings,12,-211,draftkings:-170 | fanduel:-175 | bovada:-179 | caesars:-179 | espnbet:-180 | betmgm:-190 | betmgm:-235 | fanduel:-240 | espnbet:-240 | caesars:-245 | bovada:-250 | draftkings:-255,SportsGameOdds
Willson Contreras,willson contreras,WILLSON_CONTRERAS_1_MLB,BOSTON_RED_SOX_MLB,Philadelphia Phillies @ Boston Red Sox,23gDRALOAsa1y24kImKW,1+ Hit,0.5,-190,fanduel,12,-226,fanduel:-190 | bovada:-190 | espnbet:-200 | draftkings:-204 | caesars:-218 | betmgm:-235 | betmgm:-235 | bovada:-238 | fanduel:-240 | caesars:-245 | draftkings:-253 | espnbet:-260,SportsGameOdds
Willy Adames,willy adames,WILLY_ADAMES_1_MLB,SAN_FRANCISCO_GIANTS_MLB,San Francisco Giants @ Los Angeles Dodgers,wPt49zIIwlxXYLw2I1u8,1+ Hit,0.5,-110,betmgm,6,-126,betmgm:-110 | espnbet:-120 | draftkings:-123 | caesars:-124 | fanduel:-140 | bovada:-141,SportsGameOdds
Wilyer Abreu,wilyer abreu,WILYER_ABREU_1_MLB,BOSTON_RED_SOX_MLB,Philadelphia Phillies @ Boston Red Sox,23gDRALOAsa1y24kImKW,1+ Hit,0.5,-210,fanduel,12,-243,fanduel:-210 | bovada:-233 | betmgm:-235 | fanduel:-240 | bovada:-240 | espnbet:-240 | caesars:-240 | espnbet:-240 | caesars:-250 | draftkings:-251 | draftkings:-261 | betmgm:-275,SportsGameOdds
Xander Bogaerts,xander bogaerts,XANDER_BOGAERTS_1_MLB,SAN_DIEGO_PADRES_MLB,San Diego Padres @ Milwaukee Brewers,yRSrl3zmDmY5LI1HQojR,1+ Hit,0.5,-155,betmgm,6,-162,betmgm:-155 | espnbet:-160 | caesars:-164 | bovada:-164 | draftkings:-165 | fanduel:-165,SportsGameOdds
Xavier Edwards,xavier edwards,XAVIER_EDWARDS_1_MLB,MIAMI_MARLINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-294,draftkings,6,-323,draftkings:-294 | fanduel:-310 | bovada:-315 | betmgm:-325 | caesars:-345 | espnbet:-350,SportsGameOdds
Yandy Díaz,yandy díaz,YANDY_DIAZ_1_MLB,TAMPA_BAY_RAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,-210,betmgm,11,-247,betmgm:-210 | espnbet:-220 | caesars:-235 | bovada:-235 | fanduel:-240 | draftkings:-241 | caesars:-250 | espnbet:-260 | draftkings:-267 | betmgm:-275 | fanduel:-280,SportsGameOdds
Yordan Alvarez,yordan alvarez,YORDAN_ALVAREZ_1_MLB,HOUSTON_ASTROS_MLB,Seattle Mariners @ Houston Astros,GLtZ31RmCQ7wT445NXwl,1+ Hit,0.5,-250,espnbet,6,-278,espnbet:-250 | caesars:-260 | draftkings:-265 | betmgm:-295 | fanduel:-300 | bovada:-300,SportsGameOdds
Zach Cole,zach cole,ZACH_COLE_1_MLB,HOUSTON_ASTROS_MLB,Seattle Mariners @ Houston Astros,GLtZ31RmCQ7wT445NXwl,1+ Hit,0.5,-135,fanduel,6,-140,fanduel:-135 | bovada:-136 | caesars:-136 | espnbet:-140 | draftkings:-142 | betmgm:-150,SportsGameOdds
Zach McKinstry,zach mckinstry,ZACH_MCKINSTRY_1_MLB,DETROIT_TIGERS_MLB,Detroit Tigers @ New York Mets,aGdkSVb1whCl56ULTR5l,1+ Hit,0.5,-130,fanduel,6,-133,fanduel:-130 | bovada:-130 | espnbet:-130 | caesars:-134 | betmgm:-135 | draftkings:-141,SportsGameOdds
Zack Gelof,zack gelof,ZACK_GELOF_1_MLB,OAKLAND_ATHLETICS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,1+ Hit,0.5,-190,espnbet,6,-204,espnbet:-190 | betmgm:-190 | caesars:-209 | fanduel:-210 | bovada:-210 | draftkings:-213,SportsGameOdds
Adolis García,adolis garcía,JOSE_BARRERO_1_MLB,PHILADELPHIA_PHILLIES_MLB,Philadelphia Phillies @ Boston Red Sox,23gDRALOAsa1y24kImKW,2+ TB,1.5,140,bovada,6,130,bovada:+140 | espnbet:+140 | draftkings:+137 | caesars:+129 | betmgm:+120 | fanduel:+115,SportsGameOdds
Adrian Del Castillo,adrian del castillo,ADRIAN_DEL_CASTILLO_1_MLB,ARIZONA_DIAMONDBACKS_MLB,Arizona Diamondbacks @ Texas Rangers,vkPBrqakh6I8g5MslwZk,2+ TB,1.5,199,draftkings,6,-34,draftkings:+199 | fanduel:+175 | espnbet:-140 | bovada:-143 | caesars:-143 | betmgm:-150,SportsGameOdds
Alec Bohm,alec bohm,ALEC_BOHM_1_MLB,PHILADELPHIA_PHILLIES_MLB,Philadelphia Phillies @ Boston Red Sox,23gDRALOAsa1y24kImKW,2+ TB,1.5,150,espnbet,6,135,espnbet:+150 | draftkings:+135 | bovada:+135 | betmgm:+135 | caesars:+134 | fanduel:+120,SportsGameOdds
Alec Burleson,alec burleson,ALEC_BURLESON_1_MLB,STLOUIS_CARDINALS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,2+ TB,1.5,145,betmgm,12,65,betmgm:+145 | bovada:+136 | caesars:+131 | espnbet:+130 | draftkings:+128 | fanduel:+115 | bovada:+100 | betmgm:+100 | espnbet:+100 | draftkings:-102 | caesars:-103 | fanduel:-105,SportsGameOdds
Alejandro Osuna,alejandro osuna,ALEJANDRO_OSUNA_1_MLB,TEXAS_RANGERS_MLB,Arizona Diamondbacks @ Texas Rangers,vkPBrqakh6I8g5MslwZk,2+ TB,1.5,220,fanduel,6,-18,fanduel:+220 | draftkings:+216 | betmgm:-130 | bovada:-132 | espnbet:-140 | caesars:-141,SportsGameOdds
Alex Bregman,alex bregman,ALEX_BREGMAN_1_MLB,CHICAGO_CUBS_MLB,Chicago Cubs @ Atlanta Braves,zmLQnKq5pQ9vXZHpJCFP,2+ TB,1.5,131,draftkings,6,127,draftkings:+131 | bovada:+130 | espnbet:+130 | betmgm:+130 | caesars:+126 | fanduel:+115,SportsGameOdds
Andrés Giménez,andrés giménez,ANDRES_GIMENEZ_1_MLB,TORONTO_BLUE_JAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,2+ TB,1.5,184,draftkings,6,-42,draftkings:+184 | fanduel:+170 | espnbet:-140 | betmgm:-150 | bovada:-156 | caesars:-159,SportsGameOdds
Andrew Benintendi,andrew benintendi,ANDREW_BENINTENDI_1_MLB,CHICAGO_WHITE_SOX_MLB,Kansas City Royals @ Chicago White Sox,eh92iFxRJBgVtWE9h1zC,2+ TB,1.5,195,draftkings,6,-47,draftkings:+195 | fanduel:+145 | espnbet:-150 | betmgm:-155 | bovada:-156 | caesars:-162,SportsGameOdds
Andrew Vaughn,andrew vaughn,ANDREW_VAUGHN_1_MLB,MILWAUKEE_BREWERS_MLB,San Diego Padres @ Milwaukee Brewers,yRSrl3zmDmY5LI1HQojR,2+ TB,1.5,152,bovada,8,62,bovada:+152 | fanduel:+150 | draftkings:+147 | caesars:+141 | fanduel:+140 | espnbet:+140 | bovada:-175 | betmgm:-200,SportsGameOdds
Andy Pages,andy pages,ANDY_PAGES_1_MLB,LOS_ANGELES_DODGERS_MLB,San Francisco Giants @ Los Angeles Dodgers,wPt49zIIwlxXYLw2I1u8,2+ TB,1.5,130,espnbet,6,74,espnbet:+130 | caesars:+126 | draftkings:+125 | bovada:+125 | fanduel:+110 | betmgm:-175,SportsGameOdds
Austin Martin,austin martin,AUSTIN_MARTIN_1_MLB,MINNESOTA_TWINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,2+ TB,1.5,195,fanduel,4,15,fanduel:+195 | draftkings:+191 | bovada:-161 | betmgm:-165,SportsGameOdds
Austin Riley,austin riley,AUSTIN_RILEY_1_MLB,ATLANTA_BRAVES_MLB,Chicago Cubs @ Atlanta Braves,zmLQnKq5pQ9vXZHpJCFP,2+ TB,1.5,138,betmgm,6,129,betmgm:+138 | caesars:+132 | draftkings:+130 | bovada:+130 | espnbet:+130 | fanduel:+115,SportsGameOdds
