player,player_key,player_id,team,game,event_id,market,line,best_odds,best_book,book_count,market_average_odds,all_books,source
Ian Happ,ian happ,IAN_HAPP_1_MLB,CHICAGO_CUBS_MLB,Chicago Cubs @ Atlanta Braves,zmLQnKq5pQ9vXZHpJCFP,1+ Hit,0.5,-165,espnbet,6,-177,espnbet:-165 | draftkings:-169 | betmgm:-175 | caesars:-176 | fanduel:-190 | bovada:-190,SportsGameOdds
Isaac Collins,isaac collins,ISAAC_COLLINS_1_MLB,KANSAS_CITY_ROYALS_MLB,Kansas City Royals @ Chicago White Sox,eh92iFxRJBgVtWE9h1zC,1+ Hit,0.5,-130,espnbet,6,-135,espnbet:-130 | betmgm:-130 | draftkings:-133 | caesars:-134 | fanduel:-140 | bovada:-141,SportsGameOdds
Isaac Paredes,isaac paredes,ISAAC_PAREDES_1_MLB,HOUSTON_ASTROS_MLB,Seattle Mariners @ Houston Astros,GLtZ31RmCQ7wT445NXwl,1+ Hit,0.5,-180,espnbet,6,-191,espnbet:-180 | betmgm:-185 | caesars:-193 | draftkings:-193 | fanduel:-195 | bovada:-200,SportsGameOdds
Ivan Herrera,ivan herrera,IVAN_HERRERA_1_MLB,STLOUIS_CARDINALS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,1+ Hit,0.5,-190,espnbet,12,-227,espnbet:-190 | betmgm:-190 | bovada:-204 | caesars:-209 | fanduel:-210 | draftkings:-224 | betmgm:-235 | espnbet:-240 | caesars:-245 | fanduel:-250 | bovada:-250 | draftkings:-275,SportsGameOdds
J.P. Crawford,jp crawford,JP_CRAWFORD_1_MLB,SEATTLE_MARINERS_MLB,Seattle Mariners @ Houston Astros,GLtZ31RmCQ7wT445NXwl,1+ Hit,0.5,-155,betmgm,6,-168,betmgm:-155 | espnbet:-160 | caesars:-164 | fanduel:-175 | bovada:-176 | draftkings:-178,SportsGameOdds
J.T. Realmuto,jt realmuto,JT_REALMUTO_1_MLB,PHILADELPHIA_PHILLIES_MLB,Philadelphia Phillies @ Boston Red Sox,23gDRALOAsa1y24kImKW,1+ Hit,0.5,-200,espnbet,6,-216,espnbet:-200 | draftkings:-214 | caesars:-218 | fanduel:-220 | betmgm:-220 | bovada:-225,SportsGameOdds
Jackson Chourio,jackson chourio,JACKSON_CHOURIO_1_MLB,MILWAUKEE_BREWERS_MLB,San Diego Padres @ Milwaukee Brewers,yRSrl3zmDmY5LI1HQojR,1+ Hit,0.5,-190,espnbet,11,-261,espnbet:-190 | caesars:-218 | fanduel:-220 | draftkings:-223 | bovada:-225 | betmgm:-225 | betmgm:-285 | espnbet:-300 | fanduel:-320 | caesars:-325 | draftkings:-341,SportsGameOdds
Jackson Merrill,jackson merrill,JACKSON_MERRILL_1_MLB,SAN_DIEGO_PADRES_MLB,San Diego Padres @ Milwaukee Brewers,yRSrl3zmDmY5LI1HQojR,1+ Hit,0.5,-145,draftkings,6,-151,draftkings:-145 | fanduel:-150 | bovada:-150 | espnbet:-150 | caesars:-154 | betmgm:-160,SportsGameOdds
Jacob Young,jacob young,JACOB_YOUNG_1_MLB,WASHINGTON_NATIONALS_MLB,Washington Nationals @ Cincinnati Reds,9WCX5PHvY5z4Ssc6Rkjl,1+ Hit,0.5,-179,draftkings,6,-187,draftkings:-179 | fanduel:-185 | caesars:-190 | bovada:-190 | espnbet:-190 | betmgm:-190,SportsGameOdds
Jake Bauers,jake bauers,JAKE_BAUERS_1_MLB,MILWAUKEE_BREWERS_MLB,San Diego Padres @ Milwaukee Brewers,yRSrl3zmDmY5LI1HQojR,1+ Hit,0.5,-120,betmgm,11,-143,betmgm:-120 | caesars:-124 | bovada:-125 | fanduel:-125 | draftkings:-129 | espnbet:-150 | betmgm:-150 | caesars:-157 | bovada:-159 | draftkings:-168 | fanduel:-170,SportsGameOdds
