updatedAt,team,opponent,game,venue,opposingPitcher,stackSize,players,batSides,avgHrScore,avgOps,avgSlg,totalSeasonHr,redAttackZones,pitcherCollapseProbability,bullpenCollapseScore,weatherBoost,parkBoost,correlationScore,leverageScore,leverageProfile,volatilityScore,volatilityMeter,hrChainReactionProbability,finalStackScore,stackGrade,correlatedHrLane,sprayDistribution,topAttackZones
2026-05-23T14:34:16.238Z,St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals at Cincinnati Reds,Great American Ball Park,Chris Paddack,3,Jordan Walker | Alec Burleson | Iván Herrera,R | L | R,49.67,0.856,0.486,26,4,97,89,9,0,67,65,SOLID LEVERAGE,99,NUCLEAR,84,77,ATTACK STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Jordan Walker: 7:72 | 8:64 | 13:61 | 18:59 | 12:58 || Alec Burleson: 7:79 | 8:78 | 9:78 | 13:75 | 14:75 || Iván Herrera: 7:84 | 8:76 | 13:73 | 18:71 | 12:70
2026-05-23T14:34:16.238Z,Atlanta Braves,Washington Nationals,Washington Nationals at Atlanta Braves,Truist Park,Jake Irvin,2,Matt Olson | Dominic Smith,L | L,51.5,0.896,0.544,19,5,89,86,10,0,74,67,SOLID LEVERAGE,88,CHAOTIC,82,77,ATTACK STACK,SAME SIDE POWER LANE,L SIDE CLUSTER,Matt Olson: 7:82 | 8:81 | 9:81 | 13:78 | 14:78 || Dominic Smith: 7:76 | 8:75 | 9:75 | 13:72 | 14:72
2026-05-23T14:34:16.238Z,Atlanta Braves,Washington Nationals,Washington Nationals at Atlanta Braves,Truist Park,Jake Irvin,3,Matt Olson | Dominic Smith | Chadwick Tromp,L | L | R,49,0.978,0.553,19,6,89,86,10,0,69,67,SOLID LEVERAGE,92,NUCLEAR,83,77,ATTACK STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Matt Olson: 7:82 | 8:81 | 9:81 | 13:78 | 14:78 || Dominic Smith: 7:76 | 8:75 | 9:75 | 13:72 | 14:72 || Chadwick Tromp: 7:81 | 8:73 | 13:70 | 18:68 | 12:67
2026-05-23T14:34:16.242Z,Chicago White Sox,San Francisco Giants,Chicago White Sox at San Francisco Giants,Oracle Park,Adrian Houser,2,Munetaka Murakami | Colson Montgomery,L | L,48,0.872,0.518,30,10,87,77,5,0,74,66,SOLID LEVERAGE,99,NUCLEAR,74,77,ATTACK STACK,SAME SIDE POWER LANE,L SIDE CLUSTER,Munetaka Murakami: 7:84 | 8:83 | 9:83 | 13:80 | 14:80 || Colson Montgomery: 7:79 | 8:78 | 9:78 | 13:75 | 14:75
2026-05-23T14:34:16.242Z,Chicago White Sox,San Francisco Giants,Chicago White Sox at San Francisco Giants,Oracle Park,Adrian Houser,3,Munetaka Murakami | Miguel Vargas | Colson Montgomery,L | R | L,46.67,0.864,0.506,41,11,87,77,5,0,69,66,SOLID LEVERAGE,99,NUCLEAR,75,75,ATTACK STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Munetaka Murakami: 7:84 | 8:83 | 9:83 | 13:80 | 14:80 || Miguel Vargas: 7:85 | 8:77 | 13:74 | 18:72 | 12:71 || Colson Montgomery: 7:79 | 8:78 | 9:78 | 13:75 | 14:75
2026-05-23T14:34:16.237Z,Arizona Diamondbacks,Colorado Rockies,Colorado Rockies at Arizona Diamondbacks,Chase Field,Michael Lorenzen,2,Corbin Carroll | Nolan Arenado,L | R,52,0.883,0.511,14,7,99,86,5,2.1,70,66,SOLID LEVERAGE,83,CHAOTIC,80,74,ATTACK STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Corbin Carroll: 7:83 | 8:82 | 9:82 | 13:79 | 14:79 || Nolan Arenado: 7:87 | 8:79 | 13:76 | 18:74 | 12:73
2026-05-23T14:34:16.238Z,St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals at Cincinnati Reds,Great American Ball Park,Chris Paddack,2,Jordan Walker | Alec Burleson,R | L,53,0.878,0.515,20,3,97,89,9,0,67,61,SOLID LEVERAGE,89,CHAOTIC,81,74,ATTACK STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Jordan Walker: 7:72 | 8:64 | 13:61 | 18:59 | 12:58 || Alec Burleson: 7:79 | 8:78 | 9:78 | 13:75 | 14:75
2026-05-23T14:34:16.238Z,St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals at Cincinnati Reds,Great American Ball Park,Chris Paddack,2,Jordan Walker | Iván Herrera,R | R,51,0.871,0.494,19,1,97,89,9,0,69,62,SOLID LEVERAGE,89,CHAOTIC,81,74,ATTACK STACK,SAME SIDE POWER LANE,R SIDE CLUSTER,Jordan Walker: 7:72 | 8:64 | 13:61 | 18:59 | 12:58 || Iván Herrera: 7:84 | 8:76 | 13:73 | 18:71 | 12:70
2026-05-23T14:34:16.237Z,Arizona Diamondbacks,Colorado Rockies,Colorado Rockies at Arizona Diamondbacks,Chase Field,Michael Lorenzen,2,Ildemaro Vargas | Nolan Arenado,S | R,49.5,0.837,0.49,14,6,99,86,5,2.1,68,65,SOLID LEVERAGE,82,CHAOTIC,79,73,ATTACK STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Ildemaro Vargas: 8:87 | 13:84 | 18:82 | 7:81 | 9:73 || Nolan Arenado: 7:87 | 8:79 | 13:76 | 18:74 | 12:73
2026-05-23T14:34:16.238Z,Atlanta Braves,Washington Nationals,Washington Nationals at Atlanta Braves,Truist Park,Jake Irvin,2,Matt Olson | Chadwick Tromp,L | R,49,1.02,0.563,14,6,89,86,10,0,69,64,SOLID LEVERAGE,81,CHAOTIC,80,73,ATTACK STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Matt Olson: 7:82 | 8:81 | 9:81 | 13:78 | 14:78 || Chadwick Tromp: 7:81 | 8:73 | 13:70 | 18:68 | 12:67
