game,stack_type,stack_size,players,teams,pitcher,payout_profile,avg_correlation_score,avg_environment_score,avg_pitcher_collapse_score,avg_batter_power_score,stack_score,combined_implied_probability,adjusted_probability,correlation_synergy_boost,parlay_score,parlay_grade,confidence,risk_profile,odds
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Liam Hicks + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.78,34.00,81.34,41.45,55.77,0.0207%,0.0296%,42.82%,53.26,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Liam Hicks | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Liam Hicks + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.78,34.00,81.24,41.51,55.76,0.1728%,0.2468%,42.80%,53.25,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Liam Hicks + Owen Caissie + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.79,34.00,81.15,41.61,55.76,0.0207%,0.0296%,42.78%,53.25,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Owen Caissie | Xavier Edwards
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Liam Hicks + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.76,34.00,81.38,41.36,55.76,0.0207%,0.0296%,42.82%,53.24,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Liam Hicks | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Owen Caissie + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.72,34.00,81.53,41.13,55.75,0.0207%,0.0296%,42.84%,53.23,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Owen Caissie | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Xavier Edwards + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.75,34.00,81.30,41.39,55.75,0.0207%,0.0296%,42.80%,53.23,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Xavier Edwards | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Owen Caissie + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.73,34.00,81.43,41.21,55.74,0.1728%,0.2468%,42.82%,53.22,C,LOW,HIGH_RISK,Otto Lopez | Owen Caissie | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Xavier Edwards + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.76,34.00,81.12,41.56,55.74,0.1728%,0.2467%,42.76%,53.22,C,LOW,HIGH_RISK,Otto Lopez | Xavier Edwards | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Kyle Stowers + Liam Hicks,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.74,34.00,81.24,41.41,55.73,1.4400%,2.0561%,42.78%,53.22,C,LOW,HIGH_RISK,Kyle Stowers | Liam Hicks
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Liam Hicks + Xavier Edwards + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.76,34.00,81.01,41.65,55.73,0.0207%,0.0296%,42.74%,53.22,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Xavier Edwards | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Owen Caissie + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.70,34.00,81.57,41.04,55.74,0.0207%,0.0296%,42.84%,53.21,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Owen Caissie | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Xavier Edwards + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.73,34.00,81.34,41.30,55.73,0.0207%,0.0296%,42.80%,53.21,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Xavier Edwards | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Liam Hicks + Owen Caissie + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.73,34.00,81.24,41.39,55.73,0.0207%,0.0296%,42.78%,53.21,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Owen Caissie | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Owen Caissie + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.70,34.00,81.49,41.09,55.72,0.1728%,0.2468%,42.82%,53.20,C,LOW,HIGH_RISK,Otto Lopez | Owen Caissie | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Xavier Edwards + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.73,34.00,81.18,41.43,55.72,0.1728%,0.2467%,42.77%,53.20,C,LOW,HIGH_RISK,Otto Lopez | Xavier Edwards | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Liam Hicks + Owen Caissie + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.71,34.00,81.28,41.30,55.72,0.0207%,0.0296%,42.78%,53.20,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Owen Caissie | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Liam Hicks + Xavier Edwards + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.74,34.00,81.06,41.55,55.72,0.0207%,0.0296%,42.74%,53.20,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Xavier Edwards | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Heriberto Hernández + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.68,34.00,81.43,41.07,55.70,0.0207%,0.0296%,42.80%,53.18,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Heriberto Hernández | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Owen Caissie + Xavier Edwards + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.70,34.00,81.20,41.33,55.70,0.0207%,0.0296%,42.76%,53.18,C,LOW,HIGH_RISK,Otto Lopez | Owen Caissie | Xavier Edwards | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Kyle Stowers + Liam Hicks + Owen Caissie,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.67,34.00,81.30,41.16,55.69,0.1728%,0.2467%,42.77%,53.17,C,LOW,HIGH_RISK,Kyle Stowers | Liam Hicks | Owen Caissie
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Kyle Stowers + Liam Hicks + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.70,34.00,81.00,41.50,55.69,0.1728%,0.2466%,42.72%,53.17,C,LOW,HIGH_RISK,Kyle Stowers | Liam Hicks | Xavier Edwards
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Liam Hicks + Heriberto Hernández + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.69,34.00,81.14,41.33,55.69,0.0207%,0.0296%,42.74%,53.17,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Heriberto Hernández | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Owen Caissie + Xavier Edwards + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.68,34.00,81.25,41.23,55.69,0.0207%,0.0296%,42.76%,53.17,C,LOW,HIGH_RISK,Otto Lopez | Owen Caissie | Xavier Edwards | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Liam Hicks + Christopher Morel,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.65,34.00,81.44,41.00,55.69,0.0207%,0.0296%,42.79%,53.16,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Liam Hicks | Christopher Morel
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Kyle Stowers + Owen Caissie,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.63,34.00,81.62,40.77,55.68,1.4400%,2.0567%,42.83%,53.16,C,LOW,HIGH_RISK,Kyle Stowers | Owen Caissie
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Kyle Stowers + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.67,34.00,81.16,41.29,55.68,1.4400%,2.0555%,42.74%,53.16,C,LOW,HIGH_RISK,Kyle Stowers | Xavier Edwards
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Kyle Stowers + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.65,34.00,81.39,41.02,55.68,0.1728%,0.2467%,42.78%,53.16,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Jakob Marsee
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Heriberto Hernández + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.66,34.00,81.30,41.13,55.68,0.1728%,0.2467%,42.77%,53.16,C,LOW,HIGH_RISK,Otto Lopez | Heriberto Hernández | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Liam Hicks + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.67,34.00,81.21,41.24,55.68,0.0207%,0.0296%,42.75%,53.16,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Liam Hicks | Jakob Marsee
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Kyle Stowers + Christopher Morel,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.62,34.00,81.69,40.69,55.68,0.1728%,0.2468%,42.84%,53.15,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Christopher Morel
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Liam Hicks + Christopher Morel,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.63,34.00,81.31,41.03,55.66,0.1728%,0.2467%,42.76%,53.14,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Christopher Morel
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Liam Hicks + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.66,34.00,81.01,41.36,55.66,0.1728%,0.2466%,42.70%,53.14,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Jakob Marsee
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Xavier Edwards + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.64,34.00,81.17,41.18,55.66,0.0207%,0.0296%,42.73%,53.14,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Xavier Edwards | Jakob Marsee
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Owen Caissie + Heriberto Hernández + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.63,34.00,81.34,41.01,55.66,0.0207%,0.0296%,42.77%,53.14,C,LOW,HIGH_RISK,Otto Lopez | Owen Caissie | Heriberto Hernández | Connor Norby
