rank,date,season,name,mlbam,team,opponent,game,game_pk,game_date,game_status,venue,home_away,is_home,pitcher,probable_pitcher,opposing_pitcher,pitcher_mlbam,pitcher_hand,opponent_probable_pitcher,opponent_probable_pitcher_mlbam,team_probable_pitcher,team_probable_pitcher_mlbam,odds,book,implied,score,statcast,barrel_pct,hard_hit_pct,avg_ev,xslg,xwoba,launch_angle,raw_team,raw_game,odds_source_row,weather_boost,weather_match,weather_temp,weather_wind,weather_wind_deg,weather_desc,weather_park,trend,trend_score,hot_score,l5_games,l10_games,l15_games,l5_hr,l10_hr,l15_hr,l5_hits,l10_hits,l5_tb,l10_tb,l5_tbpg,l10_tbpg,l5_hitpg,l10_hitpg,l5_papg,l10_papg,trend_last_game,trend_match_type,pitcher_team,pitcher_status,pitcher_gs,pitcher_ip,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_team_so,pitcher_last3,pitcher_k9,pitcher_bb9,pitcher_hr9,pitcher_attack_score,pitcher_attack_tag,pAtk,pitcher_match_type,park,ballpark,home_team,hr_park_score,parkScore,park_score,park_label,park_note,park_match_type,vegas_game_total,vegas_total_boost,vegas_total_match,vegas_total_source,pitch_type_score,pitch_type_grade,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,hitter_pitch_sample,pitcher_pitch_sample,pitch_type_note,bullpen_attack_score,bullpen_grade,bullpen_quality_score,bullpen_quality_grade,bullpen_fatigue_score,bullpen_fatigue_grade,bullpen_total_pitches_last_3,bullpen_innings_last_3,bullpen_pitchers_used_last_3,bullpen_relievers_20_plus,bullpen_relievers_25_plus,bullpen_relievers_30_plus,bullpen_back_to_back_relievers,bullpen_high_usage_relievers,bullpen_era,bullpen_whip,bullpen_hr_per_9,bullpen_k_per_9,bullpen_note,market_score,power_score,statcast_score,pitcher_score,park_score_model,vegas_score,lineup_score,odds_quality_score,final_score,tier
51,2026-05-13,2026,Matt McLain,,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Pre-Game,Great American Ball Park,home,1,Jake Irvin,Jake Irvin,Jake Irvin,663623,R,Jake Irvin,663623,Nick Lodolo,666157,760,FanDuel,11.63,30.01,missing,,,,,,,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,"{""player"":""Matt McLain"",""player_key"":""matt mclain"",""team"":""Cincinnati Reds"",""team_key"":""cincinnati reds"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""760"",""book"":""FanDuel"",""consensus_odds"":""683"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+760 | DraftKings:+740 | Caesars:+625 | BetMGM:+525"",""raw_books_seen"":""FanDuel:+760 | DraftKings:+740 | Caesars:+625 | BetMGM:+525 | FanDuel:+760"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Washington Nationals,probable,8,39.7,5.22,1.36,4.43,9.24,4.02,9.30,3.63,1.13,54.26,NEUTRAL,54.26,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH,8.3,2.0,MATCH,the_odds_api_totals,82.40,ELITE MATCHUP,Sinker,28.4,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,236,278,Matt McLain profiles best against Sinker | Jake Irvin grades weakest on 4-Seam Fastball | Direct pitch type overlap,64.63,LIVE,69.05,LIVE,58.52,WATCH,142,8.0,7,4,3,2,0,Paxton Schultz 42 pitches 2 app | Brad Lord 36 pitches 1 app,4.77,1.42,1.41,7.59,Opponent bullpen LIVE | Quality LIVE | Fatigue WATCH,100.00,0.00,55.00,54.26,78.00,45.00,50.00,52.00,30.01,LONGSHOT
52,2026-05-13,2026,Tyler Stephenson,,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Pre-Game,Great American Ball Park,home,1,Jake Irvin,Jake Irvin,Jake Irvin,663623,R,Jake Irvin,663623,Nick Lodolo,666157,540,FanDuel,15.63,30.01,missing,,,,,,,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,"{""player"":""Tyler Stephenson"",""player_key"":""tyler stephenson"",""team"":""Cincinnati Reds"",""team_key"":""cincinnati reds"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""540"",""book"":""FanDuel"",""consensus_odds"":""496"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+540 | DraftKings:+517 | Caesars:+475 | BetMGM:+450"",""raw_books_seen"":""FanDuel:+540 | DraftKings:+517 | Caesars:+475 | BetMGM:+450 | FanDuel:+540"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Washington Nationals,probable,8,39.7,5.22,1.36,4.43,9.24,4.02,9.30,3.63,1.13,54.26,NEUTRAL,54.26,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH,8.3,2.0,MATCH,the_odds_api_totals,77.77,STRONG,4-Seam Fastball,23.4,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,165,278,Tyler Stephenson profiles best against 4-Seam Fastball | Jake Irvin grades weakest on 4-Seam Fastball | Direct pitch type overlap,64.63,LIVE,69.05,LIVE,58.52,WATCH,142,8.0,7,4,3,2,0,Paxton Schultz 42 pitches 2 app | Brad Lord 36 pitches 1 app,4.77,1.42,1.41,7.59,Opponent bullpen LIVE | Quality LIVE | Fatigue WATCH,100.00,0.00,55.00,54.26,78.00,45.00,50.00,52.00,30.01,LONGSHOT
53,2026-05-13,2026,Spencer Steer,,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Pre-Game,Great American Ball Park,home,1,Jake Irvin,Jake Irvin,Jake Irvin,663623,R,Jake Irvin,663623,Nick Lodolo,666157,470,FanDuel,17.54,30.01,missing,,,,,,,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,"{""player"":""Spencer Steer"",""player_key"":""spencer steer"",""team"":""Cincinnati Reds"",""team_key"":""cincinnati reds"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""470"",""book"":""FanDuel"",""consensus_odds"":""426"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+470 | DraftKings:+451 | Caesars:+400 | BetMGM:+390"",""raw_books_seen"":""FanDuel:+470 | DraftKings:+451 | Caesars:+400 | BetMGM:+390 | FanDuel:+470"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Washington Nationals,probable,8,39.7,5.22,1.36,4.43,9.24,4.02,9.30,3.63,1.13,54.26,NEUTRAL,54.26,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH,8.3,2.0,MATCH,the_odds_api_totals,91.78,ELITE MATCHUP,Sinker,28.4,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,251,278,Spencer Steer profiles best against Sinker | Jake Irvin grades weakest on 4-Seam Fastball | Direct pitch type overlap,64.63,LIVE,69.05,LIVE,58.52,WATCH,142,8.0,7,4,3,2,0,Paxton Schultz 42 pitches 2 app | Brad Lord 36 pitches 1 app,4.77,1.42,1.41,7.59,Opponent bullpen LIVE | Quality LIVE | Fatigue WATCH,100.00,0.00,55.00,54.26,78.00,45.00,50.00,52.00,30.01,LONGSHOT
54,2026-05-13,2026,JJ Bleday,,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Pre-Game,Great American Ball Park,home,1,Jake Irvin,Jake Irvin,Jake Irvin,663623,R,Jake Irvin,663623,Nick Lodolo,666157,390,FanDuel,20.41,30.01,missing,,,,,,,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,"{""player"":""JJ Bleday"",""player_key"":""jj bleday"",""team"":""Cincinnati Reds"",""team_key"":""cincinnati reds"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""390"",""book"":""FanDuel"",""consensus_odds"":""352"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+390 | DraftKings:+374 | Caesars:+330 | BetMGM:+310"",""raw_books_seen"":""FanDuel:+390 | DraftKings:+374 | Caesars:+330 | BetMGM:+310 | FanDuel:+390"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Washington Nationals,probable,8,39.7,5.22,1.36,4.43,9.24,4.02,9.30,3.63,1.13,54.26,NEUTRAL,54.26,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH,8.3,2.0,MATCH,the_odds_api_totals,89.01,ELITE MATCHUP,4-Seam Fastball,23.4,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,198,278,JJ Bleday profiles best against 4-Seam Fastball | Jake Irvin grades weakest on 4-Seam Fastball | Direct pitch type overlap,64.63,LIVE,69.05,LIVE,58.52,WATCH,142,8.0,7,4,3,2,0,Paxton Schultz 42 pitches 2 app | Brad Lord 36 pitches 1 app,4.77,1.42,1.41,7.59,Opponent bullpen LIVE | Quality LIVE | Fatigue WATCH,100.00,0.00,55.00,54.26,78.00,45.00,50.00,52.00,30.01,LONGSHOT
55,2026-05-13,2026,Sal Stewart,,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Pre-Game,Great American Ball Park,home,1,Jake Irvin,Jake Irvin,Jake Irvin,663623,R,Jake Irvin,663623,Nick Lodolo,666157,369,DraftKings,21.32,30.01,missing,,,,,,,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,"{""player"":""Sal Stewart"",""player_key"":""sal stewart"",""team"":""Cincinnati Reds"",""team_key"":""cincinnati reds"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""369"",""book"":""DraftKings"",""consensus_odds"":""340"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+369 | FanDuel:+350 | Caesars:+330 | BetMGM:+310"",""raw_books_seen"":""DraftKings:+369 | FanDuel:+350 | Caesars:+330 | BetMGM:+310 | DraftKings:+369"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Washington Nationals,probable,8,39.7,5.22,1.36,4.43,9.24,4.02,9.30,3.63,1.13,54.26,NEUTRAL,54.26,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH,8.3,2.0,MATCH,the_odds_api_totals,89.06,ELITE MATCHUP,Sinker,28.4,100.0,100.0,Sinker,100.0,4-Seam Fastball,100.0,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,248,278,Sal Stewart profiles best against Sinker | Jake Irvin grades weakest on 4-Seam Fastball,64.63,LIVE,69.05,LIVE,58.52,WATCH,142,8.0,7,4,3,2,0,Paxton Schultz 42 pitches 2 app | Brad Lord 36 pitches 1 app,4.77,1.42,1.41,7.59,Opponent bullpen LIVE | Quality LIVE | Fatigue WATCH,100.00,0.00,55.00,54.26,78.00,45.00,50.00,52.00,30.01,LONGSHOT
56,2026-05-13,2026,Will Benson,,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Pre-Game,Great American Ball Park,home,1,Jake Irvin,Jake Irvin,Jake Irvin,663623,R,Jake Irvin,663623,Nick Lodolo,666157,323,DraftKings,23.64,30.01,missing,,,,,,,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,"{""player"":""Will Benson"",""player_key"":""will benson"",""team"":""Cincinnati Reds"",""team_key"":""cincinnati reds"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""323"",""book"":""DraftKings"",""consensus_odds"":""310"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+323 | BetMGM:+310 | FanDuel:+310 | Caesars:+305"",""raw_books_seen"":""DraftKings:+323 | BetMGM:+310 | FanDuel:+310 | Caesars:+305"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Washington Nationals,probable,8,39.7,5.22,1.36,4.43,9.24,4.02,9.30,3.63,1.13,54.26,NEUTRAL,54.26,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH,8.3,2.0,MATCH,the_odds_api_totals,88.37,ELITE MATCHUP,Sinker,28.4,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,154,278,Will Benson profiles best against Sinker | Jake Irvin grades weakest on 4-Seam Fastball | Direct pitch type overlap,64.63,LIVE,69.05,LIVE,58.52,WATCH,142,8.0,7,4,3,2,0,Paxton Schultz 42 pitches 2 app | Brad Lord 36 pitches 1 app,4.77,1.42,1.41,7.59,Opponent bullpen LIVE | Quality LIVE | Fatigue WATCH,100.00,0.00,55.00,54.26,78.00,45.00,50.00,52.00,30.01,LONGSHOT
57,2026-05-13,2026,Elly De La Cruz,,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Pre-Game,Great American Ball Park,home,1,Jake Irvin,Jake Irvin,Jake Irvin,663623,R,Jake Irvin,663623,Nick Lodolo,666157,310,BetMGM,24.39,30.01,missing,,,,,,,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,"{""player"":""Elly De La Cruz"",""player_key"":""elly de la cruz"",""team"":""Cincinnati Reds"",""team_key"":""cincinnati reds"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""310"",""book"":""BetMGM"",""consensus_odds"":""295"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+310 | DraftKings:+300 | Caesars:+290 | FanDuel:+290"",""raw_books_seen"":""BetMGM:+310 | DraftKings:+300 | Caesars:+290 | FanDuel:+290"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Washington Nationals,probable,8,39.7,5.22,1.36,4.43,9.24,4.02,9.30,3.63,1.13,54.26,NEUTRAL,54.26,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH,8.3,2.0,MATCH,the_odds_api_totals,87.08,ELITE MATCHUP,Sinker,28.4,100.0,100.0,Knuckle Curve,100.0,4-Seam Fastball,100.0,Curveball 30.2% | Sinker 28.4% | 4-Seam Fastball 23.4% | Cutter 10.8%,272,278,Elly De La Cruz profiles best against Sinker | Jake Irvin grades weakest on 4-Seam Fastball,64.63,LIVE,69.05,LIVE,58.52,WATCH,142,8.0,7,4,3,2,0,Paxton Schultz 42 pitches 2 app | Brad Lord 36 pitches 1 app,4.77,1.42,1.41,7.59,Opponent bullpen LIVE | Quality LIVE | Fatigue WATCH,100.00,0.00,55.00,54.26,78.00,45.00,50.00,52.00,30.01,LONGSHOT
58,2026-05-13,2026,Ezequiel Duran,,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,822900,2026-05-14T00:05:00Z,Pre-Game,Globe Life Field,home,1,Ryne Nelson,Ryne Nelson,Ryne Nelson,669194,R,Ryne Nelson,669194,Kumar Rocker,677958,930,DraftKings,9.71,29.80,missing,,,,,,,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,"{""player"":""Ezequiel Duran"",""player_key"":""ezequiel duran"",""team"":""Texas Rangers"",""team_key"":""texas rangers"",""game"":""Arizona Diamondbacks @ Texas Rangers"",""game_key"":""arizona diamondbacks @ texas rangers"",""market"":""HR"",""line"":""0.5"",""odds"":""930"",""book"":""DraftKings"",""consensus_odds"":""835"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+930 | FanDuel:+920 | Caesars:+750 | BetMGM:+725"",""raw_books_seen"":""DraftKings:+930 | FanDuel:+920 | Caesars:+750 | BetMGM:+725 | DraftKings:+930"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Arizona Diamondbacks,probable,8,38.0,5.68,1.26,4.83,8.85,4.15,8.29,3.32,1.89,69.33,LIVE,69.33,MATCH,Globe Life Field,Globe Life Field,Texas Rangers,56.00,56.00,56.00,SLIGHT_BOOST,Slight HR boost,MATCH,8.0,2.0,MATCH,the_odds_api_totals,93.67,ELITE MATCHUP,4-Seam Fastball,61.0,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,209,277,Ezequiel Duran profiles best against 4-Seam Fastball | Ryne Nelson grades weakest on 4-Seam Fastball | Direct pitch type overlap,47.43,RESPECT,57.64,NEUTRAL,33.33,FRESH,95,6.7,6,1,1,1,0,Brandon Pfaadt 39 pitches 1 app,4.46,1.30,1.20,7.60,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,69.33,56.00,37.50,50.00,52.00,29.80,LONGSHOT
59,2026-05-13,2026,Evan Carter,,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,822900,2026-05-14T00:05:00Z,Pre-Game,Globe Life Field,home,1,Ryne Nelson,Ryne Nelson,Ryne Nelson,669194,R,Ryne Nelson,669194,Kumar Rocker,677958,770,DraftKings,11.49,29.80,missing,,,,,,,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,"{""player"":""Evan Carter"",""player_key"":""evan carter"",""team"":""Texas Rangers"",""team_key"":""texas rangers"",""game"":""Arizona Diamondbacks @ Texas Rangers"",""game_key"":""arizona diamondbacks @ texas rangers"",""market"":""HR"",""line"":""0.5"",""odds"":""770"",""book"":""DraftKings"",""consensus_odds"":""653"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+770 | FanDuel:+680 | Caesars:+625 | BetMGM:+525"",""raw_books_seen"":""DraftKings:+770 | FanDuel:+680 | Caesars:+625 | BetMGM:+525 | DraftKings:+770"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Arizona Diamondbacks,probable,8,38.0,5.68,1.26,4.83,8.85,4.15,8.29,3.32,1.89,69.33,LIVE,69.33,MATCH,Globe Life Field,Globe Life Field,Texas Rangers,56.00,56.00,56.00,SLIGHT_BOOST,Slight HR boost,MATCH,8.0,2.0,MATCH,the_odds_api_totals,93.43,ELITE MATCHUP,4-Seam Fastball,61.0,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,247,277,Evan Carter profiles best against 4-Seam Fastball | Ryne Nelson grades weakest on 4-Seam Fastball | Direct pitch type overlap,47.43,RESPECT,57.64,NEUTRAL,33.33,FRESH,95,6.7,6,1,1,1,0,Brandon Pfaadt 39 pitches 1 app,4.46,1.30,1.20,7.60,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,69.33,56.00,37.50,50.00,52.00,29.80,LONGSHOT
60,2026-05-13,2026,Danny Jansen,,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,822900,2026-05-14T00:05:00Z,Pre-Game,Globe Life Field,home,1,Ryne Nelson,Ryne Nelson,Ryne Nelson,669194,R,Ryne Nelson,669194,Kumar Rocker,677958,620,DraftKings,13.89,29.80,missing,,,,,,,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,"{""player"":""Danny Jansen"",""player_key"":""danny jansen"",""team"":""Texas Rangers"",""team_key"":""texas rangers"",""game"":""Arizona Diamondbacks @ Texas Rangers"",""game_key"":""arizona diamondbacks @ texas rangers"",""market"":""HR"",""line"":""0.5"",""odds"":""620"",""book"":""DraftKings"",""consensus_odds"":""535"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+620 | FanDuel:+570 | Caesars:+500 | BetMGM:+475"",""raw_books_seen"":""DraftKings:+620 | FanDuel:+570 | Caesars:+500 | BetMGM:+475 | DraftKings:+620"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Arizona Diamondbacks,probable,8,38.0,5.68,1.26,4.83,8.85,4.15,8.29,3.32,1.89,69.33,LIVE,69.33,MATCH,Globe Life Field,Globe Life Field,Texas Rangers,56.00,56.00,56.00,SLIGHT_BOOST,Slight HR boost,MATCH,8.0,2.0,MATCH,the_odds_api_totals,84.24,ELITE MATCHUP,Slider,13.4,100.0,100.0,Slider,100.0,4-Seam Fastball,100.0,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,150,277,Danny Jansen profiles best against Slider | Ryne Nelson grades weakest on 4-Seam Fastball,47.43,RESPECT,57.64,NEUTRAL,33.33,FRESH,95,6.7,6,1,1,1,0,Brandon Pfaadt 39 pitches 1 app,4.46,1.30,1.20,7.60,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,69.33,56.00,37.50,50.00,52.00,29.80,LONGSHOT
61,2026-05-13,2026,Joc Pederson,,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,822900,2026-05-14T00:05:00Z,Pre-Game,Globe Life Field,home,1,Ryne Nelson,Ryne Nelson,Ryne Nelson,669194,R,Ryne Nelson,669194,Kumar Rocker,677958,590,FanDuel,14.49,29.80,missing,,,,,,,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,"{""player"":""Joc Pederson"",""player_key"":""joc pederson"",""team"":""Texas Rangers"",""team_key"":""texas rangers"",""game"":""Arizona Diamondbacks @ Texas Rangers"",""game_key"":""arizona diamondbacks @ texas rangers"",""market"":""HR"",""line"":""0.5"",""odds"":""590"",""book"":""FanDuel"",""consensus_odds"":""541"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+590 | DraftKings:+581 | Caesars:+500 | BetMGM:+425"",""raw_books_seen"":""FanDuel:+590 | DraftKings:+581 | Caesars:+500 | BetMGM:+425 | FanDuel:+590"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Arizona Diamondbacks,probable,8,38.0,5.68,1.26,4.83,8.85,4.15,8.29,3.32,1.89,69.33,LIVE,69.33,MATCH,Globe Life Field,Globe Life Field,Texas Rangers,56.00,56.00,56.00,SLIGHT_BOOST,Slight HR boost,MATCH,8.0,2.0,MATCH,the_odds_api_totals,93.12,ELITE MATCHUP,4-Seam Fastball,61.0,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,155,277,Joc Pederson profiles best against 4-Seam Fastball | Ryne Nelson grades weakest on 4-Seam Fastball | Direct pitch type overlap,47.43,RESPECT,57.64,NEUTRAL,33.33,FRESH,95,6.7,6,1,1,1,0,Brandon Pfaadt 39 pitches 1 app,4.46,1.30,1.20,7.60,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,69.33,56.00,37.50,50.00,52.00,29.80,LONGSHOT
